,player_name,club_name,city_name
1200,E. Palacios,River Plate,Buenos Aires
1201,M. Grujić,Hertha BSC,Berlin
1202,C. Nkunku,RB Leipzig,Leipzig
1203,M. Arambarri,Getafe CF,Getafe
1204,E. Mendy,Stade Rennais FC,Rennes
1205,J. Mæhle,KRC Genk,Genk
1206,P. Rosario,PSV,Eindhoven
1207,R. Marin,Ajax,Amsterdam
1208,Brais Méndez,RC Celta de Vigo,Vigo
1209,Luiz Felipe,Lazio,Rome
1210,N. Mazraoui,Ajax,Amsterdam
1211,F. Bustos,Club Atlético Independiente,Avellaneda
1212,A. Barák,Udinese Calcio,Udine
1213,M. Rojas,Racing Club,Avellaneda
1214,S. McTominay,Manchester United,Manchester
1215,C. Luyindama,Galatasaray SK,Istanbul
1216,P. Cutrone,Wolverhampton Wanderers,Wolverhampton
1217,Wendel,Sporting CP,Lisbon
1218,F. Valverde,Real Madrid CF,Madrid
1219,L. Martínez,Ajax,Amsterdam
1220,Galeno,SC Braga,Braga
1221,A. Paschalakis,PAOK,Thessaloniki
1222,Y. Atal,OGC Nice,Nice
1223,N. Vlašić,PFC CSKA Moscow,Moscow
1224,Chiquinho,SL Benfica,Lisbon
1225,P. Hrošovský,KRC Genk,Genk
1226,Reguilón,Sevilla FC,Seville
1227,Renan Lodi,Atlético de Madrid,Madrid
1228,S. Proto,Lazio,Rome
1229,J. Defoe,Rangers FC,Glasgow
1230,P. Jagielka,Sheffield United,Sheffield
1231,B. Schweinsteiger,Chicago Fire Football Club,Chicago
1232,H. Kaldırım,Fenerbahçe SK,Istanbul
1233,A. Hutchinson,Beşiktaş JK,Istanbul
1234,J. Briand,FC Girondins de Bordeaux,Bordeaux
1235,Gomes,Watford,Watford
1236,B. Džemaili,Bologna,Bologna
1237,L. Ponzio,River Plate,Buenos Aires
1238,R. Klavan,Cagliari,Cagliari
1239,J. Dátolo,Club Atlético Banfield,Banfield
1240,A. Turan,İstanbul Başakşehir FK,Istanbul
1241,S. Kırıntılı,İttifak Holding Konyaspor,Konya
1242,O. Wendt,Borussia Mönchengladbach,Mönchengladbach
1243,Soldado,Granada CF,Granada
1244,Diego Castro,Perth Glory,Perth
1245,M. Gómez,VfB Stuttgart,Stuttgart
1246,M. Noble,West Ham United,London
1247,J. Sand,Club Atlético Lanús,Lanús
1248,P. Skjelbred,Hertha BSC,Berlin
1249,R. Palacio,Bologna,Bologna
1250,M. Bradley,Toronto FC,Toronto
1251,R. Snodgrass,West Ham United,London
1252,Markel Bergara,Getafe CF,Getafe
1253,A. Hunt,Hamburger SV,Hamburg
1254,Léo Matos,PAOK,Thessaloniki
1255,S. Bolat,Royal Antwerp FC,Antwerp
1256,A. Mierzejewski,Chongqing Liangjiang Athletic,Chongqing
1257,K. El Ahmadi,Al Ittihad,Jeddah
1258,J. Orozco,Santos Laguna,Torreon
1259,S. Sessègnon,Gençlerbirliği SK,Ankara
1260,A. Diamanti,Western United FC,Caroline Springs
1261,D. Basta,Lazio,Rome
1262,F. Higuaín,Columbus Crew,Columbus
1263,Marcelo Grohe,Al Ittihad,Jeddah
1264,S. Bocchetti,Hellas Verona,Verona
1265,K. Vermeer,Feyenoord,Rotterdam
1266,J. Cork,Burnley,Burnley
1267,J. Rodriguez,Burnley,Burnley
1268,G. dos Santos,Club América,Mexico City
1269,J. McArthur,Crystal Palace,London
1270,J. Maidana,Deportivo Toluca,Toluca
1271,D. Zurutuza,Real Sociedad,San Sebastian
1272,S. Bamba,Cardiff City,Cardiff
1273,Adrián,CA Osasuna,Pamplona
1274,J. Altidore,Toronto FC,Toronto
1275,W. Reid,West Ham United,London
1276,D. Chygrynskyi,AEK Athens,Athens
1277,A. Ayew,Swansea City,Swansea
1278,O. Toivonen,Melbourne Victory,Melbourne
1279,Mossoró,İstanbul Başakşehir FK,Istanbul
1280,M. Fellaini,Shandong Taishan,Jinan
1281,F. Lustenberger,BSC Young Boys,Bern
1282,F. Johnson,Borussia Mönchengladbach,Mönchengladbach
1283,Vieirinha,PAOK,Thessaloniki
1284,J. De Guzmán,Eintracht Frankfurt,Frankfurt
1285,Fabricio,Fulham,London
1286,D. Biseswar,PAOK,Thessaloniki
1287,T. Mangani,Angers SCO,Angers
1288,R. Donk,Galatasaray SK,Istanbul
1289,Pablo Hernández,Leeds United,Leeds
1290,Ki Sung Yueng,Newcastle United,Newcastle upon Tyne
1291,C. Cathcart,Watford,Watford
1292,B. Dočkal,AC Sparta Praha,Prague
1293,A. Ekdal,U.C. Sampdoria,Genoa
1294,D. Stephens,Brighton & Hove Albion,Brighton
1295,Beto,Göztepe SK,Izmir
1296,R. Rosales,CD Leganés,Leganés
1297,M. Albrighton,Leicester City,Leicester
1298,M. Jørgensen,Fenerbahçe SK,Istanbul
1299,E. Choupo-Moting,Paris Saint-Germain,Paris
1300,S. Terodde,1. FC Köln,Cologne
1301,M. Moralez,New York City FC,New York
1302,F. Roncaglia,CA Osasuna,Pamplona
1303,K. Papadopoulos,Hamburger SV,Hamburg
1304,M. Lang,Borussia Mönchengladbach,Mönchengladbach
1305,N. Sánchez,CF Monterrey,Monterrey
1306,Á. Szalai,TSG Hoffenheim,Sinsheim
1307,M. Stoch,PAOK,Thessaloniki
1308,P. van Aanholt,Crystal Palace,London
1309,F. Borini,AC Milan,Milan
1310,E. Hernández,Cruz Azul,Mexico City
1311,T. Gebre Selassie,SV Werder Bremen,Bremen
1312,I. Radovanović,Genoa,Genoa
1313,Kiko Olivas,Real Valladolid CF,Valladolid
1314,C. Kouyaté,Crystal Palace,London
1315,O. El Kaddouri,PAOK,Thessaloniki
1316,Rochina,Levante Unión Deportiva,Valencia
1317,L. Acosta,Club Atlético Lanús,Lanús
1318,Diogo Viana,SC Braga,Braga
1319,C. Villanueva,Al Ittihad,Jeddah
1320,M. Schmelzer,Borussia Dortmund,Dortmund
1321,Miguel Lopes,Yukatel Kayserispor,Kayseri
1322,E. Berisha,SPAL,Ferrara
1323,A. McCarthy,Southampton,Southampton
1324,Iturraspe,RCD Espanyol de Barcelona,Barcelona
1325,A. Cresswell,West Ham United,London
1326,T. Cleverley,Watford,Watford
1327,Kiko Femenía,Watford,Watford
1328,Ł. Skorupski,Bologna,Bologna
1329,T. Kolodziejczak,Tigres U.A.N.L.,"San Nicolás, Nuevo León"
1330,S. Zuber,TSG Hoffenheim,Sinsheim
1331,Rubén Pérez,CD Leganés,Leganés
1332,A. Hansen,Rosenborg BK,Trondheim
1333,T. Jantschke,Borussia Mönchengladbach,Mönchengladbach
1334,E. Mangala,Valencia CF,Valencia
1335,S. Blanco,Portland Timbers,Portland
1336,D. Quintero,Minnesota United FC,Saint Paul
1337,I. Brizuela,Club Deportivo Guadalajara,Guadalajara
1338,K. Théophile-Catherine,Dinamo Zagreb,Zagreb
1339,A. Smith,AFC Bournemouth,Bournemouth
1340,Y. Ōsako,SV Werder Bremen,Bremen
1341,L. Chichizola,Getafe CF,Getafe
1342,D. Reyes,Fenerbahçe SK,Istanbul
1343,N. Araújo,RC Celta de Vigo,Vigo
1344,E. Cardona,Pachuca,Pachuca
1345,S. Padt,FC Groningen,Groningen
1346,Júnior Caiçara,İstanbul Başakşehir FK,Istanbul
1347,M. Jajalo,Udinese Calcio,Udine
1348,R. Hamouma,AS Saint-Étienne,Saint-Étienne
1349,A. Schürrle,Spartak Moskva,Moscow
1350,Aitor,Levante Unión Deportiva,Valencia
1351,N. Viergever,PSV,Eindhoven
1352,Portillo,Getafe CF,Getafe
1353,A. Gray,Watford,Watford
1354,P. Jansson,Brentford,London
1355,Montoya,Brighton & Hove Albion,Brighton
1356,Adrián,Liverpool,Liverpool
1357,A. Mooy,Brighton & Hove Albion,Brighton
1358,D. Ings,Southampton,Southampton
1359,D. Pabón,CF Monterrey,Monterrey
1360,J. Martínez,Portimonense SC,Portimão
1361,G. Moreno,Shanghai Shenhua FC,Shanghai
1362,T. Gutiérrez,Junior FC,Barranquilla
1363,Mexer,FC Girondins de Bordeaux,Bordeaux
1364,Héldon,Al Taawoun,Buraidah
1365,D. Boyata,Hertha BSC,Berlin
1366,M. Höger,1. FC Köln,Cologne
1367,C. Ortíz,CF Monterrey,Monterrey
1368,Raúl Navas,CA Osasuna,Pamplona
1369,M. Gabbiadini,U.C. Sampdoria,Genoa
1370,S. Taïder,Club de Foot Montréal,Montreal
1371,João Pedro,Cagliari,Cagliari
1372,H. Tekin,Fenerbahçe SK,Istanbul
1373,J. Clasie,AZ Alkmaar,Alkmaar
1374,R. Inglese,Parma,Parma
1375,Oriol Romeu,Southampton,Southampton
1376,J. Guidetti,Deportivo Alavés,Vitoria-Gasteiz
1377,D. Praet,Leicester City,Leicester
1378,L. Unnerstall,PSV,Eindhoven
1379,N. Jørgensen,Feyenoord,Rotterdam
1380,A. Maher,FC Utrecht,Utrecht
1381,B. Raman,FC Schalke 04,Gelsenkirchen
1382,C. Schindler,Huddersfield Town,Huddersfield
1383,Juan Jesus,Roma,Rome
1384,A. Wakaso,Vitória de Guimarães,Guimarães
1385,E. Gigliotti,Deportivo Toluca,Toluca
1386,Cédric,Southampton,Southampton
1387,R. Morrison,Sheffield United,Sheffield
1388,V. Darida,Hertha BSC,Berlin
1389,R. Brady,Burnley,Burnley
1390,F. Fernández,Newcastle United,Newcastle upon Tyne
1391,F. Klaus,VfL Wolfsburg,Wolfsburg
1392,Aleix Vidal,Deportivo Alavés,Vitoria-Gasteiz
1393,O. Onazi,Trabzonspor,Trabzon
1394,T. Monconduit,Amiens SC,Amiens
1395,M. Elyounoussi,Southampton,Southampton
1396,A. Knockaert,Fulham,London
1397,J. Bořil,SK Slavia Praha,Prague
1398,S. Sanogo,Al Ittihad,Jeddah
1399,J. Locadia,Brighton & Hove Albion,Brighton
1400,R. Ruidíaz,Seattle Sounders FC,Seattle
1401,J. Campbell,Club León,León
1402,R. Ibarra,Club América,Mexico City
1403,Toño García,Levante Unión Deportiva,Valencia
1404,C. Taylor,Burnley,Burnley
1405,N. Sliti,Ettifaq FC,Dammam
1406,S. Kverkvelia,FC Lokomotiv Moscow,Moscow
1407,Alberto Moreno,Villarreal CF,Villarreal
1408,D. Gayle,Newcastle United,Newcastle upon Tyne
1409,S. Denswil,Bologna,Bologna
1410,M. Livaja,AEK Athens,Athens
1411,Y. Mvogo,RB Leipzig,Leipzig
1412,I. Hayden,Newcastle United,Newcastle upon Tyne
1413,D. Heintz,Sport-Club Freiburg,Freiburg
1414,D. Garmash,Dynamo Kyiv,Kyiv
1415,Y. Abdelhamid,Stade de Reims,Reims
1416,Paulinho,Portimonense SC,Portimão
1417,Matheus,SC Braga,Braga
1418,G. González,LA Galaxy,Los Angeles
1419,A. Thomasson,RC Strasbourg Alsace,Strasbourg
1420,Guilherme,Olympiacos CFP,Piraeus
1421,D. Siovas,CD Leganés,Leganés
1422,E. Mena,Racing Club,Avellaneda
1423,Garry Rodrigues,Fenerbahçe SK,Istanbul
1424,J. Córdoba,1. FC Köln,Cologne
1425,A. Szymanowski,CD Leganés,Leganés
1426,A. Rusnák,Real Salt Lake,Sandy
1427,R. Steffen,VfL Wolfsburg,Wolfsburg
1428,Paulo Oliveira,SD Eibar,Eibar
1429,B. Engels,Aston Villa,Birmingham
1430,C. McGregor,Celtic,Glasgow
1431,Rubén Blanco,RC Celta de Vigo,Vigo
1432,Fernandinho,Hebei FC,Shijiazhuang
1433,K. Linetty,U.C. Sampdoria,Genoa
1434,Luiz Phellype,Sporting CP,Lisbon
1435,P. Gollini,Atalanta,Bergamo
1436,Pere Pons,Deportivo Alavés,Vitoria-Gasteiz
1437,R. Khedira,FC Augsburg,Augsburg
1438,D. Kohr,Eintracht Frankfurt,Frankfurt
1439,Ricardo Esgaio,SC Braga,Braga
1440,A. Masuaku,West Ham United,London
1441,L. Augustinsson,SV Werder Bremen,Bremen
1442,D. Yedlin,Newcastle United,Newcastle upon Tyne
1443,J. Hendrix,PSV,Eindhoven
1444,Ó. Duarte,Levante Unión Deportiva,Valencia
1445,F. Di Francesco,SPAL,Ferrara
1446,M. Uribe,FC Porto,Porto
1447,F. Mancuello,Deportivo Toluca,Toluca
1448,M. Benítez,Club Atlético Independiente,Avellaneda
1449,A. Aguerre,Newell's Old Boys,Rosario
1450,G. Herrera,Club Atlético Talleres,Córdoba
1451,D. Türüç,Fenerbahçe SK,Istanbul
1452,M. Cornet,Olympique Lyonnais,Lyon
1453,S. Widmer,FC Basel 1893,Basel
1454,A. Gunn,Southampton,Southampton
1455,Wallace,Lazio,Rome
1456,Gonçalo Paciência,Eintracht Frankfurt,Frankfurt
1457,Rúben Semedo,Olympiacos CFP,Piraeus
1458,A. Blake,Philadelphia Union,Philadelphia
1459,Sequeira,SC Braga,Braga
1460,T. Bongonda,KRC Genk,Genk
1461,J. Izquierdo,Brighton & Hove Albion,Brighton
1462,I. Pussetto,Udinese Calcio,Udine
1463,Camarasa,Crystal Palace,London
1464,S. Gigot,Spartak Moskva,Moscow
1465,T. Didillon,RSC Anderlecht,Brussels
1466,Embarba,Rayo Vallecano,Madrid
1467,L. Waldschmidt,Sport-Club Freiburg,Freiburg
1468,E. Valencia,Tigres U.A.N.L.,"San Nicolás, Nuevo León"
1469,Ó. Romero,San Lorenzo de Almagro,Buenos Aires
1470,Jaume,Valencia CF,Valencia
1471,A. Živković,SL Benfica,Lisbon
1472,B. Ndiaye,Stoke City,Stoke-on-Trent
1473,L. Acosta,D.C. United,"Washington, D.C."
1474,M. Locatelli,U.S. Sassuolo Calcio,Sassuolo
1475,B. Embolo,Borussia Mönchengladbach,Mönchengladbach
1476,T. Castagne,Atalanta,Bergamo
1477,Otávio,FC Girondins de Bordeaux,Bordeaux
1478,M. Nakamba,Aston Villa,Birmingham
1479,Á. Mena,Club León,León
1480,F. Cervi,SL Benfica,Lisbon
1481,A. Briançon,Nîmes Olympique,Nîmes
1482,R. Gosens,Atalanta,Bergamo
1483,F. Kamano,FC Girondins de Bordeaux,Bordeaux
1484,Y. Gómez Andrade,Unión de Santa Fe,Santa Fe
1485,M. Çelik,LOSC Lille,Lille
1486,Bustinza,CD Leganés,Leganés
1487,F. Andone,Brighton & Hove Albion,Brighton
1488,D. Ćaleta-Car,Olympique de Marseille,Marseille
1489,İ. Kahveci,İstanbul Başakşehir FK,Istanbul
1490,R. Mandragora,Udinese Calcio,Udine
1491,J. Augustin,RB Leipzig,Leipzig
1492,M. Díaz,Boca Juniors,Buenos Aires
1493,K. Tierney,Arsenal,London
1494,Rubén Duarte,Deportivo Alavés,Vitoria-Gasteiz
1495,Álex Remiro,Real Sociedad,San Sebastian
1496,F. Guilbert,Aston Villa,Birmingham
1497,R. Holding,Arsenal,London
1498,Pedraza,Real Betis Balompié,Seville
1499,Matheus Pereira,West Bromwich Albion,West Bromwich
