,entity1,entity2,common_entity,entity3
1101,W. Hughes,Watford,watford, 
1102,J. Grealish,Aston Villa,birmingham, 
1103,M. Weiser,Bayer 04 Leverkusen,leverkusen, 
1104,Sergio Rico,Sevilla FC,seville, 
1105,E. Vargas,Tigres U.A.N.L.,"san nicolás, nuevo león", 
1106,J. Lukaku,Lazio,rome,"1960,"
1107,Marçal,Olympique Lyonnais,lyon, 
1108,Roger,Levante Unión Deportiva,valencia, 
1109,K. Ayhan,Fortuna Düsseldorf,düsseldorf, 
1110,T. Strobl,Borussia Mönchengladbach,mönchengladbach, 
1111,R. Saïss,Wolverhampton Wanderers,wolverhampton, 
1112,Andreas Pereira,Manchester United,manchester, 
1113,Rubén Sobrino,Valencia CF,valencia, 
1114,Y. Bounou,Girona FC,girona, 
1115,K. Mbabu,VfL Wolfsburg,wolfsburg, 
1116,Emerson,Chelsea,london,"2012,1948,1908,"
1117,R. Pizarro,CF Monterrey,monterrey, 
1118,R. Centurión,Club Atlético de San Luis,san luis potosí, 
1119,M. Benassi,Fiorentina,florence, 
1120,S. Boufal,Southampton,southampton, 
1121,M. Elneny,Arsenal,london,"2012,1948,1908,"
1122,C. Vargas,Club Atlas,guadalajara, 
1123,Nacho,Real Valladolid CF,valladolid, 
1124,P. Max,FC Augsburg,augsburg, 
1125,P. Sisto,RC Celta de Vigo,vigo, 
1126,B. Mechele,Club Brugge KV,bruges, 
1127,A. Djiku,RC Strasbourg Alsace,strasbourg, 
1128,Y. Gerhardt,VfL Wolfsburg,wolfsburg, 
1129,Diego Llorente,Real Sociedad,san sebastian, 
1130,W. Cyprien,OGC Nice,nice, 
1131,C. Salcedo,Tigres U.A.N.L.,"san nicolás, nuevo león", 
1132,F. Acheampong,Tianjin Jinmen Tiger FC,tianjin, 
1133,N. Bentaleb,FC Schalke 04,gelsenkirchen, 
1134,F. Ferreyra,RCD Espanyol de Barcelona,barcelona,"1992,"
1135,P. Højbjerg,Southampton,southampton, 
1136,B. Bourigeaud,Stade Rennais FC,rennes, 
1137,L. Miranda,Club Tijuana,tijuana, 
1138,L. López,Boca Juniors,buenos aires, 
1139,M. Casco,River Plate,buenos aires, 
1140,P. Pérez,Club Atlético Independiente,avellaneda, 
1141,A. Petagna,SPAL,ferrara, 
1142,M. Sportiello,Atalanta,bergamo, 
1143,I. Bebou,TSG Hoffenheim,sinsheim, 
1144,K. Tete,Olympique Lyonnais,lyon, 
1145,Wendell,Bayer 04 Leverkusen,leverkusen, 
1146,Paulinho,SC Braga,braga, 
1147,M. Meza,CF Monterrey,monterrey, 
1148,G. Simeone,Fiorentina,florence, 
1149,J. Palomino,Atalanta,bergamo, 
1150,Pedro Henrique,Vitória de Guimarães,guimarães, 
1151,G. Escalante,SD Eibar,eibar, 
1152,A. Sanabria,Genoa,genoa, 
1153,D. Brooks,AFC Bournemouth,bournemouth, 
1154,J. Bednarek,Southampton,southampton, 
1155,R. Borré,River Plate,buenos aires, 
1156,A. Schöpf,FC Schalke 04,gelsenkirchen, 
1157,D. Calvert-Lewin,Everton,liverpool, 
1158,O. Duda,Hertha BSC,berlin,"1936,"
1159,A. Miranchuk,FC Lokomotiv Moscow,moscow,"1980,"
1160,Jorge Meré,1. FC Köln,cologne, 
1161,E. Ünal,Real Valladolid CF,valladolid, 
1162,B. Fernández,Portland Timbers,portland, 
1163,M. Pašalić,Atalanta,bergamo, 
1164,S. Lainer,Borussia Mönchengladbach,mönchengladbach, 
1165,P. Bernardoni,Nîmes Olympique,nîmes, 
1166,M. Lopez,Olympique de Marseille,marseille, 
1167,A. Marušić,Lazio,rome,"1960,"
1168,R. Bensebaini,Borussia Mönchengladbach,mönchengladbach, 
1169,L. Cook,AFC Bournemouth,bournemouth, 
1170,E. Boateng,Dalian Professional Football Club,dalian, 
1171,K. Lasagna,Udinese Calcio,udine, 
1172,Vallejo,Wolverhampton Wanderers,wolverhampton, 
1173,Alex Berenguer,Torino F.C.,turin, 
1174,K. Laimer,RB Leipzig,leipzig, 
1175,G. Rodríguez,Club América,mexico city,"1968,"
1176,C. Domínguez,Club Atlético Independiente,avellaneda, 
1177,Trezeguet,Aston Villa,birmingham, 
1178,N. Mukiele,RB Leipzig,leipzig, 
1179,Aritz Elustondo,Real Sociedad,san sebastian, 
1180,R. Ábila,Boca Juniors,buenos aires, 
1181,O. Colley,U.C. Sampdoria,genoa, 
1182,E. Audero,U.C. Sampdoria,genoa, 
1183,Borja Mayoral,Levante Unión Deportiva,valencia, 
1184,M. Vargas,RCD Espanyol de Barcelona,barcelona,"1992,"
1185,D. Calabria,AC Milan,milan, 
1186,D. Upamecano,RB Leipzig,leipzig, 
1187,Sergi Guardiola,Real Valladolid CF,valladolid, 
1188,G. Pereiro,PSV,eindhoven, 
1189,Córdoba,Athletic Club de Bilbao,bilbao, 
1190,S. Sensi,Inter,milan, 
1191,P. Lees-Melou,OGC Nice,nice, 
1192,Gazzolisco,Internacional,porto alegre, 
1193,Vieirundinho,Santos,santos, 
1194,Simão Acunha,Clube Atlético Mineiro,belo horizonte, 
1195,Formosandrinho,Botafogo,rio de janeiro, 
1196,M. Gaćinović,Eintracht Frankfurt,frankfurt, 
1197,M. Diakhaby,Valencia CF,valencia, 
1198,E. Akbaba,Galatasaray SK,istanbul, 
1199,N. Nández,Cagliari,cagliari, 
1200,E. Palacios,River Plate,buenos aires, 
1201,M. Grujić,Hertha BSC,berlin,"1936,"
1202,C. Nkunku,RB Leipzig,leipzig, 
1203,M. Arambarri,Getafe CF,getafe, 
1204,E. Mendy,Stade Rennais FC,rennes, 
1205,J. Mæhle,KRC Genk,genk, 
1206,P. Rosario,PSV,eindhoven, 
1207,R. Marin,Ajax,amsterdam,"1928,"
1208,Brais Méndez,RC Celta de Vigo,vigo, 
1209,Luiz Felipe,Lazio,rome,"1960,"
1210,N. Mazraoui,Ajax,amsterdam,"1928,"
1211,F. Bustos,Club Atlético Independiente,avellaneda, 
1212,A. Barák,Udinese Calcio,udine, 
1213,M. Rojas,Racing Club,avellaneda, 
1214,S. McTominay,Manchester United,manchester, 
1215,C. Luyindama,Galatasaray SK,istanbul, 
1216,P. Cutrone,Wolverhampton Wanderers,wolverhampton, 
1217,Wendel,Sporting CP,lisbon, 
1218,F. Valverde,Real Madrid CF,madrid, 
1219,L. Martínez,Ajax,amsterdam,"1928,"
1220,Galeno,SC Braga,braga, 
1221,A. Paschalakis,PAOK,thessaloniki, 
1222,Y. Atal,OGC Nice,nice, 
1223,N. Vlašić,PFC CSKA Moscow,moscow,"1980,"
1224,Chiquinho,SL Benfica,lisbon, 
1225,P. Hrošovský,KRC Genk,genk, 
1226,Reguilón,Sevilla FC,seville, 
1227,Renan Lodi,Atlético de Madrid,madrid, 
1228,S. Proto,Lazio,rome,"1960,"
1229,J. Defoe,Rangers FC,glasgow, 
1230,P. Jagielka,Sheffield United,sheffield, 
1231,B. Schweinsteiger,Chicago Fire Football Club,chicago, 
1232,H. Kaldırım,Fenerbahçe SK,istanbul, 
1233,A. Hutchinson,Beşiktaş JK,istanbul, 
1234,J. Briand,FC Girondins de Bordeaux,bordeaux, 
1235,Gomes,Watford,watford, 
1236,B. Džemaili,Bologna,bologna, 
1237,L. Ponzio,River Plate,buenos aires, 
1238,R. Klavan,Cagliari,cagliari, 
1239,J. Dátolo,Club Atlético Banfield,banfield, 
1240,A. Turan,İstanbul Başakşehir FK,istanbul, 
1241,S. Kırıntılı,İttifak Holding Konyaspor,konya, 
1242,O. Wendt,Borussia Mönchengladbach,mönchengladbach, 
1243,Soldado,Granada CF,granada, 
1244,Diego Castro,Perth Glory,perth, 
1245,M. Gómez,VfB Stuttgart,stuttgart, 
1246,M. Noble,West Ham United,london,"2012,1948,1908,"
1247,J. Sand,Club Atlético Lanús,lanús, 
1248,P. Skjelbred,Hertha BSC,berlin,"1936,"
1249,R. Palacio,Bologna,bologna, 
1250,M. Bradley,Toronto FC,toronto, 
1251,R. Snodgrass,West Ham United,london,"2012,1948,1908,"
1252,Markel Bergara,Getafe CF,getafe, 
1253,A. Hunt,Hamburger SV,hamburg, 
1254,Léo Matos,PAOK,thessaloniki, 
1255,S. Bolat,Royal Antwerp FC,antwerp,"1920,"
1256,A. Mierzejewski,Chongqing Liangjiang Athletic,chongqing, 
1257,K. El Ahmadi,Al Ittihad,jeddah, 
1258,J. Orozco,Santos Laguna,torreon, 
1259,S. Sessègnon,Gençlerbirliği SK,ankara, 
1260,A. Diamanti,Western United FC,caroline springs, 
1261,D. Basta,Lazio,rome,"1960,"
1262,F. Higuaín,Columbus Crew,columbus, 
1263,Marcelo Grohe,Al Ittihad,jeddah, 
1264,S. Bocchetti,Hellas Verona,verona, 
1265,K. Vermeer,Feyenoord,rotterdam, 
1266,J. Cork,Burnley,burnley, 
1267,J. Rodriguez,Burnley,burnley, 
1268,G. dos Santos,Club América,mexico city,"1968,"
1269,J. McArthur,Crystal Palace,london,"2012,1948,1908,"
1270,J. Maidana,Deportivo Toluca,toluca, 
1271,D. Zurutuza,Real Sociedad,san sebastian, 
1272,S. Bamba,Cardiff City,cardiff, 
1273,Adrián,CA Osasuna,pamplona, 
1274,J. Altidore,Toronto FC,toronto, 
1275,W. Reid,West Ham United,london,"2012,1948,1908,"
1276,D. Chygrynskyi,AEK Athens,athens,"2004,1896,"
1277,A. Ayew,Swansea City,swansea, 
1278,O. Toivonen,Melbourne Victory,melbourne,"1956,"
1279,Mossoró,İstanbul Başakşehir FK,istanbul, 
1280,M. Fellaini,Shandong Taishan,jinan, 
1281,F. Lustenberger,BSC Young Boys,bern, 
1282,F. Johnson,Borussia Mönchengladbach,mönchengladbach, 
1283,Vieirinha,PAOK,thessaloniki, 
1284,J. De Guzmán,Eintracht Frankfurt,frankfurt, 
1285,Fabricio,Fulham,london,"2012,1948,1908,"
1286,D. Biseswar,PAOK,thessaloniki, 
1287,T. Mangani,Angers SCO,angers, 
1288,R. Donk,Galatasaray SK,istanbul, 
1289,Pablo Hernández,Leeds United,leeds, 
1290,Ki Sung Yueng,Newcastle United,newcastle upon tyne, 
1291,C. Cathcart,Watford,watford, 
1292,B. Dočkal,AC Sparta Praha,prague, 
1293,A. Ekdal,U.C. Sampdoria,genoa, 
1294,D. Stephens,Brighton & Hove Albion,brighton, 
1295,Beto,Göztepe SK,izmir, 
1296,R. Rosales,CD Leganés,leganés, 
1297,M. Albrighton,Leicester City,leicester, 
1298,M. Jørgensen,Fenerbahçe SK,istanbul, 
1299,E. Choupo-Moting,Paris Saint-Germain,paris,"1924,1900,"
1300,S. Terodde,1. FC Köln,cologne, 
1301,M. Moralez,New York City FC,new york, 
1302,F. Roncaglia,CA Osasuna,pamplona, 
1303,K. Papadopoulos,Hamburger SV,hamburg, 
1304,M. Lang,Borussia Mönchengladbach,mönchengladbach, 
1305,N. Sánchez,CF Monterrey,monterrey, 
1306,Á. Szalai,TSG Hoffenheim,sinsheim, 
1307,M. Stoch,PAOK,thessaloniki, 
1308,P. van Aanholt,Crystal Palace,london,"2012,1948,1908,"
1309,F. Borini,AC Milan,milan, 
1310,E. Hernández,Cruz Azul,mexico city,"1968,"
1311,T. Gebre Selassie,SV Werder Bremen,bremen, 
1312,I. Radovanović,Genoa,genoa, 
1313,Kiko Olivas,Real Valladolid CF,valladolid, 
1314,C. Kouyaté,Crystal Palace,london,"2012,1948,1908,"
1315,O. El Kaddouri,PAOK,thessaloniki, 
1316,Rochina,Levante Unión Deportiva,valencia, 
1317,L. Acosta,Club Atlético Lanús,lanús, 
1318,Diogo Viana,SC Braga,braga, 
1319,C. Villanueva,Al Ittihad,jeddah, 
1320,M. Schmelzer,Borussia Dortmund,dortmund, 
1321,Miguel Lopes,Yukatel Kayserispor,kayseri, 
1322,E. Berisha,SPAL,ferrara, 
1323,A. McCarthy,Southampton,southampton, 
1324,Iturraspe,RCD Espanyol de Barcelona,barcelona,"1992,"
1325,A. Cresswell,West Ham United,london,"2012,1948,1908,"
1326,T. Cleverley,Watford,watford, 
1327,Kiko Femenía,Watford,watford, 
1328,Ł. Skorupski,Bologna,bologna, 
1329,T. Kolodziejczak,Tigres U.A.N.L.,"san nicolás, nuevo león", 
1330,S. Zuber,TSG Hoffenheim,sinsheim, 
1331,Rubén Pérez,CD Leganés,leganés, 
1332,A. Hansen,Rosenborg BK,trondheim, 
1333,T. Jantschke,Borussia Mönchengladbach,mönchengladbach, 
1334,E. Mangala,Valencia CF,valencia, 
1335,S. Blanco,Portland Timbers,portland, 
1336,D. Quintero,Minnesota United FC,saint paul, 
1337,I. Brizuela,Club Deportivo Guadalajara,guadalajara, 
1338,K. Théophile-Catherine,Dinamo Zagreb,zagreb, 
1339,A. Smith,AFC Bournemouth,bournemouth, 
1340,Y. Ōsako,SV Werder Bremen,bremen, 
1341,L. Chichizola,Getafe CF,getafe, 
1342,D. Reyes,Fenerbahçe SK,istanbul, 
1343,N. Araújo,RC Celta de Vigo,vigo, 
1344,E. Cardona,Pachuca,pachuca, 
1345,S. Padt,FC Groningen,groningen, 
1346,Júnior Caiçara,İstanbul Başakşehir FK,istanbul, 
1347,M. Jajalo,Udinese Calcio,udine, 
1348,R. Hamouma,AS Saint-Étienne,saint-étienne, 
1349,A. Schürrle,Spartak Moskva,moscow,"1980,"
1350,Aitor,Levante Unión Deportiva,valencia, 
1351,N. Viergever,PSV,eindhoven, 
1352,Portillo,Getafe CF,getafe, 
1353,A. Gray,Watford,watford, 
1354,P. Jansson,Brentford,london,"2012,1948,1908,"
1355,Montoya,Brighton & Hove Albion,brighton, 
1356,Adrián,Liverpool,liverpool, 
1357,A. Mooy,Brighton & Hove Albion,brighton, 
1358,D. Ings,Southampton,southampton, 
1359,D. Pabón,CF Monterrey,monterrey, 
1360,J. Martínez,Portimonense SC,portimão, 
1361,G. Moreno,Shanghai Shenhua FC,shanghai, 
1362,T. Gutiérrez,Junior FC,barranquilla, 
1363,Mexer,FC Girondins de Bordeaux,bordeaux, 
1364,Héldon,Al Taawoun,buraidah, 
1365,D. Boyata,Hertha BSC,berlin,"1936,"
1366,M. Höger,1. FC Köln,cologne, 
1367,C. Ortíz,CF Monterrey,monterrey, 
1368,Raúl Navas,CA Osasuna,pamplona, 
1369,M. Gabbiadini,U.C. Sampdoria,genoa, 
1370,S. Taïder,Club de Foot Montréal,montreal,"1976,"
1371,João Pedro,Cagliari,cagliari, 
1372,H. Tekin,Fenerbahçe SK,istanbul, 
1373,J. Clasie,AZ Alkmaar,alkmaar, 
1374,R. Inglese,Parma,parma, 
1375,Oriol Romeu,Southampton,southampton, 
1376,J. Guidetti,Deportivo Alavés,vitoria-gasteiz, 
1377,D. Praet,Leicester City,leicester, 
1378,L. Unnerstall,PSV,eindhoven, 
1379,N. Jørgensen,Feyenoord,rotterdam, 
1380,A. Maher,FC Utrecht,utrecht, 
1381,B. Raman,FC Schalke 04,gelsenkirchen, 
1382,C. Schindler,Huddersfield Town,huddersfield, 
1383,Juan Jesus,Roma,rome,"1960,"
1384,A. Wakaso,Vitória de Guimarães,guimarães, 
1385,E. Gigliotti,Deportivo Toluca,toluca, 
1386,Cédric,Southampton,southampton, 
1387,R. Morrison,Sheffield United,sheffield, 
1388,V. Darida,Hertha BSC,berlin,"1936,"
1389,R. Brady,Burnley,burnley, 
1390,F. Fernández,Newcastle United,newcastle upon tyne, 
1391,F. Klaus,VfL Wolfsburg,wolfsburg, 
1392,Aleix Vidal,Deportivo Alavés,vitoria-gasteiz, 
1393,O. Onazi,Trabzonspor,trabzon, 
1394,T. Monconduit,Amiens SC,amiens, 
1395,M. Elyounoussi,Southampton,southampton, 
1396,A. Knockaert,Fulham,london,"2012,1948,1908,"
1397,J. Bořil,SK Slavia Praha,prague, 
1398,S. Sanogo,Al Ittihad,jeddah, 
1399,J. Locadia,Brighton & Hove Albion,brighton, 
1400,R. Ruidíaz,Seattle Sounders FC,seattle, 
1401,J. Campbell,Club León,león, 
1402,R. Ibarra,Club América,mexico city,"1968,"
1403,Toño García,Levante Unión Deportiva,valencia, 
1404,C. Taylor,Burnley,burnley, 
1405,N. Sliti,Ettifaq FC,dammam, 
1406,S. Kverkvelia,FC Lokomotiv Moscow,moscow,"1980,"
1407,Alberto Moreno,Villarreal CF,villarreal, 
1408,D. Gayle,Newcastle United,newcastle upon tyne, 
1409,S. Denswil,Bologna,bologna, 
1410,M. Livaja,AEK Athens,athens,"2004,1896,"
1411,Y. Mvogo,RB Leipzig,leipzig, 
1412,I. Hayden,Newcastle United,newcastle upon tyne, 
1413,D. Heintz,Sport-Club Freiburg,freiburg, 
1414,D. Garmash,Dynamo Kyiv,kyiv, 
1415,Y. Abdelhamid,Stade de Reims,reims, 
1416,Paulinho,Portimonense SC,portimão, 
1417,Matheus,SC Braga,braga, 
1418,G. González,LA Galaxy,los angeles,"1984,1932,"
1419,A. Thomasson,RC Strasbourg Alsace,strasbourg, 
1420,Guilherme,Olympiacos CFP,piraeus, 
1421,D. Siovas,CD Leganés,leganés, 
1422,E. Mena,Racing Club,avellaneda, 
1423,Garry Rodrigues,Fenerbahçe SK,istanbul, 
1424,J. Córdoba,1. FC Köln,cologne, 
1425,A. Szymanowski,CD Leganés,leganés, 
1426,A. Rusnák,Real Salt Lake,sandy, 
1427,R. Steffen,VfL Wolfsburg,wolfsburg, 
1428,Paulo Oliveira,SD Eibar,eibar, 
1429,B. Engels,Aston Villa,birmingham, 
1430,C. McGregor,Celtic,glasgow, 
1431,Rubén Blanco,RC Celta de Vigo,vigo, 
1432,Fernandinho,Hebei FC,shijiazhuang, 
1433,K. Linetty,U.C. Sampdoria,genoa, 
1434,Luiz Phellype,Sporting CP,lisbon, 
1435,P. Gollini,Atalanta,bergamo, 
1436,Pere Pons,Deportivo Alavés,vitoria-gasteiz, 
1437,R. Khedira,FC Augsburg,augsburg, 
1438,D. Kohr,Eintracht Frankfurt,frankfurt, 
1439,Ricardo Esgaio,SC Braga,braga, 
1440,A. Masuaku,West Ham United,london,"2012,1948,1908,"
1441,L. Augustinsson,SV Werder Bremen,bremen, 
1442,D. Yedlin,Newcastle United,newcastle upon tyne, 
1443,J. Hendrix,PSV,eindhoven, 
1444,Ó. Duarte,Levante Unión Deportiva,valencia, 
1445,F. Di Francesco,SPAL,ferrara, 
1446,M. Uribe,FC Porto,porto, 
1447,F. Mancuello,Deportivo Toluca,toluca, 
1448,M. Benítez,Club Atlético Independiente,avellaneda, 
1449,A. Aguerre,Newell's Old Boys,rosario, 
1450,G. Herrera,Club Atlético Talleres,córdoba, 
1451,D. Türüç,Fenerbahçe SK,istanbul, 
1452,M. Cornet,Olympique Lyonnais,lyon, 
1453,S. Widmer,FC Basel 1893,basel, 
1454,A. Gunn,Southampton,southampton, 
1455,Wallace,Lazio,rome,"1960,"
1456,Gonçalo Paciência,Eintracht Frankfurt,frankfurt, 
1457,Rúben Semedo,Olympiacos CFP,piraeus, 
1458,A. Blake,Philadelphia Union,philadelphia, 
1459,Sequeira,SC Braga,braga, 
1460,T. Bongonda,KRC Genk,genk, 
1461,J. Izquierdo,Brighton & Hove Albion,brighton, 
1462,I. Pussetto,Udinese Calcio,udine, 
1463,Camarasa,Crystal Palace,london,"2012,1948,1908,"
1464,S. Gigot,Spartak Moskva,moscow,"1980,"
1465,T. Didillon,RSC Anderlecht,brussels, 
1466,Embarba,Rayo Vallecano,madrid, 
1467,L. Waldschmidt,Sport-Club Freiburg,freiburg, 
1468,E. Valencia,Tigres U.A.N.L.,"san nicolás, nuevo león", 
1469,Ó. Romero,San Lorenzo de Almagro,buenos aires, 
1470,Jaume,Valencia CF,valencia, 
1471,A. Živković,SL Benfica,lisbon, 
1472,B. Ndiaye,Stoke City,stoke-on-trent, 
1473,L. Acosta,D.C. United,"washington, d.c.", 
1474,M. Locatelli,U.S. Sassuolo Calcio,sassuolo, 
1475,B. Embolo,Borussia Mönchengladbach,mönchengladbach, 
1476,T. Castagne,Atalanta,bergamo, 
1477,Otávio,FC Girondins de Bordeaux,bordeaux, 
1478,M. Nakamba,Aston Villa,birmingham, 
1479,Á. Mena,Club León,león, 
1480,F. Cervi,SL Benfica,lisbon, 
1481,A. Briançon,Nîmes Olympique,nîmes, 
1482,R. Gosens,Atalanta,bergamo, 
1483,F. Kamano,FC Girondins de Bordeaux,bordeaux, 
1484,Y. Gómez Andrade,Unión de Santa Fe,santa fe, 
1485,M. Çelik,LOSC Lille,lille, 
1486,Bustinza,CD Leganés,leganés, 
1487,F. Andone,Brighton & Hove Albion,brighton, 
1488,D. Ćaleta-Car,Olympique de Marseille,marseille, 
1489,İ. Kahveci,İstanbul Başakşehir FK,istanbul, 
1490,R. Mandragora,Udinese Calcio,udine, 
1491,J. Augustin,RB Leipzig,leipzig, 
1492,M. Díaz,Boca Juniors,buenos aires, 
1493,K. Tierney,Arsenal,london,"2012,1948,1908,"
1494,Rubén Duarte,Deportivo Alavés,vitoria-gasteiz, 
1495,Álex Remiro,Real Sociedad,san sebastian, 
1496,F. Guilbert,Aston Villa,birmingham, 
1497,R. Holding,Arsenal,london,"2012,1948,1908,"
1498,Pedraza,Real Betis Balompié,seville, 
1499,Matheus Pereira,West Bromwich Albion,west bromwich, 
