,common_entity,entity1,entity2,entity3,entity4
613,Bush on the Couch: Inside the Mind of the President,"Frank, Justin A.",July,2005,Harper Perennial
614,Model Railroads,"Freezer, Cyril",November,1991,Courage Books
615,Sixth Sense: Including the Secrets of the Etheric Subtle Body,"Wilde, Stuart",March,2000,Hay House
616,Miss Manners' Guide to Excruciatingly Correct Behavior: The Ultimate Handbook on Modern Etiquette,"Martin, Judith and Kamen, Gloria (ILT)",March,1997,Bbs Pub Corp
617,Cats: An Owner's Guide,"Atkins, Carla, Fresak, Nikki (PHT), and Robinson, Alan (PHT)",October,2003,Thunder Bay Pr
618,Murder Most,"Greenberg, Martin H., Et. Al. (Edited by)",January,2005,Gramercy Books
619,1000 Classic Recipes: The Complete Cookbook for Every Meal and Any Occasion,,January,1999,Anness
620,Hurry Down Sunshine: A Memoir,"Greenberg, Michael",September,2008,Other Press
621,Pain: The Challenge and the Gift,"Matthews, Marti Lynn",September,1991,Stillpoint Pub
622,The Erotic Secrets of a French Maid,"Cach, Lisa",February,2007,Gallery Books
623,Precious Moments of Christmas: Nine Stories that Celebrate the Season,"Butcher, Samuel J. (ILT) and Wiersma, Debbie Butcher",August,1990,Golden Books
624,Gone But Not Forgotten,"Fox-Sheinwold, Patricia",December,1988,Random House Value Publishing
625,The Wishing Horse of Oz,L. Frank Baum,January,1935,Reilly & Lee
626,Holistic Medicine: A Meeting of East and West,"Altenberg, Henry Edward",June,1998,Japan Pubns
627,The Moon and Sixpence,W Somerset Maugham,May,1977,Penguin Books
628,The Tribute: What Every Parent Longs to Hear,"Rainey, Dennis and Boehi, David",April,1994,Thomas Nelson Inc
629,The Q Document: A Novel,"Roberts, James Hall",January,1964,William Morrow and Company
630,How Sweet It Is,"Wisler, Alice J.",May,2009,Bethany House
631,The Pain and the Privilege: Diary of a City Priest,"Gallagher, Joseph",September,1983,Doubleday
632,Shadowfires,"Koontz, Dean R.",August,2008,Berkley
633,The Silken Web,"Brown, Sandra",October,1993,Grand Central Publishing
634,The Demon of Scattery,"Poul Anderson, Mildred Downey Broxon",June,1980,Ace Books
635,Dragon Lady: The Life and Legend of the Last Empress of China,"Seagrave, Sterling and Seagrave, Peggy",August,1993,Vintage
636,Venus Envy,"Brown, Rita Mae",January,1994,Bantam
637,One Police Plaza,"Caunitz, William J.",August,1986,Random House Value Publishing
638,The Homocysteine Revolution: Medicine for the New Millennium,"McCully, Kilmer S.",June,1997,Keats Pub
639,Nightline:: History in the Making and the Making of Television,"Koppel, Ted and Gibson, Kyle",May,1996,Crown
640,Cooks Quotations: A Collection of Fine Paintings and the Best Cooking Quotes,Helen Exley,January,1994,Exley Publications
641,Must Love Shoes: A Collection of Stories About Life in a Woman's Shoes,Julie Gaver,December,2009,Ruby Slipper Publishers
642,Who Will Run The Frog Hospital?,"Moore, Lorrie",September,1994,Alfred A. Knopf
643,The Zen of CSS Design: Visual Enlightenment for the Web,"Holzschlag, Molly E. and Shea, Dave",February,2005,Peachpit Pr
644,Mercy: A Novel,"Picoult, Jodi",April,2001,Washington Square Press
645,Sisters and Brothers: Sibling Relationships in the Animal World,"Page, Robin and Jenkins, Steve",April,2008,HMH Books for Young Readers
646,Embattled Confederates: An Illustrated History of Southerners at War,Wiley,January,1977,Outlet
647,Blow Fly,"Cornwell, Patricia Daniels",October,2003,Putnam
648,After,"Efaw, Amy",August,2009,Viking Books for Young Readers
649,Gates of Mitzvah: Shaarei Mitzvah: A Guide to the Jewish Life Cycle,"Maslin, Simeon J. (EDT)",September,1986,CCAR Press
650,Exploding the myths that could destroy America,"Lutzer, Erwin W.",January,1986,Moody Press
651,Ring of Truth,"Pickard, Nancy",June,2001,Atria
652,Mystic Tide,Angela Dorsey,January,2007,Pony
653,Displaying Australia and New Guinea,"Fox, Matt J",January,1945,Australia Story Trust
654,Sunset Boulevard: From Movie to Musical,"Perry, George C.",November,1993,Henry Holt & Co
655,Zoology,"Dolnick, Ben",May,2007,Vintage
656,Building Your Baby's Brain: A Parent's Guide to the First Five Years,"Dodge, Diane Trister and Heroman, Cate",January,1999,Wadsworth Pub. Co
657,Brand Warfare: 10 Rules for Building the Killer Brand,"D'Alessandro, David F. and Owens, Michele",March,2001,McGraw Hill
658,There's a Dead Person Following My Sister Around,"Vande Velde, Vivian",August,2001,Puffin
659,Radical Gratitude: Discovering Joy through Everyday Thankfulness,"Vaughn, Ellen Santilli",March,2005,Zondervan
660,Love for a Lifetime: Building a Marriage That Will Go the Distance,"Dobson, James C.",February,1993,Multnomah
661,Garden Color Book,"Williams, Paul",April,2000,Chronicle Books
662,The Possible She,"Jacoby, Susan",March,1979,Farrar Straus & Giroux
663,The Ultimate Frankenstein: New Stories by Some of the World's Leading Authors,"Preiss, ron, Keller, David, Miller, Megan, and Betancourt, John (EDT)",September,1991,Dell
664,The uncommon cookbook,"Mellinkoff, Ruth",January,1968,W. Ritchie Press
665,Second Draft of My Life: A Novel,"Lewis, Sara",April,2002,Atria
666,Love of Labs: The Ultimate Tribute to Labrador Retrievers,"Berger, Todd R. (EDT)",June,1999,Marboro Books
667,The Female Advantage: Women's Ways of Leadership,"Helgesen, Sally",April,1990,Currency/ Doubleday
668,Home from Nowhere: Remaking Our Everyday World for the 21st Century,"Kunstler, James Howard",March,1998,Touchstone Press
669,Dinosaur Brains: Dealing With All the Impossible People at Work,"Bernstein, Albert J.",February,1992,Ballantine Books
670,Longarm 018: Yellowstone,"Evans, Tabor",March,1980,Jove
671,Handbook for Writers,"Millward, C. M.",January,1983,Holt; Rinehart; Winston
672,The Soviet Crucible: Soviet Government in Theory and Practice,Samuel (Edited by) Hendel,January,1959,D. Van Nostrand Co
673,In Search of Love and Beauty,"Jhabvala, Ruth Prawer",June,1983,William Morrow & Co
674,Innocent in Death,"Robb, J. D.",February,2007,G.P. Putnam's Sons
675,The Street Lawyer: A Novel,"Grisham, John",February,1998,Doubleday
676,House of Gold,"Macfarlane Jr., Bud",June,1999,Saint Jude Media
677,Thunder in the Desert,"Blackwell, James",September,1991,Bantam
678,Tiptionary,"Hunt, Mary",November,1997,GuildAmerica Books
679,Houdinis Escapes,Walter B. Gibson,March,1977,Bantam Bks.
680,Slowness: A Novel,"Kundera, Milan and Asher, Linda (TRN)",April,1997,Harper Perennial
681,The Leadership Engine,"Tichy, Noel M. and Cohen, Eli B.",August,2002,Harper Business
682,The Prentice Hall Encyclopedia of Garden Flowers,"Pereire, Anita",June,1989,Prentice Hall Direct
683,The assertive woman,"Phelps, Stanlee, Austin, Nancy",January,1975,Impact Publishers
684,The Wonderful Crisis of Middle age: Some Personal Reflections,"Leshan, Eda",June,1976,Warner Books
685,Fireside,"Summer Rain, Mary",May,1998,Hampton Roads Publishing
686,Spiritual Economics: The Prosperity Process,"Butterworth, Eric",June,1983,United Artists Music & Records
687,Designing Storage Area Networks,"Clark, Tom",September,1999,Addison-Wesley Professional
688,Understanding the Enneagram: The Practical Guide to Personality Types,"Riso, Don Richard",February,1990,Houghton Mifflin Harcourt
689,How Did You Get This Number,"Crosley, Sloane",May,2011,Riverhead Books
690,The Book of Calm,Time-Life Books,September,1997,Time Life Education
691,John Clancy's Christmas Cookbook,"Clancy, John",February,1986,Hearst Books
692,Mary Ellen's Best of Helpful Hints Book II,Pinkham,June,1989,Grand Central Pub
693,I'll See You in the Morning,"Jolley, Mike and Moriuchi, Mique (ILT)",July,2005,Chronicle Books
694,Graffiti Girl,"Parra, Kelly",May,2007,MTV Books
695,Murder at the Opera: A Capital Crimes Novel,"Truman, Margaret",November,2006,Ballantine Books
696,How to Be Happier Day by Day,"Epstein, Alan",January,1993,Viking Adult
697,Electronic Commerce: A Managerial Perspective,"Turban, Efraim (EDT), King, David, Lee, Jae Kyu, and Chung, H. Michael",October,1999,Prentice Hall
698,Ransom,"Steel, Danielle",February,2004,Delacorte Press
699,The Corset Diaries,"MacAlister, Katie",May,2004,Berkley
700,Peony in Love: A Novel,"See, Lisa",June,2007,Random House
701,Oxford Blood,"Fraser, Antonia",August,1985,W W Norton & Co Inc
702,Hand of Providence: The Strong and Quiet Faith of Ronald Reagan,"Brown, Mary Beth",March,2004,Thomas Nelson Inc
703,Heirs of the Fisherman: Behind the Scenes of Papal Death and Succession,"Pham, John-Peter",November,2004,Oxford University Press
704,Reach Everyone You Teach,"Rosann Englebretson, Marlene LeFever, Steve Wamberg",January,1998,David C.Cook Church Ministries
705,The World Record Paper Airplane Book,"Blackburn, Ken and Lammers, Jeff",January,1994,Workman Publishing Company
706,The Rottweiler,"Rendell, Ruth",November,2004,Crown
707,The Color of Night,"Lindsey, David L.",April,1999,Grand Central Publishing
708,Sister Wendy's Meditations on Love,"Beckett, Wendy",September,1995,DK
709,The Secret Country,"Dean, Pamela",May,1985,Ace
710,Book of the Dead,"Cornwell, Patricia Daniels",October,2007,G.P. Putnam's Sons
711,Helping Children Learn Mathematics,"Reys, Robert E., Suydam, Marilyn N., and Lindquist, Mary M.",October,1994,Allyn & Bacon
712,Scholastic Reader Level 1: Whales and Dolphins,"Schwartz, Carol (ILT), Roop, Peter, and Roop, Connie",May,2002,Cartwheel
713,The Baronet's Song,"MacDonald, George",May,1983,Bethany House Publishers
714,Shadow Patriots: A Novel of the Revolution,"Robson, Lucia St. Clair",May,2005,Forge Books
715,Slipcover Magic,"Hall, Dorothea (EDT)",February,1995,Chilton Book Co
716,Battle Born,"Brown, Dale",November,1999,Bantam
717,Nuclear Terrorism: The Ultimate Preventable Catastrophe,"Allison, Graham T.",August,2005,Holt Paperbacks
718,Murder With Muskets,"Reeves, John",June,1985,Doubleday
719,Let Go of Clutter,Harriet Schechter,January,2001,McGraw Hill
720,Going to Extremes,"McGinniss, Joe",September,1989,Plume
721,Sara's Song,"Michaels, Fern",March,1998,Zebra
722,The Sample Survey: Theory and Practice,"Warwick, Donald P. and Lininger, C. A.",October,1975,McGraw-Hill
723,Apparitions at Medjugorje Prolonged: A Merciful Delay for a World in Danger,"Laurentin, Rene",June,1987,Riehle Foundation
724,Intermediate Algebra and Analytic Geometry Made Simple,"Gondin, William R., Ph.D. and Sohmer, Bernard",July,1959,Doubleday
725,PC Annoyances: How to Fix the Most Annoying Things About Your Personal Computer,"Bass, Steve",October,2003,O'Reilly Media
726,Many Servants: An Introduction to Deacons,"Plater, Ormonde",June,1991,Cowley Pubns
727,Contemporary Issues in Leadership,"Taylor, Robert L. (EDT) and Rosenbach, William E. (EDT)",January,2006,Westview Press
728,A Walk to Remember,"Sparks, Nicholas",September,2000,Grand Central Publishing
729,The Boy Who Loved Windows: Opening The Heart And Mind Of A Child Threatened With Autism,"Stacey, Patricia",September,2003,Da Capo Lifelong Books
730,More Joy of Microwaving,Microwave Cooking Institute,October,1988,Prentice Hall Direct
731,Review of Medical Physiology,"Ganong, William F.",April,1991,Appleton & Lange
732,Intelligent Memory: Improve the Memory that Makes You Smarter,"Berger, Lisa and Gordon, Barry",September,2003,Viking Adult
733,Nato: The Challenge of Change,Jeffery Simon,January,1993,National Defense Univ. Press Pub.
734,King Edward The Seventh,Philip Magnus,January,1964,E.P. Dutton New York 1964
735,And the Waters Turned to Blood,"Barker, Rodney",March,1998,Simon & Schuster
736,Traditional Family Home Plans,Garlinghouse Company,June,1999,Garlinghouse Co
737,The Two Sides of Love: Using Personality Strengths to Greatly Improve Your Relationships,"Smalley, Gary and Trent, John",January,1999,Living Books
738,Classics of Western philosophy,,January,1990,Hackett
739,What Should I Do with My Life?: The True Story of People Who Answered the Ultimate Question,"Bronson, Po",December,2003,Random House Trade Paperbacks
740,The Apprentice,"Llorente, Pilar Molina and Alonso, Juan Ramon (ILT)",August,1994,Square Fish
741,Southwest Tastes,"Brown, Ellen",January,1991,HP Trade
742,Came the Revolution: Argument in the Reagan Era,"Moynihan, Daniel",March,1988,Harcourt
743,Geraldine's Blanket,Holly Keller,January,1984,Greenwillow Books
744,Maryland in Focus,"Evans, Middleton",October,1988,Middleton Press
745,Modern Trial Advocacy: Analysis and Practice,"Lubet, Steven",November,1997,Natl Inst for Trial Advocacy
746,Our Children Are Dying,"Hentoff, Nat",October,1966,Viking Adult
747,The Monster of Florence,douglas-with-spezi-mario-preston,January,2008,Hachette Book Group USA
748,Answered Prayers: A Novel,"Steel, Danielle",September,2003,Dell
749,Daughters Without Dads,"Rabey, Lois Mowday and Mowday, Lois",February,1990,Thomas Nelson Inc
750,If I Live to Be 100: Lessons from the Centenarians,"Ellis, Neenah",March,2004,Three Rivers Press
751,Food and Wine Annual Cookbook 2010: An Entire Year of Recipes,"Heddings, Kate (EDT)",April,2010,Food & Wine
752,How to Master the Art of Selling,"Hopkins, Tom",June,1988,Warner Books
753,Photography and Your Digital World: The Ultimate Guide to Digital Technology,"Cope, Peter",December,2005,Thunder Bay Press
754,Tears and Laughter in an Israel Courtroom,Shneour Zalman Cheshin,January,1959,Jewish Publication
755,Wealthy and Wise: How You and America Can Get the Most Out of Your Giving,"Rosenberg, Claude, Jr.",September,1994,Little Brown & Co
756,Across Five Aprils,"Hunt, Irene",January,2002,Berkley
757,Discipline Without Shouting or Spanking: Practical Solutions to the Most Common Preschool Behavior Problems,"Wychoff, Jerry and Unell, Barbara C.",November,1984,Da Capo Press
758,Beyond Vietnam: The United States and Asia,"Reischauer, Edwin O.",January,1967,Vintage
759,The New American Story,"Bradley, Bill",January,2008,Random House Trade Paperbacks
760,Spectacular Spiders,Lori C. Froeb,January,2000,Reader's Digest Children's Books
761,Bushworld,"Dowd, Maureen",August,2004,Putnam Adult
762,The Fourth Codex,"Houston, Robert",July,1988,Houghton Mifflin Harcourt
763,Bible Storybook for Toddlers,Carolyn Larsen,January,2006,Creative Edge
764,Redeye,"Aellen, Richard",September,1988,Dutton
765,Fundamentals of Nursing,"Perry, Anne Griffin, Potter, Patricia Ann, Hall, Amy (EDT), Stockert, Patricia A. (EDT), and Baier, Marjorie, Ph.D. (CON)",December,2008,Mosby
766,Shallows of Night,"Lustbader, Eric Van",December,1980,Berkley Books
767,The Executive Life,Editors of Fortune,January,1956,DOLPHIN BOOK/DOUBLEDAY & CO
768,The Secret Circle: The Captive Part II and The Power,"Smith, L. J.",August,2012,HarperTeen
769,Changed Hearts: The Solution to America's Crime Problem,Charles Colson,January,1989,Prison Feellowship Ministries
770,Webster's New World Crossword Puzzle Dictionary,"Whitfield, Jane Shaw",September,1996,Webster's New World
771,Fat Burning Factors Lean Lifestyle,"Sisson, Mark",January,1996,Ultimate Health Publishing
772,Super Ideas for Youth Groups,"Yaconelli, Mike",January,1980,Zondervan
773,Jack's Run,"Smith, Roland",April,2007,Hyperion Books for Children
774,Modern Bridge Conventions,"Root, William S. and Pavlicek, Richard",January,1981,Crown
775,My First Prayers,"Gutmann, Bessie Pease, Akmon, Nancy C., and Akmon, Roni",November,2000,Blushing Rose Pub
776,Larryboy and the Awful Ear Wacks Attacks,"Moore, Michael (ILT) and Katula, Bob",September,2002,ZonderKidz
777,So You're Thinking About Homeschooling: Fifteen Families Show How You Can Do It,"Whelchel, Lisa",March,2003,Multnomah
778,Simple French Cookery,"Beilenson, Edna",January,1958,Peter Pauper Press
779,The Reagan I Knew,"Buckley, William F.",October,2008,Basic Books
780,Jill's Glasses,Nancy Parent,January,2003,Modern Publishing
781,The New Walker's Logbook,Mark Fenton,January,1995,Walking Magazine
782,The Secret Garden,"Burnett, Frances Hodgson",November,1989,Laurel Leaf
783,Cover letters that knock 'em dead,"Yate, Martin",January,1992,Bob Adams
784,Gardener's Book of Needlepoint,"Bodi, Jack",January,1979,Simon & Schuster
785,You Can Draw,"Toll, Damien",February,2006,Hinkler Books
786,Just How Stupid Are We?: Facing the Truth About the American Voter,"Shenkman, Rick",June,2008,Basic Books
787,The Wishbones,"Perrotta, Tom",April,1998,Berkley
788,Healing Through the Power of Prayer: What the Bible Says About Healing,"Dailey, Timothy",January,1998,"Publications International, Ltd."
789,Simply Homemade Food Gifts,"Dahlstrom, Carol Field (EDT), Miller, Jan (EDT), Trollope, Joyce (EDT), Darling, Jennifer Dorland (EDT), and Bander, Susan M. (EDT)",August,2001,Meredith Press
790,Kenya: A Novel,"Halkin, John",July,1986,Beaufort Books
791,The Social Lives of Dogs,"Thomas, Elizabeth Marshall and Williams, Jared Taylor (ILT)",June,2000,Simon & Schuster
792,Eddie's Bastard: A Novel,"Kowalski, William",September,2000,Harper Perennial
793,First Prayers,"Church, Caroline Jayne (ILT)",March,2012,Parragon Books
794,A Speaker's Guidebook,"O'Hair, Dan, Stewart, Robert A., and Rubenstein, Hannah",March,2001,Bedford Books
795,Made in America: His Own Story,"Ueberroth, Peter",May,1988,Horizon Book Promotions
796,The mortgaged heart,"McCullers, Carson",January,1971,Houghton Mifflin
797,Minute Motivators for Leaders: Quick Inspiration for the Time of Your Life,"Toler, Stan",January,2002,David C Cook
798,The Grill Book: New Foods and Flavors for the Grill,"McCune, Kelly",May,1991,HarperCollins
799,Faith,"Deighton, Len",January,1994,HarperCollins
800,Another Mother's Life,"Coleman, Rowan",October,2008,Gallery Books
801,3 Brides for 3 Bad Boys,"Monroe, Lucy",March,2005,Kensington
802,Stops Along the Country Road,"Breighner, Joseph",June,1996,Cathedral Foundation Press
803,What If? Writing Exercises for Fiction Writers,"Bernays, Anne and Painter, Pamela",November,1991,William Morrow Paperbacks
804,The Macmillan Visual Almanac,"Tesar, Jenny E. and Glassman, Bruce S. (EDT)",August,1996,Macmillan General Reference
805,The Great Rift: Africa's Changing Valley,"Smith, Anthony",October,1989,Sterling Pub Co Inc
806,The Secret Diaries of Miss Miranda Cheever,"Quinn, Julia",June,2007,Avon
807,Dear Mother,Hallmark,January,1976,Hallmark Editions
808,The Monkey Handlers,"Liddy, G. Gordon",September,1991,St. Martin's Paperbacks
809,Bread for the World,"Simon, Arthur",March,1985,Eerdmans Pub Co
810,Camera at War: A History of War Photography from 1848 to the Present Day,Jorge Lewinski,April,1980,Simon & Schuster
811,Treasure Island,Robert Louis Stevenson,January,2008,DALMATION PRESS
812,On the Edge of Darkness: Conversations about Conquering Depression,"Cronkite, Kathy",February,1994,Doubleday
813,No Contest : Corporate Lawyers and the Perversion of Justice in America,"Nader, Ralph and Smith, Wesley J.",October,1996,Random House
814,Baseball: Rules of the Game,"Sakurai, Jennifer M. and Dierksen, Jane (ILT)",February,1990,Price Stern Sloan
815,West of Dodge: Frontier Stories  ,"L'Amour, Louis",March,1997,Bantam
816,Before the Wind: True Stories About Sailing,"Gowdey, David (EDT)",February,1994,International Marine/Ragged Mountain Press
817,Cash: An American Man,"Miller, Bill, Vancil, Mark, and Hoye, Jacob",May,2004,CMT
818,Madam Butterfly,"Carner, Mosco",June,1979,Silver Burdett Pr
819,To America: Personal Reflections of an Historian,"Ambrose, Stephen E.",November,2002,Simon & Schuster
820,Twice Shy,"Francis, Dick",January,1983,Fawcett
821,Eloquent Executive,"Parkhurst, William",May,1988,Crown
822,Newt Gingrich's Bedtime Stories for Orphans,"Crimmins, C. E. and Maeder, Tom",July,1995,Newstar Pr
823,Give and Take: The Complete Guide to Negotiating Strategies and Tactics,"Karrass, Chester L.",December,1974,T.Y. Crowell Co
824,Call Each River Jordan: A Novel of Historical Suspense,"Parry, Owen",October,2001,William Morrow
825,Come To Grief,"Francis, Dick",January,1995,Michael Joseph
826,Nonverbal Selling Power,"Gschwandtner, Gerhard and Garnett, Pat",July,1985,Prentice Hall Direct
827,The Snow Garden,"Rice, Christopher",February,2003,Miramax
828,125 Brain Games for Babies,"Silberg, Jackie",May,1999,Gryphon House
829,Rick Steves' Europe Through the Back Door,"Steves, Rick",January,1995,John Muir Pubns
830,American Nature Guides Eastern Birds,"Shaw, Frank",August,1990,Gallery Books
831,The Coyote Bead,"Hausman, Gerald",September,1999,Hampton Roads Publishing
832,Increasing Student Learning Through Multimedia Projects,"Simkins, Michael (EDT)",September,2002,ASCD
833,Dark Age Britain: Some Sources of History,"Marsh, Henry",May,1987,Hippocrene Books
834,ON THE WING: The Life of Birds: From Feathers to Flight,"Brooks, Bruce",September,1989,Scribner
835,BRIGHT STAR,"Coyle, Harold",April,1990,Simon & Schuster
836,Wildcat,"Thomas, Craig",November,1989,Jove
837,Sleeping Beauties: Newborns in Dreamland,"Raver, Tracy (PHT) and Ryden, Kelley (PHT)",March,2010,Sellers Publishing
838,Shadows at Midnight,"Jennings, Elizabeth",August,2010,Berkley
839,How I Pray: People of Different Religions Share with Us That Most Sacred and Intimate Act of Faith,"Castelli, Jim (EDT)",September,1994,Ballantine Books
840,HOLT HANDBOOK 5E,"Kirszner, Laurie G. and Mandell, Stephen R.",January,1999,Wadsworth Publishing
841,Voices From The Future: Our Children Tell Us About Violence in America,"Goodwillie, Susan (EDT)",August,1993,Crown
842,Cape Cod and the Islands: A Picture Book to Remember Her By,"Smart, Ted",March,1988,Crescent
843,French Women Don't Get Fat: The Secret of Eating for Pleasure,"Guiliano, Mireille",December,2007,Vintage
844,The Second Middle Age: Looking Differently at Life Beyond 50,"Manheimer, Ronald J. (EDT)",April,1995,Visible Ink Pr
845,The English American: A Novel,"Larkin, Alison",March,2008,Simon & Schuster
846,When Helping You Is Hurting Me,"Berry, Carmen Renee",February,1995,HarperCollins
847,Feng Shui Made Easy: Designing Your Life with the Ancient Art of Placement,"Spear, William",October,1995,HarperOne
848,Plain Brown Wrapper: An Alex Powell Novel,"Bates, Karen Grigsby",July,2001,William Morrow Paperbacks
849,CliffsNotes Pride and Prejudice,"Fitzwater, E. (EDT)",September,1959,Cliffs Notes
850,Now What Can I Do?,"Sweet, Melissa (ILT) and Bridges, Margaret Park",July,2001,SeaStar
851,Lost Harbor: The Controversy over Drake's California Anchorage,"Hanna, Warren L.",June,1979,Univ of California Pr
852,Say Goodbye to Back Pain,"Betancourt, Marian and Hiesiger, Emile, M.D.",October,2004,Pocket Books
853,Thinking of You,"Sanna, Ellyn",January,2003,"Barbour Publishing, Incorporated"
854,The Celts,"Chadwick, Nora",May,1971,Penguin Books
855,The Complete Love's Little Instruction Book: Romantic Hints for Lovers of All Ages,"Pigeon, Annie",January,2005,Gramercy
856,Mastering Project Management,"Lewis, James P.",March,1998,McGraw-Hill
857,The People's Catechism: Catholic Faith for Adults,"Brennan, Patrick, Lucker, Raymond, and Leach, Michel",June,1995,Crossroad
858,A Child's First Book of Poems,Cyndy Szekeres,January,1981,Western Pub. Co
859,The Horizontal Organization : What the Organization of the Future Actually Looks Like and How it Delivers Value to Customers,"Ostroff, Frank",February,1999,Oxford University Press
860,The Five Minute Iliad Other Instant Classics: Great Books For The Short Attention Span,"Nagan, Greg",August,2000,Gallery Books
861,Sherlock Holmes and the Secret Alliance,"Millett, Larry",October,2001,Viking
862,When Life Is Changed Forever,"Taylor, Rick",January,1993,Harvest House Publishers
863,Little Red Riding Hood,Modern Publishing,January,1995,Modern Publishing
864,Torah and Canon,"Sanders, James A.",June,1972,Fortress Press
865,When Life Hurts: Comforting Reflections for Our Troubled Moments,"Greeley, Andrew M.",November,1989,Crown
866,Plenty: A drama,David Hare,January,1978,"Samuel French, Inc."
867,Grand Jury,"Friedman, Philip",May,1996,Dutton Adult
868,The Matchmaker of Perigord: A Novel,"Stuart, Julia",August,2008,Harper Perennial
869,Speaking Up,"Ruskin, Mark",August,1997,Adams Media
870,The Reading List: Contemporary Fiction: A Critical Guide to the Complete Works of 125 Authors,"Rubel, David (EDT)",June,1998,Holt Paperbacks
871,Mark the Road: Signposts for the Christian Pilgrim,"Weldon, Wilson O",January,1973,The Upper Room
872,Energy Politics,"Davis, David Howard",November,1992,Cengage Learning
873,An Unfinished Woman,X,January,1979,Bamtam
874,Night Over Water,"Follett, Ken",September,1992,Signet Book
875,The Office Survival Guide,"Thompson, Andrea and Puder-York, Marilyn, Ph.D.",December,2005,McGraw-Hill
876,The Unforgiving Minute: A Soldier's Education,"Mullaney, Craig M.",February,2010,Penguin Books
877,How to Pray,"Torrey, R. A.",December,1983,Whitaker House
878,A Time for Freedom,"Cheney, Lynne V.",October,2005,Simon & Schuster Books for Young Readers
879,The Alien Years,"Silverberg, Robert",August,1998,Harperprism
880,The plot to destroy Israel: The road to Armageddon,"Rosenfeld, Alvin",January,1977,Putnam
881,Origami with Dollar Bills,unknown,January,2006,Sterling Publishing Co
882,Is It Worth Dying for,"Eliot, Robert S.",April,1985,Bantam Books
883,Vegan: The New Ethics of Eating,"Macus, Erik and Marcus, Erik",September,1997,"McBooks Press, c.1998,"
884,Western Unity and the Common Market,Lippmann Walter,January,1962,"Little, Brown"
885,A Fish That's a Box,"Esterman, M. M.",January,2010,Great River Books
886,Armed and Dangerous: Facing Today's Battles with the Word of God,,March,2000,"Barbour Publishing, Incorporated"
887,The Banana Lover's Cookbook,"Lindquist, Carol",February,1993,St Martins Pr
888,Fit or Fat?,"Bailey, Covert",May,1989,Houghton Mifflin
889,Disobedience: A Novel,"Hamilton, Jane",July,2001,Anchor
890,The Complete Idiot's Guide to Genealogy,"Rose, Christine and Ingalls, Kay Germain",September,1997,Alpha
891,Father's Day: A Novel,"Batchelor, John Calvin",October,1994,Henry Holt & Co
892,White Fang: Illustrated Classics,"London, Jack",March,1990,Kidsbooks
893,Quilt Style,"Fazely, Lucy A.",March,2002,Courage Books
894,Living in Sin?: A Bishop Rethinks Human Sexuality,"Spong, John Shelby",February,1990,HarperOne
895,Don Quixote,"Cervantes Saavedra, Miguel de, Bogin, Magda (TRN), and Boix, Manual (ILT)",September,1991,Stewart Tabori & Chang
896,Soviet Jewry Today and Tomorrow,"Smolar, Boris",January,1971,Macmillan
897,The Johnson humor,"Johnson, Lyndon B., Adler, Bill",January,1965,Simon & Schuster
898,Watercolor Painting Techniques,"Lewis, David (EDT)",October,1983,Watson-Guptill
899,Fresh from the pantry: Recipes for every day,Longaberger Company,January,2001,Longaberger Co
900,Time Life History of the Civil War,Ronald H. Bailey,January,1995,Barnes & Noble
901,America from Space,"Allen, Thomas B.",March,2001,Firefly Books
902,Swan Peak: A Dave Robicheaux Novel,"Burke, James Lee",July,2008,Simon & Schuster
903,Finder's Fee,"Gansky, Alton",May,2007,Zondervan
904,The Rules of Baseball,"Nemec, David",April,1994,UNKNO
905,Men And Women Of The Corporation,"Kanter, Rosabeth M.",March,1979,Basic Books
906,Triathlon Training Basics,"Bernhardt, Gale",April,2004,VeloPress
907,Twilight,"Heitzmann, Kristen",July,2002,Bethany House Publishers
908,Tracing Your Civil War Ancestors,"Groene, Bertram H.",February,1995,Blair
909,The Art of Fiction: Notes on Craft for Young Writers,"Gardner, John",December,1984,Vintage
910,Between Sundays,"Kingsbury, Karen",May,2008,Zondervan
911,Unlimited Horizons,"Stinson, Patrick",June,1989,"Vantage Press, Incorporated"
912,The Christian Family,Larry Christenson,January,1970,Bethany Fellowship
913,Home Fires: A Novel,"Rice, Luanne",January,2011,Bantam
914,Taps: A Novel,"Morris, Willie",April,2001,HOUGHTON MIFFLIN HARCOURT
915,Rising Sun,"Crichton, Michael",January,2008,Ballantine Books
916,Delicious Ways to Control Diabetes Cookbook,"Cain, Anne Chappell (EDT)",May,1999,Oxmoor House
917,Special Topics In Calamity Physics,"Pessl, Marisha",January,2006,Penguin Books
918,Johnny Tremain,"Forbes, Esther",January,1972,Dell
919,The ADHD Parenting Handbook: Practical Advice for Parents from Parents,"Alexander-Roberts, Colleen",October,1994,Taylor Trade Publishing
920,The Italian Cookbook: The Practical Guide to Preparing and Cooking Delicious Italian Meals,"Biggs, Fiona (EDT)",August,2006,Parragon Inc
921,Our Search for Serenity,"Tchividjian, Gigi",January,1981,WORLD WIDE
922,Gardening in Time: Planning Future Growth and Flowering,"Boisset, Caroline",January,1991,Simon & Schuster
923,The Big Squeeze: Tough Times for the American Worker,"Greenhouse, Steven",February,2009,Anchor
924,Soul to Soul: Communications from the Heart,"Zukav, Gary",June,2008,Free Press
