,common_entity,entity1,entity2,entity3,rag_text
878,i want to be with you always,willie nelson,1977,country/folk,
879,lonely little mansion,willie nelson,1963,country/folk,"This list contains songs written by American country singer-songwriter Willie Nelson, including those where he is credited as co-author. The 337 songs are arranged alphabetically."
880,saturday night,bay city rollers,1974,pop/rock,
881,erykah’s gun,dj harrison,2014,blues/jazz,
882,good + bad times,inxs,1985,pop/rock,
883,soul searching,average white band,1976,blues/jazz,
884,winter,khalid,2017,pop/rock,
885,to the kill,violent femmes,1983,pop/rock,
886,bell bottom blues,derek & the dominos,1970,country/folk,
887,if i had you,adam lambert,2009,pop/rock,
888,two,ryan adams,2007,country/folk,
889,colder weather (feat. little big town),zac brown band,2010,country/folk,
890,help,jah shaka,1984,country/folk,
891,too much,drake,2013,pop/rock,
892,one of these days,john lee hooker,1960,blues/jazz,
893,indians,anthrax,1987,pop/rock,"""Indians"" is a song by American thrash metal band Anthrax, from the band's third studio album, Among the Living (1987). It has since then remained one of the band's signature songs, appearing on their best-of albums: Return of the Killer A's, Madhouse: The Very Best of Anthrax and Anthrology: No Hit Wonders (1985–1991).
It appears in the Guitar Hero game Guitar Hero: Warriors of Rock and as downloadable content for the Rock Band series and Rocksmith 2014."
894,red like roses,jeff williams,2013,pop/rock,
895,somebody to love,justin bieber,2010,pop/rock,
896,i wish i didn't love you so,k.d. lang,1988,country/folk,
897,amaryllis,shinedown,2012,pop/rock,
898,no swallerin' place,june carter cash,1952,country/folk,Keep on the Sunny Side: June Carter Cash – Her Life in Music is a compilation album by June Carter Cash which spans from 1939 with The Carter Sisters and Mother Maybelle on the radio to her 2003 album Wildwood Flower. It was released in 2005.
899,"promises, promises",dionne warwick,1968,pop/rock,
900,non dimenticar,connie francis,1959,pop/rock,
901,thirteen days,j.j. cale,1979,blues/jazz,
902,easy to love,taj mahal,1976,blues/jazz,
903,house of memories,panic! at the disco,2016,pop/rock,"""House of Memories"" is a song by American rock solo project Panic! at the Disco. It was released on January 15, 2016, as the tenth track on the band's fifth studio album, Death of a Bachelor (2016). The song gained popularity in April 2022, causing it to chart in multiple countries, including Austria, Germany, the Netherlands, Norway, Portugal, Sweden and Switzerland.
On October 28, 2022, following the song's success earlier that year on TikTok, the song was released on an EP along with slowed down and sped up versions."
904,hurt (dedicated to johnny cash),sevendust,2004,pop/rock,
905,merry mending,nina simone,1962,blues/jazz,"Nina Simone Sings Ellington is the fourth studio album by American singer and pianist Nina Simone. The album features songs that were recorded by Duke Ellington. Most were composed or cowritten by Ellington, some with his longtime collaborators Irving Mills and Billy Strayhorn.
Besides singing and playing piano on the album, Simone arranged the performances. She is accompanied on the album by the Malcolm Dodds Singers."
906,tek him,mad cobra,2005,country/folk,
907,echo,trapt,2002,pop/rock,
908,sing swan song,can,1972,pop/rock,
909,in a sentimental mood,sarah vaughan,1980,blues/jazz,
910,precious memories,tammy wynette,1964,country/folk,
911,the way through,deca,2017,blues/jazz,
912,slither,metallica,1997,pop/rock,
913,hurting each other,carpenters,1972,pop/rock,"""Hurting Each Other"" is a song popularized by the Carpenters in 1972. It was written in 1965 by Gary Geld and Peter Udell, and has been recorded many times by artists ranging from Ruby & the Romantics to Rosemary Clooney."
914,down on love,foreigner,1984,pop/rock,
915,you & me,j-kwon,2004,hip hop/reggae,
916,hip hop,damos,2009,hip hop/reggae,
917,until it's time for you to go,willie nelson,1984,country/folk,
918,hangover heart,hank thompson,1966,country/folk,
919,warning,incubus,2001,pop/rock,
920,come hell or high water,native construct,2015,blues/jazz,
921,if not for love,johnny cash,1971,country/folk,
922,when my last song is sung,merle haggard,1977,country/folk,
923,breaking skin,nonpoint,2014,pop/rock,
924,"winkin, blinkin and nod",jonathan edwards,1987,country/folk,
925,yesterday when i was young,roy clark,1996,country/folk,
926,walking in l.a.,missing persons,1982,pop/rock,"""Walking in L.A."" is a song by American new wave band Missing Persons. It was written by Terry Bozzio, with production by Ken Scott at Chateau Recorders, in Los Angeles, California. The song appeared on their debut studio album Spring Session M in 1982 and has been described as the pivotal song on the album.  It was released as a single in February 1983. A live version of the song (recorded in 1981) was released as a CD bonus track on Missing Persons’ 1984 album, Rhyme & Reason.It was a minor hit In the United States, spending 6 weeks on the Billboard Hot 100 chart and peaking at #70 in March 1983.  It is still recalled occasionally today for its comical portrayal of Hollywood culture and its wry observations on getting around in Los Angeles (“Nobody walks in L.A.!”).  Songwriter Terry Bozzio has said that he was inspired to write the song by comedians making jokes about driving everywhere in the city."
927,for the last time,rory gallagher,1971,blues/jazz,
928,here's that rainy day,paul desmond,2002,blues/jazz,
929,transdermal celebration,ween,2003,pop/rock,"Quebec is the eighth studio album by the American rock band Ween, released on August 5, 2003, on Sanctuary Records. It was the first album released after the band's contract with Elektra expired, and marked its return to independent labels.
On August 11, 2011, Dean Ween quietly released a two-disc, MP3-only collection of songs, The Caesar Demos, named after the band's original working title for Quebec—to friends on his Facebook page. In his comment, he stated the songs were all recorded between 2001 and 2003 while drummer Claude Coleman, Jr. was recovering from injuries sustained in a car accident, and that many of the tracks featured only himself and Gene. In addition to a handful of recordings that eventually made the album, the demos feature several alternate takes as well as a number of songs that have remained unreleased.Dean Ween recorded the guitar solo on ""Transdermal Celebration"" illicitly using Carlos Santana's guitar and amplifier at a storage space where it was to be shipped to New York. After being informed by a roadie, he took a hard disk recorder with him and successfully recorded it in ten minutes without getting caught.The album cover is an edited version of the packaging for the game Thorns from the 3M Paper Games series with the band superimposed on it."
930,blue rain,glenn miller,1991,blues/jazz,
931,one in a million,pete rock,1993,blues/jazz,
932,smoke gets in your eyes,the platters,1959,pop/rock,"""Smoke Gets in Your Eyes"" is a show tune written by American composer Jerome Kern and lyricist Otto Harbach for the 1933 musical Roberta. The song was sung in the Broadway show by Tamara Drasin. Its first recorded performance was by Gertrude Niesen, who recorded the song with orchestral direction from Ray Sinatra, Frank Sinatra's second cousin, on October 13, 1933. Niesen's recording of the song was released by Victor, with the B-side, ""Jealousy"", featuring Isham Jones and his Orchestra.Paul Whiteman had the first hit recording of the song on the record charts in 1934.The song was reprised by Irene Dunne, who performed it in the 1935 film adaptation of the musical co-starring Fred Astaire, Ginger Rogers, and Randolph Scott. The song was also included in the 1952 remake of Roberta, Lovely to Look At, in which it was performed by Kathryn Grayson, and was a number 1 chart hit in 1959 for the Platters. 
J. D. Souther covered the song for the soundtrack to director Steven Spielberg's 1989 film Always, and has a cameo appearance performing it at a dance with the main characters, played by Richard Dreyfuss and Holly Hunter."
933,strap me in,the cars,1987,pop/rock,"""Strap Me In"" is a 1987 song by the Cars, appearing on their sixth studio album Door to Door."
934,gimme love,kash'd out,2019,country/folk,
935,born to lose,don gibson,1961,country/folk,
936,the great southern trendkill,pantera,1996,pop/rock,"The Great Southern Trendkill is the eighth studio album by American heavy metal band Pantera, released on May 7, 1996, through Elektra Records and East West Records. It reached number 4 on the Billboard 200 chart, and stayed on the chart for 16 weeks. During the album's production, Phil Anselmo recorded the vocals alone at Trent Reznor's Nothing Studios in New Orleans while Dimebag Darrell, Rex Brown, and Vinnie Paul recorded the music at Chasin Jason Studios in Dalworthington Gardens. This would be Pantera's last studio album to be produced by Terry Date, who had worked with the band since Cowboys from Hell (1990).

"
937,bits and pieces,the dave clark five,1964,pop/rock,"""Bits and Pieces"" is a song by British beat group The Dave Clark Five. The single hit number 2 in the UK and number 4 in the US, as well as being a success in other countries. It was number 2 or 4 in Australia, number 1 in Canada and Ireland, and number 4 in the Netherlands. In Germany, it reached number 20.Lead vocals are sung by Mike Smith, who also co-wrote the song.  
The song is in antiphonal style, with Mike Smith singing a solo line and the whole group responding. The drums have a very prominent part in the accompaniment. Additionally, some of the song's unique percussion was supplied by an exercise board, which two of the band members (reportedly quite intoxicated) stamped on, not always perfectly in time to the music.
Robert Christgau, writing in 1969, called the song ""a wonderfully serviceable rock throwaway, raucous and meaningless, perfect for shouting into the night.""  Cash Box described it as ""a hard-hitting rocker that the boys pound out in a steady, heavy beat style.""The song's distinct stomp-like pattern has been sampled by numerous musicians.The Dave Clark Five performed ""Bits and Pieces"" in an appearance on the Ed Sullivan Show."
938,something to hold on to,the jeff healey band,1990,blues/jazz,
939,missing you,brandy,1996,pop/rock,
940,tropical,chuck loeb,2005,blues/jazz,
941,blue moon,elvis presley,1956,pop/rock,"""Blue Moon"" is a popular song written by Richard Rodgers and Lorenz Hart in 1934 that has become a standard ballad. Early recordings included those by Connee Boswell and by Al Bowlly in 1935.  The song was a hit twice in 1949, with successful recordings in the U.S. by Billy Eckstine and Mel Tormé.
In 1961, ""Blue Moon"" became an international number-one hit for the doo-wop group the Marcels, on the Billboard 100 chart and in the UK Singles Chart, and later that same year, an instrumental version by the Ventures charted at No. 54. Over the years, ""Blue Moon"" has been covered by many artists, including Frankie Avalon, The Beatles, Frank Sinatra, Jo Stafford, Ella Fitzgerald, Ray Stevens, Billie Holiday, Al Bowlly, Elvis Presley, Bobby Vinton, Sam Cooke, the Platters, the Mavericks, Dean Martin, Amália Rodrigues, Yvonne De Carlo, The Supremes, Cyndi Lauper, New Edition, Bob Dylan, Chromatics, and Rod Stewart. Bing Crosby featured the song in a medley on his 1962 album On the Happy Side. Cowboy Junkies interpolated a version of the standard in ""Blue Moon Revisited (Song for Elvis)"", on the second and subsequent releases of their sophomore album The Trinity Session. The song also serves as the anthem for the Premier League football club Manchester City."
942,the general (live),dispatch,2001,country/folk,
943,nights on broadway,bee gees,1975,pop/rock,"""Nights on Broadway"" is a song by the Bee Gees from the Main Course album released in 1975. The second single released from the album, it immediately followed their number-one hit ""Jive Talkin'"". This track was credited to Barry, Robin and Maurice Gibb.

"
944,landslide,dixie chicks,2002,country/folk,
945,whisper my name,randy travis,1994,country/folk,"""Whisper My Name"" is a song written by Trey Bruce, and recorded by American country music artist Randy Travis.  It was released in June 1994 as the second single from his album This Is Me.  It became a Number One country hit for him in both the United States and Canada."
946,hold him joe,ziggy marley,2009,country/folk,
947,valse de bamboula,angelo debarre,1989,blues/jazz,
948,gotta serve somebody,bob dylan,1979,pop/rock,"""Gotta Serve Somebody"" is a song written and performed by American singer-songwriter Bob Dylan, released as the opening track on his 1979 studio album Slow Train Coming. It won the Grammy Award for Best Rock Vocal Performance by a Male in 1980. It was later anthologized on the compilation albums Biograph (1985), Bob Dylan's Greatest Hits Volume 3 (1994), The Essential Bob Dylan (2000), The Best of Bob Dylan and Dylan (2007)."
949,live and give,israel vibration,1981,country/folk,
950,a figure walks,the fall,1979,blues/jazz,
951,"for a pessimist, i'm pretty optimistic",paramore,2007,pop/rock,"Riot! is the second studio album by the American rock band Paramore. It was released in the United States on June 12, 2007, through Fueled by Ramen as a follow-up to their debut album, All We Know Is Falling (2005). The album was produced by David Bendeth and written by band members Hayley Williams and Josh Farro, with Bendeth, and fellow band member Zac Farro co-writing on select tracks. The album explores a ""diverse range of styles,"" while not straying far from the ""signature sound"" of their debut album,  with several critics comparing it to the music of Kelly Clarkson and Avril Lavigne. The cover of the album also resembles the cover artwork of No Doubt's 2001 album Rock Steady.
Riot! received generally positive reviews from music critics, who praised its sound, and noted its ""crossover potential"". The album was successful in the United States, reaching number fifteen on the Billboard 200 and achieving triple-platinum status on April 20, 2021, by the Recording Industry Association of America (RIAA). It was also certified platinum in both the United Kingdom by the British Phonographic Industry (BPI) and the Australia by the Australian Recording Industry Association (ARIA), and gold in both New Zealand and Canada. Its lead single, ""Misery Business"", reached top-thirty and forty positions in the US and is considered the band's ""breakthrough"" hit, credited with introducing the band to a mainstream audience. Its third and fourth singles, ""Crushcrushcrush"", and ""That's What You Get"", were also successful with both achieving a platinum certification by the RIAA."
952,that day,nonpoint,2012,pop/rock,
953,jealous of the angels,donna taggart,2013,country/folk,
954,before i believe it's true,randy rogers band,2006,country/folk,
955,it's the game,the game,2007,hip hop/reggae,
956,pride,soil,2004,pop/rock,
957,rocky road,alborosie,2016,country/folk,
958,regret,new order,1993,pop/rock,
959,dance,super cat,1995,country/folk,
960,pledge allegiance to the hag,eric church,2006,country/folk,
961,we saw the sea,fred astaire,2010,blues/jazz,
962,amazing,aerosmith,1993,pop/rock,
963,bring the sun/toussaint l'ouverture,swans,2014,blues/jazz,"To Be Kind is the thirteenth studio album by American experimental rock band Swans, released on May 12, 2014. It was released as a triple LP, a double CD, and a two-CD deluxe edition that includes a live DVD of performances from Hellfest Open Air Festival, Pitchfork Music Festival and Primavera Sound Festival, as well as a digital download. Critical reception of the album was very positive, continuing a string of well-received albums from the band. The album peaked at number 37 on US Billboard 200, and debuted at number 38 on the UK Albums Chart. Both are the highest chartings that Swans had ever achieved on a studio album and it is the first time that the band cracked the top 40 in both countries."
964,cocaine,jackson browne,1977,pop/rock,
965,jody,del shannon,1961,pop/rock,
966,angel,amanda perez,2002,pop/rock,
967,i can let go now,michael mcdonald,1982,pop/rock,
968,diamonds aren't forever,bring me the horizon,2008,pop/rock,"Suicide Season is the second studio album by British rock band Bring Me the Horizon. It was released on 29 September 2008 in the United Kingdom and Europe through Visible Noise. The band signed a licensing deal with Epitaph Records on 11 September 2008, with the label releasing the album on 18 November 2008 in the United States.The album shows a major change musically from their previous releases, starting to shift from their original deathcore sound and mixing in metalcore influences. This would also be the last album to feature Curtis Ward on rhythm guitar. The band later released a two disc special edition of Suicide Season which features various musicians and producers remixing tracks off the album, entitled Suicide Season: Cut Up!;  this was released on 2 November 2009 in the United Kingdom through Visible Noise and on 12 April 2010 in the United States through Epitaph.
Suicide Season spawned three singles (""Chelsea Smile"", ""Diamonds Aren't Forever"" and ""The Sadness Will Never End""). The album debuted on the charts of five countries. Critically, the album received a mixed response. Though praised for the musical shift from the style of 2006's Count Your Blessings, the album was criticised for its song writing and musical aesthetics. The album has received more favourable retrospective analysis, notably surrounding Bring Me the Horizon's later critical acclaim.

"
969,headhunter,krokus,1983,blues/jazz,
970,far away truths,"albert hammond, jr.",2018,blues/jazz,
971,captivity,jah shaka,1984,country/folk,
972,hip-hop drunkies,tha alkaholiks,2008,hip hop/reggae,"""Hip Hop Drunkies"" is a song written and performed by American hip hop group Tha Alkaholiks featuring Wu-Tang Clan member Ol' Dirty Bastard. It was released in 1997 through Loud Records as the lead single from Tha Liks' third studio album Likwidation. Recording sessions took place at Soundcastle in Los Angeles and at Marley's House Of Hits in New York. Production was handled by E-Swift with co-production from Marley Marl. The single peaked at number 66 on the Billboard Hot 100, at number 37 on the Hot R&B/Hip-Hop Songs, and at number 6 on the Hot Rap Songs, making it the group's most successful single.
In 1999, the song appeared on Wu-Tang compilation album Wu-Chronicles."
973,someone's looking at you,the boomtown rats,1979,pop/rock,"""Someone's Looking at You"" was the third and final single from The Boomtown Rats' album The Fine Art of Surfacing. It peaked at number two on the Irish Singles Chart and number 4 on the UK Singles Chart in February 1980.It is an organ-based song that paints a humid picture of 1984-style government surveillance and has been described as a ""gently humorous song about paranoia"". The second verse starts ""They saw me there in the square when I was shooting my mouth off about saving some fish. Now could that be construed as some radical's views or some liberals' wish"". This refers to singer Bob Geldof's participation in a Greenpeace anti-whaling rally in London's Trafalgar Square. Geldof's website describes the song as a personal statement on fame."
974,crowd control,phish,2004,blues/jazz,
975,don't you (forget about me),simple minds,1985,pop/rock,"""Don't You (Forget About Me)"" is a song by Scottish rock band Simple Minds, released as a single in 1985. It was written and composed by producer Keith Forsey and guitarist Steve Schiff. Forsey and Schiff wrote the song for Simple Minds and offered it to several other acts before Simple Minds agreed to record it. The song was inspired by and used in the 1985 John Hughes film The Breakfast Club. 
In addition to being a breakout hit for Simple Minds, ""Don't You (Forget About Me)"" became an iconic song and a 1980s anthem. The single reached No. 1 in the United States and Canada, becoming Simple Minds' biggest hit in the United States. It also reached No. 7 on the UK Singles Chart and reached the top ten in charts around the world."
976,world so cold,12 stones,2007,pop/rock,
977,"anywhere is ""home""",hank locklin,1966,country/folk,
978,slippery st. paul,the doobie brothers,1971,country/folk,
979,dark ages,jethro tull,1979,blues/jazz,
980,white lines,grandmaster melle mel,2008,hip hop/reggae,
981,i'm lonely (but i ain't that lonely yet),the white stripes,2005,blues/jazz,
982,maagata maagata janm gele,lata mangeshkar,1953,pop/rock,
983,i love my shirt,donovan,1969,pop/rock,
984,sleigh ride,carpenters,1978,pop/rock,
985,just one time,don gibson,1960,country/folk,"""Just One Time"" is a single written and originally recorded by American country music artist Don Gibson. Released in February 1960, the song reached #2 on the Billboard Hot Country Singles chart, while also reaching #29 on the Billboard Pop chart. The single was later released on Gibson's album Look Who's Blue.In 1971 American country artist Connie Smith recorded a cover version of ""Just One Time"" and released it as a single in April 1971. The single peaked at #2 on the Billboard Hot Country Singles chart and #19 on the Bubbling Under Hot 100 singles chart. It became her first single in seven years to reach the latter chart. In addition, ""Just One Time"" reached #2 on the Canadian RPM Country Tracks chart in 1971. It was released on an album of the same name shortly after.
Others recording the song are Skeeter Davis in 1960 (an answer song as “I Want To See You (Just One Time)”), The Everly Brothers in 1963, Johnny Tillotson in 1965, Frank Ifield in 1966, Kitty Wells in 1971, Dottie West in 1971, Jean Shepard in 1971, Danny Davis and the Nashville Brass in 1971, Chet Atkins in 1971, Renée Martel (in French, as ""Si on pouvait recommencer"") in 1972, Freddy Fender in 1976, Tompall & the Glaser Brothers in 1981, and Chet Atkins and Mark Knopfler in 1990."
986,i heard that lonesome whistle,johnny cash,1957,country/folk,
987,take me down to the infirmary,cracker,1993,country/folk,
988,love takes time,mariah carey,1990,pop/rock,"""Love Takes Time"" is a song recorded by American singer-songwriter Mariah Carey for her eponymous debut studio album (1990). Written by Carey and Ben Margulies, while produced by Walter Afanasieff, the song was released as the second single from the album on August 22, 1990, by Columbia Records. An adult contemporary-influenced ballad, the song follows its protagonist lamenting the loss of a lover and confesses that ""love takes time"" to heal and that her feelings for her ex-lover remain.
Carey quickly recorded ""Love Takes Time"" at the last minute when the album was already considered complete and being processed for release. She played the song's demo to former Columbia CEO Don Ienner while on an airplane. Ienner and other officials immediately insisted the song be included on her upcoming album, even though the album was already going through final stages of completion and Carey wanted to save it for her sophomore effort. Eventually the song made it on to the album as the closing track, however, due to its late addition, it was not listed as such on early pressings of the album. Subsequent pressings of the album corrected this error.
""Love Takes Time"" was well received by music critics and went to become another success from the album in North America. It became Carey's second number-one single in the United States, attaining the position for three weeks. However, the song did not replicate the success of its predecessor globally. A music video was provided for the song, filmed in black and white at a beach. ""Love Takes Time"" has been included on Carey's compilation album Greatest Hits (2001), as well as #1 to Infinity (2015), among others. ""Love Takes Time"" was heavily promoted in the US, being performed live on shows such as The Arsenio Hall Show, Mariah's Thanksgiving NBC Special and The Des O'Connor Show. Since its release, the song has been included on set lists of Carey's numerous concert tours and residencies."
989,zilch,the monkees,1967,pop/rock,"Headquarters is the third studio album by the Monkees, released in May 1967 after the first season of their television series had concluded. It was the first album on which the group members made substantial songwriting and instrumental contributions, rather than relying on session musicians and professional songwriters. After a struggle for creative autonomy with their record label, the group had been allowed, to a degree, to record by themselves. Headquarters became the group's third consecutive No. 1 album on the Billboard 200 chart and was certified double platinum in the United States with sales of more than two million copies within the first two months of release. It also peaked at No. 2 on the UK charts. It is included in the 2006 book 1001 Albums You Must Hear Before You Die.

"
990,the passion,billy bragg,1986,country/folk,
991,sweat (a la la la la long),inner circle,2010,country/folk,"""Sweat (A La La La La Long)"" is a song by Jamaican reggae fusion group Inner Circle, released in July 1992 as the lead single from their twelfth album, Bad to the Bone (1992). It was a number-one hit in Belgium, Germany, Israel, the Netherlands, New Zealand, Portugal, Switzerland, and Zimbabwe. The accompanying music video, depicting the group on the beach, was directed by Mathias Julien. Australian music channel Max included ""Sweat"" in their list ""1000 Greatest Songs of All Time"" in 2017."
992,courtesy call,thousand foot krutch,2012,pop/rock,
993,honky-tonk girl,johnny cash,1960,country/folk,
994,into happiness,phantogram,2019,pop/rock,
995,violins,lagwagon,1995,pop/rock,
996,daydream interlude,mariah carey,1995,pop/rock,"Daydream is the fifth studio album by American singer-songwriter Mariah Carey, released on September 26, 1995, by Columbia Records. The follow-up to her internationally successful studio album Music Box (1993), and the holiday album Merry Christmas (1994), Daydream differed from her previous releases by leaning increasingly toward hip hop and urban music. Throughout the project, Carey collaborated with Walter Afanasieff, with whom she wrote and produced most of her previous albums. With Daydream, Carey took more control over the musical direction as well as the album's composition. Carey considered the album to be the beginning of her musical and vocal transition, a change that would become more evident in her sixth studio album Butterfly (1997). During the album's production, Carey endured many creative differences with her label and then-husband Tommy Mottola. On Daydream, Carey collaborated with Jermaine Dupri, Kenneth ""Babyface"" Edmonds, and R&B group Boyz II Men. With Afanasieff's assistance and the addition of a few contemporary producers, she was able to make a subtle transition into the contemporary R&B market, after previously only pursuing pop, adult contemporary and traditional R&B music.
Daydream received critical acclaim, with reviewers praising the album's production, its sonic quality, and Carey's musical progression. It became Carey's best reviewed album up to that point and garnered six nominations at the 38th Grammy Awards, including for Album of the Year. It was later included on the List of 200 Definitive Albums in the Rock and Roll Hall of Fame. Daydream became a global success, topping the charts in nine countries, and reaching the top five in almost every major music market. It was Carey's second album to be certified Diamond by the RIAA. As of 2019, Daydream has sold over 20 million copies worldwide and is one of the best-selling albums of all time.
Six singles were released from the album. Its lead single ""Fantasy"" became the first single by a female artist to debut at number one on the US Billboard Hot 100 and went on to top the chart for eight weeks, and became the second best-selling single of 1995 in the country. The second single ""One Sweet Day"" topped the Billboard Hot 100 for sixteen weeks and became the longest-running number-one single in Billboard's history, holding the record for 23 years. The album's next single ""Always Be My Baby"" reached number one as well. Jointly, the singles from Daydream spent a combined six months at the top of the Hot 100. To promote the album, Carey embarked on the short but successful, Daydream World Tour, visiting Japan and Europe."
997,thrown out of the bar,hank williams iii,2006,country/folk,
998,ace of hearts,chris rea,1984,blues/jazz,
999,with love (remember),gary moore,1994,blues/jazz,
1000,not right,jonny lang,2013,blues/jazz,
1001,mama nantucket,michael nesmith,1970,pop/rock,
1002,foggy river,conway twitty,1961,country/folk,
1003,black,pearl jam,1991,pop/rock,
1004,future breed machine,meshuggah,1995,blues/jazz,"The True Human Design is the fourth EP by Swedish extreme metal band Meshuggah. It was released through Nuclear Blast on 19 July 1997 in Europe and on 25 November 1997 in the United States. The EP includes an enhanced CD-ROM video track for the song ""Terminal Illusions"". All of the songs, except for the live recording of ""Future Breed Machine"", were featured on the ""Reloaded"" re-release of Chaosphere."
1005,do it all the time,i dont know how but they found me,2018,pop/rock,
1006,chromazone,mike stern,1988,blues/jazz,
1007,bad love,eric clapton,1989,blues/jazz,
1008,driving home for christmas,chris rea,1988,blues/jazz,"""Driving Home for Christmas"" is a Christmas song written and composed by British singer-songwriter Chris Rea. The first version was originally released as the B-side to his single ""Hello Friend"" in 1986. In October 1988, a re-recorded version served as one of two new songs on Rea's first compilation album New Light Through Old Windows. It was issued as the fourth single from the album in December 1988, where it peaked at number 53 on the UK Singles Chart as the lead track of The Christmas EP.Despite its original modest chart placement, the song has made a reappearance on the UK Singles Chart every year since 2007 when it peaked at No. 33, and is featured among the Top 10 Christmas singles. It reached a new peak of number 10 on the UK Singles Chart in 2021. In a UK-wide poll in December 2012, it was voted twelfth on the ITV television special The Nation's Favourite Christmas Song.The song has since been covered by numerous artists, including Engelbert Humperdinck. A 2011 version by Stacey Solomon peaked at number 27 on the UK Singles Chart."
1009,die by the sword,slayer,1983,pop/rock,
1010,no regrets,phoebe snow,1976,blues/jazz,
1011,let's fall in love for the night,finneas,2018,pop/rock,"""Let's Fall in Love for the Night"" is a song by American singer-songwriter Finneas from his debut extended play (EP), Blood Harmony (2019). It was released by OYOY as the lead single from the EP on October 19, 2018. A pop track, the song's lyrics are about a boy dreaming about being with a girl he has never met and wanting to be with her in another world. In August 2020, Finneas released a different version of the track, titled ""Let's Fall in Love for the Night (1964)"", on the deluxe version of the EP, on August 7, 2020. Music critics have compared it to the work of Frank Sinatra.
Commercially, ""Let's Fall in Love for the Night"" peaked at number 17 and 24 on the US Billboard Alternative Songs and Rock Airplay charts, respectively. It has received a gold certification by the Recording Industry Association of America (RIAA), Music Canada (MC) and ARIA. A music video for the track was uploaded to Finneas' YouTube channel on March 19, 2020 and was directed by Sam Bennett. In it, Finneas goes from playing the ukulele on a rooftop in Los Angeles to performing choreography with several dancers. Finneas toured the United States throughout October 2019, with his tour including performances of the track."
1012,still,bill anderson,1996,country/folk,
1013,countdown to extinction,megadeth,1992,pop/rock,"Countdown to Extinction is the fifth studio album by American thrash metal band Megadeth, released on July 14, 1992, through Capitol Records. It was the group's second studio release to feature the ""classic"" lineup of Dave Mustaine, Marty Friedman, David Ellefson and Nick Menza, with all of them contributing to songwriting on the album. The album features some of the band's best known songs such as ""Symphony of Destruction"", ""Sweating Bullets"", and ""Skin o' My Teeth"", which enjoyed significant chart success and made a great musical impact.
Countdown to Extinction received positive reaction from music critics, who noted its politically oriented lyrics and simplified sound in comparison to their previous record. The album entered the Billboard 200 at number two, the band's highest position ever. It eventually achieved double platinum status and became their most commercially successful album. The record was nominated for Best Metal Performance at the 1993 Grammy Awards, while the album's title track won the Humane Society's Genesis Award for raising awareness for animal rights issues.
In 2012, in recognition of the album's 20th anniversary, Megadeth kicked off a 20th anniversary tour in South America, playing the album in its entirety. In addition, a 20th anniversary special edition of the album was released in November 2012, and a live album featuring a performance of the full album was released in September 2013.

"
1014,i love you so,b.b. king,1958,blues/jazz,
