,rag,common_entity,entity1,entity2,entity3,entity4
7650,Amin Mimoun Nouri,A. Nouri,Vålerenga Fotball,33,Norway,Norwegian Eliteserien
7651,José Joaquín Martínez Valadez,J. Martínez,Monarcas Morelia,23,Mexico,Mexican Liga MX
7652,Iriome González González,Iriome,CD Lugo,24,Spain,Spanish Segunda División
7653,Leigh Broxham,L. Broxham,Melbourne Victory,6,Australia,Australian Hyundai A-League
7654,Nordin Gerzić,N. Gerzić,Örebro SK,25,Sweden,Swedish Allsvenskan
7655,Pierre Thomas Robin Bengtsson,P. Bengtsson,F.C. København,3,Sweden,Danish Superliga
7656,Sven Andreas Landgren,A. Landgren,Helsingborgs IF,6,Sweden,Swedish Allsvenskan
7657,François Bellugou,F. Bellugou,AJ Auxerre,18,France,French Ligue 2
7658,秦升,Qin Sheng,Dalian Professional Football Club,16,China PR,Chinese Super League
7659,郑龙,Zheng Long,Dalian Professional Football Club,31,China PR,Chinese Super League
7660,Erling Knudtzon,E. Knudtzon,Molde FK,14,Norway,Norwegian Eliteserien
7661,James Lewis Jones,J. Jones,Wigan Athletic,23,England,English League Championship
7662,程月磊,Cheng Yuelei,Guangzhou City,1,China PR,Chinese Super League
7663,Kieran Ricardo Agard,K. Agard,Milton Keynes Dons,14,England,English League One
7664,Krystian Mitchell Victor Pearce,K. Pearce,Mansfield Town,5,England,English League Two
7665,Muhamed Keita,M. Keita,Strømsgodset IF,77,Norway,Norwegian Eliteserien
7666,Jonatan Tollås Nation,J. Nation,Vålerenga Fotball,4,Norway,Norwegian Eliteserien
7667,Thomas Joshua Elliott,T. Elliott,Millwall,19,England,English League Championship
7668,Sébastien Wüthrich,S. Wüthrich,Servette FC,10,Switzerland,Swiss Super League
7669,Konstantin Engel,K. Engel,VfL Osnabrück,5,Kazakhstan,German 2. Bundesliga
7670,Lukas Königshofer,L. Königshofer,KFC Uerdingen 05,1,Austria,German 3. Bundesliga
7671,Mario Humberto De Luna Saucedo,M. de Luna,Club Atlético de San Luis,33,Mexico,Mexican Liga MX
7672,Matthieu Dreyer,M. Dreyer,Amiens SC,16,France,French Ligue 1
7673,Joachim Thomassen,J. Thomassen,Sarpsborg 08 FF,16,Norway,Norwegian Eliteserien
7674,Jan-Philipp Kalla,J. Kalla,FC St. Pauli,27,Germany,German 2. Bundesliga
7675,Luke Daniels,L. Daniels,Brentford,28,England,English League Championship
7676,Chris Martin,C. Martin,Derby County,19,Scotland,English League Championship
7677,Mario Daniel Vega,D. Vega,San Jose Earthquakes,17,Argentina,USA Major League Soccer
7678,Assani Lukimya-Mulongoti,A. Lukimya,KFC Uerdingen 05,5,Congo DR,German 3. Bundesliga
7679,Tommy Høiland,T. Høiland,Viking FK,10,Norway,Norwegian Eliteserien
7680,Ched Evans,C. Evans,Fleetwood Town,9,Wales,English League One
7681,Luciano Fabián Monzón,F. Monzón,Atlético Tucumán,3,Argentina,Argentina Primera División
7682,Robert O'Shea Salinas,S. Salinas,San Jose Earthquakes,6,United States,USA Major League Soccer
7683,顾操,Gu Cao,Henan Songshan Longmen FC,5,China PR,Chinese Super League
7684,Israel Sabdi Jiménez Nañez,I. Jiménez,Fútbol Club Juárez,13,Mexico,Mexican Liga MX
7685,Eduardo da Silva Nascimento Neto,Eduardo Neto,Nagoya Grampus,21,Brazil,Japanese J. League Division 1
7686,George Ulises Corral Ang,G. Corral,Gallos Blancos de Querétaro,2,Mexico,Mexican Liga MX
7687,Emir Kujović,E. Kujović,Djurgårdens IF,20,Sweden,Swedish Allsvenskan
7688,Michal Peškovič,M. Peškovič,Cracovia,40,Slovakia,Polish T-Mobile Ekstraklasa
7689,Abdoul Karim Yoda,K. Yoda,Racing Santander,19,France,Spanish Segunda División
7690,Ole Kittner,O. Kittner,SC Preußen Münster,13,Germany,German 3. Bundesliga
7691,Marcin Pietrowski,M. Pietrowski,Piast Gliwice,5,Poland,Polish T-Mobile Ekstraklasa
7692,Atdhe Nuhiu,A. Nuhiu,Sheffield Wednesday,17,Kosovo,English League Championship
7693,Francisco José Sandaza Asensio,Sandaza,AD Alcorcón,21,Spain,Spanish Segunda División
7694,Robin Söder,R. Söder,IFK Göteborg,9,Sweden,Swedish Allsvenskan
7695,Matteo Bruscagin,M. Bruscagin,Venezia FC,99,Italy,Italian Serie B
7696,Simen Søraunet Wangberg,S. Wangberg,Tromsø IL,22,Norway,Norwegian Eliteserien
7697,Dylan Gissi,D. Gissi,Atlético Tucumán,13,Switzerland,Argentina Primera División
7698,Zdeněk Ondrášek,Z. Ondrášek,FC Dallas,13,Czech Republic,USA Major League Soccer
7699,Francesco Di Tacchio,F. Di Tacchio,US Salernitana 1919,14,Italy,Italian Serie B
7700,Craig Noone,C. Noone,Melbourne City FC,11,England,Australian Hyundai A-League
7701,Lamine Gassama,L. Gassama,Göztepe SK,20,Senegal,Turkish Süper Lig
7702,Korcan Çelikay,K. Çelikay,MKE Ankaragücü,1,Turkey,Turkish Süper Lig
7703,Hugo Fraile Martín,Hugo Fraile,CF Fuenlabrada,7,Spain,Spanish Segunda División
7704,Michał Janota,M. Janota,Al Fateh,22,Poland,Saudi Abdul L. Jameel League
7705,Adaílton dos Santos da Silva,Adaílton,Júbilo Iwata,15,Brazil,Japanese J. League Division 1
7706,Nicolás Martín Gorobsov,N. Gorobsov,FC Voluntari,25,Argentina,Romanian Liga I
7707,Chris Pontius,C. Pontius,LA Galaxy,12,United States,USA Major League Soccer
7708,Laurens Henry Cristine De Bock,L. De Bock,Leeds United,24,Belgium,English League Championship
7709,Michael John Smith,M. Smith,Rotherham United,24,England,English League One
7710,Elio Castro Guadarrama,E. Castro,Fútbol Club Juárez,4,Mexico,Mexican Liga MX
7711,Tom Aldred,T. Aldred,Brisbane Roar,5,Scotland,Australian Hyundai A-League
7712,Rémi Pillot,R. Pillot,La Berrichonne de Châteauroux,16,France,French Ligue 2
7713,Robert Mikael Lundström,R. Lundström,AIK,15,Sweden,Swedish Allsvenskan
7714,仓田 秋,S. Kurata,Gamba Osaka,10,Japan,Japanese J. League Division 1
7715,田口 泰士,T. Taguchi,Júbilo Iwata,7,Japan,Japanese J. League Division 1
7716,Hassan Muath Fallatah,H. Muath,Al Shabab,13,Saudi Arabia,Saudi Abdul L. Jameel League
7717,Abdulmalek Abdullah Al Khaibri,A. Al Khaibari,Al Shabab,6,Saudi Arabia,Saudi Abdul L. Jameel League
7718,Hrvoje Milić,H. Milić,Crotone,16,Croatia,Italian Serie B
7719,John Erik Gunnar Friberg,E. Friberg,BK Häcken,8,Sweden,Swedish Allsvenskan
7720,Matthew Jurman,M. Jurman,Al Ittihad,5,Australia,Saudi Abdul L. Jameel League
7721,Viktor Lundberg,V. Lundberg,BK Häcken,23,Sweden,Swedish Allsvenskan
7722,Anthony Michel Taugourdeau,A. Taugourdeau,Trapani,5,France,Italian Serie B
7723,Murray Davidson,M. Davidson,St. Johnstone FC,8,Scotland,Scottish Premiership
7724,Paul Michael Downing,P. Downing,Portsmouth,5,England,English League One
7725,Gerrit Nauber,G. Nauber,SV Sandhausen,22,Germany,German 2. Bundesliga
7726,Chris Shields,C. Shields,Dundalk FC,5,Republic of Ireland,Rep. Ireland Airtricity League
7727,Shane Kevin Ferguson,S. Ferguson,Millwall,11,Northern Ireland,English League Championship
7728,Nathan Thompson,N. Thompson,Peterborough United,15,England,English League One
7729,Giorgi Merebashvili,G. Merebashvili,Wisła Płock,10,Georgia,Polish T-Mobile Ekstraklasa
7730,Patrick Schönfeld,P. Schönfeld,SV Wehen Wiesbaden,21,Germany,German 2. Bundesliga
7731,Bobby Shuttleworth,B. Shuttleworth,Minnesota United FC,33,United States,USA Major League Soccer
7732,Thomas Schrammel,T. Schrammel,SK Sturm Graz,4,Austria,Austrian Football Bundesliga
7733,Sebastian Mielitz,S. Mielitz,SønderjyskE,28,Germany,Danish Superliga
7734,Romário Pereira Sipião,Romário,Kalmar FF,29,Brazil,Swedish Allsvenskan
7735,Torgeir Børven,T. Børven,Odds BK,22,Norway,Norwegian Eliteserien
7736,Florin Berenguer Bohrer,F. Berenguer,Melbourne City FC,10,France,Australian Hyundai A-League
7737,Tim Coremans,T. Coremans,Sparta Rotterdam,1,Netherlands,Holland Eredivisie
7738,Pape N'Diaye Souaré,P. Souaré,ESTAC Troyes,27,Senegal,French Ligue 2
7739,José Egas dos Santos Branco,Zequinha,Vitória de Setúbal,87,Portugal,Portuguese Liga ZON SAGRES
7740,Tyler Deric,T. Deric,Houston Dynamo,1,United States,USA Major League Soccer
7741,Christian Groß,C. Groß,SV Werder Bremen,36,Germany,German 1. Bundesliga
7742,Bruno André Freitas Monteiro,Bruno Monteiro,CD Tondela,27,Portugal,Portuguese Liga ZON SAGRES
7743,Billy Kee,B. Kee,Accrington Stanley,29,Northern Ireland,English League One
7744,Aristidis Soiledis,A. Soiledis,FCSB (Steaua),18,Greece,Romanian Liga I
7745,Max Grün,M. Grün,Borussia Mönchengladbach,31,Germany,German 1. Bundesliga
7746,Airam López Cabrera,Airam,Extremadura UD,11,Spain,Spanish Segunda División
7747,Dorian Lévêque,D. Lévêque,Le Mans FC,5,France,French Ligue 2
7748,Alper Uludağ,A. Uludağ,İttifak Holding Konyaspor,25,Turkey,Turkish Süper Lig
7749,Simon Moore,S. Moore,Sheffield United,25,England,English Premier League
7750,Jonathan Tinhan,J. Tinhan,Grenoble Foot 38,8,France,French Ligue 2
7751,Romain Grange,R. Grange,La Berrichonne de Châteauroux,15,France,French Ligue 2
7752,Thomas Michael Flanagan,T. Flanagan,Sunderland,12,Northern Ireland,English League One
7753,Kaan Kanak,K. Kanak,Aytemiz Alanyaspor,17,Turkey,Turkish Süper Lig
7754,Sam Thomas Winnall,S. Winnall,Sheffield Wednesday,11,England,English League Championship
7755,Matej Delač,M. Delač,AC Horsens,1,Croatia,Danish Superliga
7756,Jayden Connor Stockley,J. Stockley,Preston North End,20,England,English League Championship
7757,Aymen Mathlouthi,A. Mathlouthi,Al Adalah,99,Tunisia,Saudi Abdul L. Jameel League
7758,Hans Alexis Martínez Cabrera,H. Martínez,CD Universidad de Concepción,3,Chile,Chilian Campeonato Nacional
7759,Óscar Boniek García Ramírez,B. García,Houston Dynamo,27,Honduras,USA Major League Soccer
7760,Alessandro Bassoli,A. Bassoli,Pordenone,26,Italy,Italian Serie B
7761,Lars-Christopher Horst Jan Vilsvik,L. Vilsvik,Strømsgodset IF,26,Norway,Norwegian Eliteserien
7762,Yasser Abdullah Nasser Al-Mosailem,Y. Al Mosailem,Al Ahli,1,Saudi Arabia,Saudi Abdul L. Jameel League
7763,John Adam Straith,A. Straith,F.C. Hansa Rostock,15,Canada,German 3. Bundesliga
7764,Eunan O'Kane,E. O'Kane,Leeds United,20,Republic of Ireland,English League Championship
7765,Jonathan Leonardo Lacerda Araújo,J. Lacerda,Fútbol Club Juárez,2,Uruguay,Mexican Liga MX
7766,Simon Makienok Christoffersen,S. Makienok,FC Utrecht,23,Denmark,Holland Eredivisie
7767,Mark Gillespie,M. Gillespie,Motherwell,20,England,Scottish Premiership
7768,Mark van der Maarel,M. van der Maarel,FC Utrecht,2,Netherlands,Holland Eredivisie
7769,Leandro Lucas Marín,L. Marín,Patronato,44,Argentina,Argentina Primera División
7770,Luc Castaignos,L. Castaignos,Gyeongnam FC,9,Netherlands,Korean K League 1
7771,André Jack Calisir,A. Calisir,IFK Göteborg,26,Armenia,Swedish Allsvenskan
7772,Ivan Franjić,I. Franjić,Perth Glory,5,Australia,Australian Hyundai A-League
7773,Liam Jordan Palmer,L. Palmer,Sheffield Wednesday,2,Scotland,English League Championship
7774,Joseph Thomas Gordan Shaughnessy,J. Shaughnessy,Southend United,19,Republic of Ireland,English League One
7775,Saliou Ciss,S. Ciss,Angers SCO,34,Senegal,French Ligue 1
7776,Stefano Pettinari,S. Pettinari,Lecce,15,Italy,Italian Serie A
7777,Kristoffer Barmen,K. Barmen,SK Brann,29,Norway,Norwegian Eliteserien
7778,Ramzi Aya,R. Aya,Pisa,15,Italy,Italian Serie B
7779,Riccardo Bocalon,R. Bocalon,Venezia FC,24,Italy,Italian Serie B
7780,Michiel Jonckheere,M. Jonckheere,KV Oostende,20,Belgium,Belgian Jupiler Pro League
7781,Eder Nicolás Borelli Cap,E. Borelli,Fútbol Club Juárez,5,Mexico,Mexican Liga MX
7782,Ricky Lee Holmes,R. Holmes,Sheffield United,26,England,English Premier League
7783,Ciprian Ioan Deac,C. Deac,CFR Cluj,10,Romania,Romanian Liga I
7784,Jens Cools,J. Cools,KAS Eupen,26,Belgium,Belgian Jupiler Pro League
7785,Santiago Alejandro Gallucci Otero,S. Gallucci,Club Atlético Central Córdoba,21,Argentina,Argentina Primera División
7786,Jesper Alkærsig Lauridsen,J. Lauridsen,Esbjerg fB,14,Denmark,Danish Superliga
7787,Jonas Knudsen,J. Knudsen,Malmö FF,3,Denmark,Swedish Allsvenskan
7788,Marvin Potzmann,M. Potzmann,SK Rapid Wien,19,Austria,Austrian Football Bundesliga
7789,Łukasz Gikiewicz,Ł. Gikiewicz,FCSB (Steaua),27,Poland,Romanian Liga I
7790,Jake Dane Forster-Caskey,J. Forster-Caskey,Charlton Athletic,8,England,English League Championship
7791,Nicolai Oppen Larsen,N. Larsen,FC Nordsjælland,18,Denmark,Danish Superliga
7792,Mitchell te Vrede,M. te Vrede,Al Fateh,9,Netherlands,Saudi Abdul L. Jameel League
7793,Thilo Gerd Leugers,T. Leugers,SV Meppen,8,Germany,German 3. Bundesliga
7794,Jason John Lowe,J. Lowe,Bolton Wanderers,4,England,English League One
7795,Maciej Makuszewski,M. Makuszewski,Lech Poznań,17,Poland,Polish T-Mobile Ekstraklasa
7796,Vitus Eicher,V. Eicher,1. FC Heidenheim 1846,22,Germany,German 2. Bundesliga
7797,남준재 南君宰,Nam Joon Jae,Jeju United FC,11,Korea Republic,Korean K League 1
7798,Nick Marsman,N. Marsman,Feyenoord,21,Netherlands,Holland Eredivisie
7799,John David Lundstram,J. Lundstram,Sheffield United,7,England,English Premier League
7800,Jonson Clarke-Harris,J. Clarke-Harris,Bristol Rovers,9,England,English League One
7801,Richard Smallwood,R. Smallwood,Blackburn Rovers,6,England,English League Championship
7802,Joshua Francis Morris,J. Morris,Fleetwood Town,11,England,English League One
7803,Alistair Crawford,A. Crawford,Doncaster Rovers,11,Scotland,English League One
7804,Sven Schipplock,S. Schipplock,DSC Arminia Bielefeld,36,Germany,German 2. Bundesliga
7805,Nicolao Manuel Dumitru Cardoso,N. Dumitru,Gaz Metan Mediaş,27,Italy,Romanian Liga I
7806,Nicklas Helenius Jensen,N. Helenius,Aarhus GF,15,Denmark,Danish Superliga
7807,Alessandro Iacobucci,A. Iacobucci,Frosinone,1,Italy,Italian Serie B
7808,José Antonio Pardo Lucas,Pardo,Extremadura UD,6,Spain,Spanish Segunda División
7809,Salvatore D'Elia,S. D'Elia,Ascoli,3,Italy,Italian Serie B
7810,George Moncur,G. Moncur,Luton Town,20,England,English League Championship
7811,Patrick McEleney,P. McEleney,Dundalk FC,11,Republic of Ireland,Rep. Ireland Airtricity League
7812,Mathieu Deplagne,M. Deplagne,FC Cincinnati,17,France,USA Major League Soccer
7813,Ryan Johnson Laursen,R. Laursen,Odense Boldklub,4,Denmark,Danish Superliga
7814,Noë Dussenne,N. Dussenne,Standard de Liège,36,Belgium,Belgian Jupiler Pro League
7815,Louis Bostyn,L. Bostyn,SV Zulte Waregem,25,Belgium,Belgian Jupiler Pro League
7816,Russell Teibert,R. Teibert,Vancouver Whitecaps FC,31,Canada,USA Major League Soccer
7817,Jeff Attinella,J. Attinella,Portland Timbers,1,United States,USA Major League Soccer
7818,Massadio Haïdara,M. Haïdara,Racing Club de Lens,21,France,French Ligue 2
7819,Piotr Parzyszek,P. Parzyszek,Piast Gliwice,9,Poland,Polish T-Mobile Ekstraklasa
7820,Jonathon Patrick Flanagan,J. Flanagan,Rangers FC,15,England,Scottish Premiership
7821,Luis Carlos Arias Cardona,L. Arias,Club Unión Magdalena S.A,7,Colombia,Colombian Liga Postobón
7822,Eriq Anthony Zavaleta Vanney,E. Zavaleta,Toronto FC,15,United States,USA Major League Soccer
7823,Chukwuemeka Ademola Amachi Aneke,C. Aneke,Charlton Athletic,10,England,English League Championship
7824,Michael Joseph Boxall,M. Boxall,Minnesota United FC,15,New Zealand,USA Major League Soccer
7825,George Long,G. Long,Hull City,1,England,English League Championship
7826,Hector Osvaldo Jimenez,H. Jimenez,Columbus Crew,16,United States,USA Major League Soccer
7827,Hernán Daniel Santana Trujillo,Hernán,Real Sporting de Gijón,8,Spain,Spanish Segunda División
7828,Václav Hladký,V. Hladký,St. Mirren,1,Czech Republic,Scottish Premiership
7829,Cornel Emilian Râpă,C. Râpă,Cracovia,2,Romania,Polish T-Mobile Ekstraklasa
7830,李可,Li Ke,Beijing Guoan FC,23,China PR,Chinese Super League
7831,박진포 朴珍铺,Park Jin Po,Jeju United FC,6,Korea Republic,Korean K League 1
7832,신세계 申西桂,Sin Se Gye,Suwon Samsung Bluewings,30,Korea Republic,Korean K League 1
7833,Alberto Noguera Ripoll,Noguera,CD Numancia,14,Spain,Spanish Segunda División
7834,Héctor Hernández Ortega,Héctor,CD Numancia,23,Spain,Spanish Segunda División
7835,Benjamin Halloran,B. Halloran,Adelaide United,26,Australia,Australian Hyundai A-League
7836,Robert Kieran Dennis Hall,R. Hall,Oxford United,7,England,English League One
7837,Adnane Tighadouini,A. Tighadouini,Málaga CF,15,Morocco,Spanish Segunda División
7838,Kristoffer Lie Løkberg,K. Løkberg,Viking FK,24,Norway,Norwegian Eliteserien
7839,Weverson Leandro Oliveira Moura,Leandro,Kashima Antlers,11,Brazil,Japanese J. League Division 1
7840,Mathias Fetsch,M. Fetsch,Hallescher FC,10,Germany,German 3. Bundesliga
7841,Alhassane Bangoura,L. Bangoura,Vancouver Whitecaps FC,19,Guinea,USA Major League Soccer
7842,Jiří Skalák,J. Skalák,Millwall,26,Czech Republic,English League Championship
7843,Gerard Badía Cortés,Gerard Badía,Piast Gliwice,21,Spain,Polish T-Mobile Ekstraklasa
7844,Adriano Montalto,A. Montalto,US Cremonese,32,Italy,Italian Serie B
7845,Jens Jønsson,J. Jønsson,İttifak Holding Konyaspor,6,Denmark,Turkish Süper Lig
7846,Alexander Ludwig,A. Ludwig,AC Horsens,33,Denmark,Danish Superliga
7847,Francesc Xavier Molina Arias,Xavi Molina,KAS Eupen,4,Spain,Belgian Jupiler Pro League
7848,Curtis Garry Edwards,C. Edwards,Djurgårdens IF,24,England,Swedish Allsvenskan
7849,Galder Cerrajería López,Cerrajería,CD Mirandés,8,Spain,Spanish Segunda División
7850,Rory McKenzie,R. McKenzie,Kilmarnock,7,Scotland,Scottish Premiership
7851,Paul Izzo,P. Izzo,Adelaide United,20,Australia,Australian Hyundai A-League
7852,Shawn Parker,S. Parker,SpVgg Greuther Fürth,9,Germany,German 2. Bundesliga
7853,Abdulyussuf Adedeji Adeniyi Oshilaja,A. Oshilaja,Charlton Athletic,4,England,English League Championship
7854,Stanley Elbers,S. Elbers,PEC Zwolle,25,Netherlands,Holland Eredivisie
7855,Thomas Grøgaard,T. Grøgaard,SK Brann,5,Norway,Norwegian Eliteserien
7856,Grant Hall,G. Hall,Queens Park Rangers,4,England,English League Championship
7857,Phillipp Steinhart,P. Steinhart,TSV 1860 München,36,Germany,German 3. Bundesliga
7858,Youssef Toutouh,Y. Toutouh,Aarhus GF,24,Denmark,Danish Superliga
7859,Andreas Leitner,A. Leitner,FC Flyeralarm Admira,1,Austria,Austrian Football Bundesliga
7860,Korbinian Vollmann,K. Vollmann,F.C. Hansa Rostock,10,Germany,German 3. Bundesliga
7861,Cristiano Pereira Figueiredo,Cristiano,AFC Hermannstadt,13,Portugal,Romanian Liga I
7862,Wilson Kamavuaka,W. Kamavuaka,SV Darmstadt 98,36,Congo DR,German 2. Bundesliga
7863,Dylan McGeouch,D. McGeouch,Sunderland,8,Scotland,English League One
7864,Herman Sørby Stengel,H. Stengel,Strømsgodset IF,7,Norway,Norwegian Eliteserien
7865,Jack Baldwin,J. Baldwin,Sunderland,15,England,English League One
7866,Martin Pušić,M. Pušić,SV Mattersburg,19,Austria,Austrian Football Bundesliga
7867,Lukáš Zima,L. Zima,Livorno,1,Czech Republic,Italian Serie B
7868,Michael Uzoukwu Absalom Jude Ihiekwe,M. Ihiekwe,Rotherham United,20,England,English League One
7869,Sergio Blázquez Sánchez,Tekio,Elche CF,2,Spain,Spanish Segunda División
7870,Ivan Lanni,I. Lanni,Ascoli,1,Italy,Italian Serie B
7871,Gwion Dafydd Rhys Edwards,G. Edwards,Ipswich Town,7,Wales,English League One
7872,Marco Chiosa,M. Chiosa,Virtus Entella Chiavari,46,Italy,Italian Serie B
7873,Moreno Rutten,M. Rutten,Crotone,28,Netherlands,Italian Serie B
7874,Davide Marsura,D. Marsura,Livorno,7,Italy,Italian Serie B
7875,Achraf Lazaar,A. Lazaar,Newcastle United,33,Morocco,English Premier League
7876,Álvaro Juan Cruz Armada,Juan Cruz,Elche CF,23,Spain,Spanish Segunda División
7877,Evan Bush,E. Bush,Club de Foot Montréal,1,United States,USA Major League Soccer
7878,Philipp Hofmann,P. Hofmann,Karlsruher SC,33,Germany,German 2. Bundesliga
7879,Luis Saúl Silva López,L. Silva,Seattle Sounders FC,23,United States,USA Major League Soccer
7880,Nick DeLeon,N. DeLeon,Toronto FC,18,United States,USA Major League Soccer
7881,Cándido Saúl Ramírez Montes,C. Ramírez,Monarcas Morelia,15,Mexico,Mexican Liga MX
7882,Stefan Thesker,S. Thesker,Holstein Kiel,5,Germany,German 2. Bundesliga
7883,Ryan Meara,R. Meara,New York Red Bulls,18,Republic of Ireland,USA Major League Soccer
7884,David Fällman,D. Fällman,Hammarby IF,5,Sweden,Swedish Allsvenskan
7885,Mart Lieder,M. Lieder,SønderjyskE,10,Netherlands,Danish Superliga
7886,Amos Youga,A. Youga,Le Havre AC,18,Central African Republic,French Ligue 2
7887,Alan Omar Mendoza López,A. Mendoza,Club Universidad Nacional,5,Mexico,Mexican Liga MX
7888,Lasse Vigen Christensen,L. Vigen,Brøndby IF,21,Denmark,Danish Superliga
7889,Pelly-Ruddock Mpanzu,P. Mpanzu,Luton Town,17,England,English League Championship
7890,Paulo Otávio Rosa da Silva,Paulo Otávio,VfL Wolfsburg,6,Brazil,German 1. Bundesliga
7891,Simon Sandberg,S. Sandberg,Hammarby IF,2,Sweden,Swedish Allsvenskan
7892,Alexander Scott Gilbey,A. Gilbey,Milton Keynes Dons,8,England,English League One
7893,Mohammed Saeid,M. Saeid,IK Sirius,26,Sweden,Swedish Allsvenskan
7894,Tom Pettersson,T. Pettersson,Östersunds FK,2,Sweden,Swedish Allsvenskan
7895,최성근 崔圣根,Choi Sung Geun,Suwon Samsung Bluewings,25,Korea Republic,Korean K League 1
7896,Robin Pröpper,R. Pröpper,Heracles Almelo,4,Netherlands,Holland Eredivisie
7897,Frédéric Brillant,F. Brillant,D.C. United,13,France,USA Major League Soccer
7898,Kolja Pusch,K. Pusch,1. FC Heidenheim 1846,27,Germany,German 2. Bundesliga
7899,Jordan Alan Moore-Taylor,J. Moore-Taylor,Milton Keynes Dons,15,England,English League One
7900,Bruno Felipe de Abreu Barbosa,Bruninho,Desportivo das Aves,6,Brazil,Portuguese Liga ZON SAGRES
7901,David Boris Philippe Henen,D. Henen,Royal Charleroi S.C.,7,Belgium,Belgian Jupiler Pro League
7902,Fawaz Balqassem Al Qarni,F. Al Qarni,Al Ittihad,22,Saudi Arabia,Saudi Abdul L. Jameel League
7903,Hattan Sultan Bahebri,H. Bahebri,Al Hilal,27,Saudi Arabia,Saudi Abdul L. Jameel League
7904,Samuel Rosa Gonçalves,Samuel,Jeonbuk Hyundai Motors,91,Brazil,Korean K League 1
7905,Hadi Sacko,H. Sacko,Denizlispor,35,Mali,Turkish Süper Lig
7906,Florian Tardieu,F. Tardieu,ESTAC Troyes,10,France,French Ligue 2
7907,Bright Osagie Edomwonyi,B. Edomwonyi,FK Austria Wien,20,Nigeria,Austrian Football Bundesliga
7908,Rasmus Thelander,R. Thelander,Vitesse,26,Denmark,Holland Eredivisie
7909,Yroundu Musavu-King,Y. Musavu-King,Le Mans FC,29,Gabon,French Ligue 2
7910,Declan Patrick Gallagher,D. Gallagher,Motherwell,31,Scotland,Scottish Premiership
7911,Abdullah Ibrahim Al Maiouf,A. Al Mayoof,Al Hilal,1,Saudi Arabia,Saudi Abdul L. Jameel League
7912,Mansour Althaqfi Al Harbi,M. Al Harbi,Al Ittihad,31,Saudi Arabia,Saudi Abdul L. Jameel League
7913,Mohammed Yahya Jahfali,M. Jahfali,Al Hilal,70,Saudi Arabia,Saudi Abdul L. Jameel League
7914,Mohanad Aseri Abu Radiah,M. Asiri,Al Ahli,14,Saudi Arabia,Saudi Abdul L. Jameel League
7915,Connor Chapman,C. Chapman,Western United FC,6,Australia,Australian Hyundai A-League
7916,Renato Augusto Santos Júnior,Renato,Shimizu S-Pulse,22,Brazil,Japanese J. League Division 1
7917,Bruno Godeau,B. Godeau,Royal Excel Mouscron,31,Belgium,Belgian Jupiler Pro League
7918,Krzysztof Kamiński,K. Kamiński,Júbilo Iwata,21,Poland,Japanese J. League Division 1
7919,Peter van Ooijen,P. van Ooijen,VVV-Venlo,8,Netherlands,Holland Eredivisie
7920,Pape Abdou Paye,P. Paye,FC Sochaux-Montbéliard,2,France,French Ligue 2
7921,Thomas Ebner,T. Ebner,FK Austria Wien,27,Austria,Austrian Football Bundesliga
7922,Frederik Lucas Holst,F. Holst,IF Elfsborg,27,Denmark,Swedish Allsvenskan
7923,Mauro Javier Dos Santos,M. Dos Santos,CD Tenerife,15,Argentina,Spanish Segunda División
7924,Luis Felipe Gallegos Leiva,L. Gallegos,Club Necaxa,18,Chile,Mexican Liga MX
7925,Luis Valcarce Vidal,Luis Valcarce,SD Ponferradina,14,Spain,Spanish Segunda División
7926,Andrés Tomás Prieto Albert,Andrés Prieto,RCD Espanyol de Barcelona,1,Spain,Spain Primera Division
7927,Jack David Vincent Whatmough,J. Whatmough,Portsmouth,16,England,English League One
7928,Cayetano Quintana Hernández,Caye Quintana,Cádiz CF,11,Spain,Spanish Segunda División
7929,Martin Callie Boyle,M. Boyle,Hibernian,10,Australia,Scottish Premiership
7930,Leonardo Bertone,L. Bertone,FC Cincinnati,6,Switzerland,USA Major League Soccer
7931,Cassiano Dias Moreira,Cassiano,Boavista FC,39,Brazil,Portuguese Liga ZON SAGRES
7932,Ryan Paul Colclough,R. Colclough,Scunthorpe United,7,England,English League Two
7933,Marc Endres,M. Endres,SpVgg Unterhaching,6,Germany,German 3. Bundesliga
7934,Philipp Mickel Klewin,P. Klewin,DSC Arminia Bielefeld,40,Germany,German 2. Bundesliga
7935,Manfred Starke,M. Starke,1. FC Kaiserslautern,7,Namibia,German 3. Bundesliga
7936,Alejandro José Muñoz Miguel,Alex Muñoz,CD Tenerife,3,Spain,Spanish Segunda División
7937,Dimitrij Nazarov,D. Nazarov,FC Erzgebirge Aue,10,Azerbaijan,German 2. Bundesliga
7938,Maximilian Welzmüller,M. Welzmüller,FC Bayern München II,19,Germany,German 3. Bundesliga
7939,Günay Güvenç,G. Güvenç,Gazişehir Gaziantep F.K.,1,Turkey,Turkish Süper Lig
7940,Maximilian Thiel,M. Thiel,1. FC Heidenheim 1846,21,Germany,German 2. Bundesliga
7941,Ulrich Taffertshofer,U. Taffertshofer,VfL Osnabrück,8,Germany,German 2. Bundesliga
7942,Sebastián Rincón Lucumí,S. Rincón,Club Atlético Aldosivi,14,Colombia,Argentina Primera División
7943,Osayamen Osawe,O. Osawe,KFC Uerdingen 05,35,Nigeria,German 3. Bundesliga
