,common_entity,entity1,entity2,entity3
1161,action speaks louder than words,chocolate milk,1975,blues/jazz
1162,ding ding licky licky bong,lucky dube,2003,country/folk
1163,this life,denzel curry,2019,hip hop/reggae
1164,memories are made of this,jim reeves,1963,country/folk
1165,gotta get my hands on some (money),fatback band,1995,blues/jazz
1166,listen to your heart,little river band,1990,country/folk
1167,everytime you touch her,reba mcentire,1988,country/folk
1168,where the party at? (re-recorded) [remastered],jagged edge,2011,hip hop/reggae
1169,poor boy long ways from home,bukka white,1963,blues/jazz
1170,me or the papes,jeru the damaja,2018,hip hop/reggae
1171,gullyachi shapath,asha bhosle,1952,pop/rock
1172,the last of the true believers,nanci griffith,1985,country/folk
1173,don't cry blue,jonathan edwards,1971,country/folk
1174,i can't keep from crying sometimes,ten years after,1967,blues/jazz
1175,reggaemylitis,peter tosh,1988,country/folk
1176,so blue,prince,1978,pop/rock
1177,sugar never tasted so good,the white stripes,1999,blues/jazz
1178,automatically sunshine,the supremes,1972,pop/rock
1179,way down deep,vern gosdin,1983,country/folk
1180,i'm counting on you,elvis presley,1956,pop/rock
1181,lovely hula hands,marty robbins,1963,country/folk
1182,spirits in the material world,the police,1981,pop/rock
1183,hey there lonely girl,shaun cassidy,1977,pop/rock
1184,a reunion,gentle giant,1973,blues/jazz
1185,she's actin' single (i'm drinkin' doubles),wade hayes,1998,country/folk
1186,the quan,foxy brown,2008,hip hop/reggae
1187,hey little girl,dee clark,1961,pop/rock
1188,pretres,gane rimatore,2009,hip hop/reggae
1189,straight from the heart,con funk shun,1993,blues/jazz
1190,the guns of brixton,the clash,1979,pop/rock
1191,well-rested,miranda lambert,2016,country/folk
1192,just right tonight,aretha franklin,1984,blues/jazz
1193,the march,the dear hunter,2016,blues/jazz
1194,you for me,blossom dearie,1957,blues/jazz
1195,hear my heart,dean martin,1961,blues/jazz
1196,monster,the brian jonestown massacre,1996,blues/jazz
1197,burning a hole in my mind,connie smith,1968,country/folk
1198,into the darkness (45 version),"crosby, stills & nash",1982,blues/jazz
1199,i have learned to do without you,mavis staples,1970,pop/rock
1200,of matter,tesseract,2013,blues/jazz
1201,what kind of fool am i,sammy davis jr.,1962,blues/jazz
1202,always & forever,the green,2013,country/folk
1203,black rooster,the kills,2003,blues/jazz
1204,it's oh so quiet,björk,1995,pop/rock
1205,it's the most wonderful time of the year,andy williams,1953,pop/rock
1206,matter of time,ub40,1988,country/folk
1207,top rankin (feat. chronixx),jah sun,2013,country/folk
1208,miracle aligner,the last shadow puppets,2016,pop/rock
1209,brain,the action,2002,blues/jazz
1210,letting you go,tom petty and the heartbreakers,1981,pop/rock
1211,hang on little tomato,pink martini,2006,blues/jazz
1212,no matter what you do,love,1966,country/folk
1213,break the needle (spase ti velona),apogonoi tou omirou,2012,hip hop/reggae
1214,staying up,the neighbourhood,2013,pop/rock
1215,how sweet it is,karen dalton,1971,pop/rock
1216,it only hurts for a little while,don gibson,1960,country/folk
1217,here comes my baby,dean martin,1965,blues/jazz
1218,stupid girl,garbage,2007,pop/rock
1219,she's gone,daryl hall & john oates,1973,pop/rock
1220,we in here (feat. swizz beatz),dmx,2019,hip hop/reggae
1221,i'll take romance,june christy,1955,blues/jazz
1222,thief in my bedroom,david allan coe,1984,country/folk
1223,choo choo ch'boogie,asleep at the wheel,1974,country/folk
1224,your love can't be right,pat travers,1980,blues/jazz
1225,race you down the mountain,woody guthrie,1958,blues/jazz
1226,garden party,ricky nelson,1972,pop/rock
1227,the price,twisted sister,1984,pop/rock
1228,silence is the way,miles davis,2016,blues/jazz
1229,i'm gettin' stoned,eric church,2011,country/folk
1230,wearing the inside out,pink floyd,1994,pop/rock
1231,easy living,miranda lambert,2011,country/folk
1232,tomorrow never comes,zac brown band,2015,country/folk
1233,home is where the heart is,lady antebellum,2008,country/folk
1234,the sky is crying,eric clapton,1975,blues/jazz
1235,mama nature,pato banton,2000,country/folk
1236,late bar,duran duran,1981,pop/rock
1237,good enough,bonnie raitt,1975,blues/jazz
1238,don't cry no more,b.b. king,1974,blues/jazz
1239,do it myself,russ,2017,pop/rock
1240,hosanna (feat. avion blackman & jennifer howland),christafari,2012,country/folk
1241,trueschool,prop dylan,2010,hip hop/reggae
1242,woman to woman,joe cocker,1972,blues/jazz
1243,sleeping by her side,john mayall,1969,blues/jazz
1244,the wild side of life,hank locklin,1965,country/folk
1245,birthday gal,the replacements,1987,country/folk
1246,steady as the rain,dolly parton,1999,country/folk
1247,fantastic voyage,coolio,1994,pop/rock
1248,now that i found you,terri clark,1998,country/folk
1249,no diggity,blackstreet,2011,hip hop/reggae
1250,a-11,daryle singletary,2002,country/folk
1251,"cold, cold heart",aretha franklin,1964,blues/jazz
1252,my starter won't start this morning,lightnin' hopkins,1993,blues/jazz
1253,for all we know,wynton marsalis,1984,blues/jazz
1254,shanty town (007),musical youth,1994,country/folk
1255,only in my dreams,debbie gibson,1987,pop/rock
1256,claire's song,yellowjackets,1983,blues/jazz
1257,snow,rosemary clooney,1954,blues/jazz
1258,killing the blues,chris smither,2000,country/folk
1259,my name (wearing me out),shinedown,2012,pop/rock
1260,"baby, baby, everynight",etta james,1987,blues/jazz
1261,i.s.s.u.e.s.,katastro,2018,country/folk
1262,walk away,black sabbath,1980,pop/rock
1263,caroline,status quo,2005,blues/jazz
1264,demon cleaner,kyuss,1994,pop/rock
1265,one by one,stéphane pompougnac,2011,blues/jazz
1266,heat wave,the who,1966,pop/rock
1267,i'm wanted,cocoa tea,1992,country/folk
1268,wash me in the water,jamie n commons,2013,blues/jazz
1269,it's only make believe,glen campbell,1970,pop/rock
1270,feels so right,alabama,1980,country/folk
1271,stand!,sly & the family stone,1969,pop/rock
1272,someday my prince will come,bill evans,1960,blues/jazz
1273,beetlebum,blur,1997,pop/rock
1274,i will always love you (in my own crazy way),johnny cash,1986,country/folk
1275,if i could make a living,clay walker,1994,country/folk
1276,hey love,shaggy,2000,country/folk
1277,beer barrel polka ( roll out the barrel ),the andrews sisters,1987,blues/jazz
1278,spain,chick corea,1973,blues/jazz
1279,96 tears,? & the mysterians,1964,pop/rock
1280,leaving is the only way out,shania twain,1995,country/folk
1281,life on a rock,kenny chesney,2013,country/folk
1282,river,roberta flack,1973,blues/jazz
1283,mercy walked in,gordon mote,2008,country/folk
1284,boom boom mancini,warren zevon,1987,country/folk
1285,fast as you,dwight yoakam,1993,country/folk
1286,whole lot of shakin' in my heart (since i met you),smokey robinson & the miracles,1966,pop/rock
1287,punishment,biohazard,1992,pop/rock
1288,i'm to blame,mickey gilley,1967,country/folk
1289,pretty paper,willie nelson,1979,country/folk
1290,do the damn thing,killah priest,2011,hip hop/reggae
1291,sweeter memories,todd rundgren,1972,pop/rock
1292,outcast at last,sticky fingers,2016,country/folk
1293,my first love,avant,2000,pop/rock
1294,get out of town,ella fitzgerald,1956,blues/jazz
1295,no good,b.b. king,1969,blues/jazz
1296,the wicked messenger,the black keys,2007,blues/jazz
1297,how did you love,shinedown,2015,pop/rock
1298,the fool,b.b. king,1958,blues/jazz
1299,believe in me,dan fogelberg,1984,country/folk
1300,life turned her that way,charley pride,1967,country/folk
1301,save up all your tears,cher,1991,pop/rock
1302,from the bottom of my broken heart,britney spears,1999,pop/rock
1303,put a light on,generationals,2013,pop/rock
1304,i'm alive,beres hammond,2018,country/folk
1305,pieces of what,mgmt,2007,pop/rock
1306,romancing the stone,eddy grant,2008,country/folk
1307,don't take your love from me,catherine russell,2016,blues/jazz
1308,no love songs,chris cagle,2008,country/folk
1309,autumn sweater,yo la tengo,1997,pop/rock
1310,speaking in tongues,eagles of death metal,2004,blues/jazz
1311,blasphemy (selah),steel pulse,1979,country/folk
1312,scars,i am they,2018,pop/rock
1313,pass it on,the wailers,1973,country/folk
1314,untold stories,kathy mattea,1987,country/folk
1315,when you come back down,nickel creek,2000,pop/rock
1316,fool's castle,merle haggard,1968,country/folk
1317,i have to surrender,ty herndon,1996,country/folk
1318,almost persuaded,marty robbins,1963,country/folk
1319,up tight's creek,tina brooks,1960,blues/jazz
1320,is yours is mine,gene clark,1967,country/folk
1321,whisper to a scream (birds fly),the icicle works,2006,pop/rock
1322,i'll never grow tired of you,patty loveless,1988,country/folk
1323,venom soup,ted nugent,1978,blues/jazz
1324,don't you believe her,ray price,1966,country/folk
1325,calling dr. love,kiss,1976,pop/rock
1326,it is love,hank locklin,1966,country/folk
1327,lost in love,new edition,1984,pop/rock
1328,the national anthem,radiohead,2000,pop/rock
1329,comfortable liar,chevelle,2002,pop/rock
1330,lost keys (blame hofman),tool,2006,pop/rock
1331,swanee,judy garland,1954,blues/jazz
1332,workin' with the truth,herb ellis,1960,blues/jazz
1333,thanks to you,nat king cole,1992,blues/jazz
1334,20 years,bad suns,2013,pop/rock
1335,helplessly hoping,"crosby, stills, nash & young",1974,blues/jazz
1336,autopsy,fairport convention,1969,pop/rock
1337,i think i'm gonna kill myself,waylon jennings,1977,country/folk
1338,rockin' in the free world,krokus,2017,blues/jazz
1339,remember me (feat. steve augeri),journey,1998,pop/rock
1340,these are the days of our lives,queen,1991,pop/rock
1341,forever,drake,2009,pop/rock
1342,nobody's watching,jazz cartier,2017,hip hop/reggae
1343,summer days,a r i z o n a,2018,pop/rock
1344,get outta my car,hasil adkins,2007,blues/jazz
1345,love will find a way,pablo cruise,1978,pop/rock
1346,the angel of death,hank williams,1956,country/folk
1347,i was made for dancin',leif garrett,1998,pop/rock
1348,cruising for bruising,basia,1986,blues/jazz
1349,about today,the national,2004,pop/rock
1350,bottle let me down,emmylou harris,1975,pop/rock
1351,return to me,marty robbins,1957,country/folk
1352,on your feet,the movement,2004,country/folk
1353,rude boy hip hop (feat. raheem devaughn),styles p,2014,hip hop/reggae
1354,special k,placebo,2000,pop/rock
1355,high school musical,high school musical cast,2008,pop/rock
1356,this year's kisses,nina simone,1966,blues/jazz
1357,good things,the menzingers,2012,pop/rock
1358,on the verge,nahko and medicine for the people,2013,country/folk
1359,donald trump,upchurch,2016,country/folk
1360,"baby, won't you please come home",les paul,1955,pop/rock
1361,i am machine,three days grace,2015,pop/rock
1362,no capitalist,kabaka pyramid,2013,country/folk
1363,no time,cody jinks,2010,country/folk
1364,in the hills of shiloh,bobby bare,1973,country/folk
1365,cry to me,bob marley & the wailers,1976,country/folk
1366,noto swing,angelo debarre,1999,blues/jazz
1367,sporting life,brownie mcghee,1955,country/folk
1368,puro,freeman,2010,hip hop/reggae
1369,eat you alive,limp bizkit,2003,pop/rock
1370,all outta angst,nofx,1997,pop/rock
1371,genesis,devin townsend,2019,blues/jazz
1372,lullaby in ragtime,harry nilsson,1973,pop/rock
1373,bela lugosi’s dead,bauhaus,1986,pop/rock
1374,"blue morning, blue day",foreigner,1978,pop/rock
1375,i miss you,blink-182,2003,pop/rock
1376,ecstasy,wax tailor,2017,blues/jazz
1377,true believers,the bouncing souls,2001,pop/rock
1378,if you gotta make a fool of somebody,aretha franklin,1969,blues/jazz
1379,solitaire,nina simone,1959,blues/jazz
1380,your eyes were open,ub40,1984,country/folk
1381,till there was you,ray charles,2013,blues/jazz
1382,statue of liberty,little river band,1975,pop/rock
1383,louisiana gold,anders osborne,2012,blues/jazz
1384,cowboy songs,chris ledoux,1986,country/folk
1385,there goes a man,willie nelson,1967,country/folk
1386,turn around,iration,2010,country/folk
1387,young girl sunday blues,jefferson airplane,1967,blues/jazz
1388,gettin' jiggy wit it,will smith,2019,hip hop/reggae
1389,i slept with someone in fall out boy and all i got was this stupid song written about me,fall out boy,2005,pop/rock
1390,tonight,andy williams,1962,pop/rock
1391,lost weekend,lloyd cole and the commotions,1985,pop/rock
1392,love is for all time,the animals,1983,blues/jazz
1393,blue money,van morrison,1970,pop/rock
1394,united together,aretha franklin,1980,blues/jazz
1395,simple,phish,1994,blues/jazz
1396,talisman,the guess who,2000,blues/jazz
1397,day by day,the 5th dimension,1973,pop/rock
1398,my romance,dave brubeck,1955,blues/jazz
1399,beautiful love (take 1),bill evans trio,1961,blues/jazz
1400,donna the prima donna,dion,1962,pop/rock
1401,changing,the airborne toxic event,2011,pop/rock
1402,cassie,flyleaf,2006,pop/rock
1403,prequel to the sequel,between the buried and me,2007,blues/jazz
1404,bow tie daddy,frank zappa,1968,blues/jazz
1405,it ain't hard to tell,nas,1994,pop/rock
1406,blue canadian rockies,the byrds,1968,pop/rock
1407,reminder,mumford & sons,2012,pop/rock
1408,it's alright,slim smith,1972,country/folk
1409,stronger now in broken places,joe bonamassa,2018,blues/jazz
1410,rose of cimarron,emmylou harris,1981,country/folk
1411,livin' the dream,uncle kracker,2009,country/folk
1412,what's my name?,rihanna,2010,pop/rock
1413,up,desiigner,2017,hip hop/reggae
1414,devil doll,roy orbison,1961,pop/rock
1415,the tables are turnin',einstein,1990,hip hop/reggae
1416,i'll still be loving you,restless heart,1998,country/folk
1417,i'll see him through,tammy wynette,1964,country/folk
1418,na na na,third world,2019,country/folk
1419,community property,steel panther,2009,pop/rock
1420,breakaway,nick lowe,1984,country/folk
1421,he doesn't know i'm alive,janet jackson,1986,pop/rock
1422,hold it down,the california honeydrops,2018,blues/jazz
1423,room of the faded moon,current swell,2005,country/folk
1424,of thee i sing,ella fitzgerald,1959,blues/jazz
1425,leave him out of this,steve wariner,1991,country/folk
1426,i made it,corleone,2014,hip hop/reggae
1427,where are you now,mumford & sons,2012,pop/rock
1428,love me for what i am,carpenters,1975,pop/rock
1429,no more cane on the brazo,odetta,1954,blues/jazz
1430,fake id (feat. gretchen wilson),big & rich,2011,country/folk
1431,no problem,lil scrappy,2009,pop/rock
1432,bitch came back,theory of a deadman,2011,pop/rock
1433,long way from home,the vaughan brothers,1990,blues/jazz
1434,no fear no sorrow,midnite,2002,country/folk
1435,damn u,prince,1992,pop/rock
1436,megalomaniac,kmfdm,1997,pop/rock
1437,dream small,josh wilson,2018,pop/rock
1438,dear mother,jimmy cliff,1976,country/folk
1439,dust to dust,misfits,1999,pop/rock
1440,stay away,nirvana,1991,pop/rock
1441,evil ways,black mountain,2008,blues/jazz
1442,aggressive perfector,slayer,1986,pop/rock
1443,i wish it had been a dream,don gibson,1959,country/folk
1444,superunknown,soundgarden,1994,pop/rock
1445,(ghost) riders in the sky,the ventures,1961,pop/rock
1446,what time is it,zac efron,2007,pop/rock
1447,invisible,dio,1983,pop/rock
1448,eleanor rigby,the beatles,1966,pop/rock
1449,wallpaper roses,dean martin,1967,blues/jazz
1450,when your world was turning for me,randy travis,1989,country/folk
1451,if you ever have forever,ub40,2013,country/folk
1452,let the music play,the drifters,1964,pop/rock
1453,feelin' alright,joe cocker,1969,blues/jazz
1454,unfamiliar,passafire,2007,country/folk
1455,tears don't care who cries them,k.d. lang,1988,country/folk
1456,first love song,luke bryan,2007,country/folk
1457,drag you down,finger eleven,2000,pop/rock
1458,texas heartache,juice newton,1981,country/folk
1459,here come the bastards,primus,1991,pop/rock
1460,big john (ain't you gonna marry me),the shirelles,1962,pop/rock
1461,i don’t wanna die,hollywood undead,2011,pop/rock
1462,puppet on a string,elvis presley,1965,pop/rock
1463,magical mystery tour,the beatles,1967,pop/rock
1464,everybody know me,boyz n da hood,2017,hip hop/reggae
1465,drinkin',cold creek county,2019,country/folk
1466,"ciao, ciao, bambina",jerry vale,1956,pop/rock
1467,brand name,mac miller,2015,pop/rock
1468,state of the world,janet jackson,1989,pop/rock
1469,love is all is alright,ub40,1982,country/folk
1470,wildflowers,dolly parton,1987,country/folk
1471,black magic,slayer,1983,pop/rock
1472,better off dead,death from above 1979,2005,blues/jazz
1473,fallen soldiers,demarco,2008,country/folk
1474,just can't go to sleep,the kinks,1964,pop/rock
1475,the future,michael franti & spearhead,2008,country/folk
1476,kool aid and frozen pizza,mac miller,2010,pop/rock
1477,the night before,the beatles,1965,pop/rock
1478,alone,trampled by turtles,2012,pop/rock
1479,whenever you need somebody,rick astley,1987,pop/rock
1480,nightshift (red wine and cigs),drwn.,2018,blues/jazz
1481,all of me,louis armstrong,1955,blues/jazz
1482,every little step,bobby brown,1988,pop/rock
1483,narcolepsy,third eye blind,1997,pop/rock
1484,stretch out,sister rosetta tharpe,1962,blues/jazz
1485,hit the ground,lizz wright,2005,blues/jazz
1486,have you heard,the duprees,1996,blues/jazz
1487,music i heard,bill frisell,1985,blues/jazz
1488,at the scene,the dave clark five,1964,pop/rock
1489,i'm a king bee,slim harpo,1997,blues/jazz
1490,bluebird,bonnie raitt,1971,pop/rock
1491,hook of crook,alex chilton,2005,blues/jazz
1492,master sold my baby,black joe lewis & the honeybears,2009,blues/jazz
1493,southern man,"crosby, stills, nash & young",1971,blues/jazz
1494,other side (live),dispatch,1996,country/folk
1495,blue skies,susie arioli,2008,blues/jazz
1496,can't help falling in love,bob dylan,1973,pop/rock
1497,exactly like you,erroll garner,1955,blues/jazz
1498,holland,the black angels,2013,blues/jazz
1499,boulevard of broken dreams,green day,2017,pop/rock
