,common_entity,entity1,entity2,entity3,entity4,rag_text
1199,Horrible Bosses 2,2014,Sean Anders,USA,non-animation,"Horrible Bosses 2 is a 2014 American crime comedy film directed by Sean Anders and written by Anders and John Morris. A sequel to 2011's Horrible Bosses, the film stars Jason Bateman, Charlie Day, Jason Sudeikis, Jennifer Aniston, Jamie Foxx, Chris Pine, and Christoph Waltz. The plot follows Nick (Bateman), Kurt (Sudeikis), and Dale (Day) as they kidnap the son (Pine) of a billionaire investor (Waltz) in order to blackmail him out of revenge after he screws them over on a business deal. It was released by Warner Bros. Pictures on November 26, 2014, received mixed reviews and grossed $107 million worldwide."
1200,Escape from Planet Earth,2013,Cal Brunker,USA,animation,"Escape from Planet Earth is a 2013 computer-animated comedy-adventure science fiction film produced by Rainmaker Entertainment and distributed by The Weinstein Company in the United States and Entertainment One in Canada, directed by Cal Brunker (in his feature-length directorial debut), with a screenplay which he co-wrote with Bob Barlen, and features an ensemble voice cast that includes Rob Corddry, Brendan Fraser, Sarah Jessica Parker, William Shatner, Jessica Alba, Jane Lynch, Craig Robinson, George Lopez, Sofía Vergara, Steve Zahn, Chris Parnell, Jonathan Morgan Heit, and Ricky Gervais. The film was released on February 15, 2013. Escape from Planet Earth received mixed reviews from critics and grossed $74.6 million on a budget of $40 million."
1201,Apocalypto,2006,Mel Gibson,USA,non-animation,"Apocalypto () is a 2006 American epic historical action-adventure film  produced, co-written, and directed by Mel Gibson. The film features a cast of Native American and Indigenous Mexican actors consisting of Rudy Youngblood, Raoul Trujillo, Mayra Sérbulo, Dalia Hernández, Gerardo Taracena, Rodolfo Palacios, Bernardo Ruiz Juarez, Ammel Rodrigo Mendoza, Ricardo Diaz Mendoza, and Israel Contreras. Set in Yucatán around the year 1511, Apocalypto portrays the hero's journey of a young man named Jaguar Paw, a late Mesoamerican hunter and his fellow tribesmen who are captured by an invading force. After the devastation of their village, they are brought on a perilous journey to a Mayan city for human sacrifice at a time when the Mayan civilization is in decline.
Principal photography took place in Mexico from 21 November 2005 to July 2006. All of the indigenous people depicted in the film were Maya. Additionally, all dialogue is in a modern approximation of the ancient language of the setting, and the Indigenous Yucatec Mayan language is spoken with subtitles, which sometimes refer to the language as Mayan.
Apocalypto was distributed by Buena Vista Pictures in North America and Icon Film Distribution in the United Kingdom and Australia. The film was a box office success, grossing over $120 million worldwide, and received generally positive reviews, with critics praising Gibson's direction, Dean Semler's cinematography, and the performances of the cast, though the portrayal of Mayan civilization and historical inaccuracies were criticized."
1202,The Living Daylights,1987,John Glen,UK,non-animation,"The Living Daylights is a 1987 spy film, the fifteenth entry in the James Bond series produced by Eon Productions, and the first of two to star Timothy Dalton as the fictional MI6 agent James Bond. Directed by John Glen, the film's title is taken from Ian Fleming's short story ""The Living Daylights"", the plot of which also forms the basis of the first act of the film. It was the last film to use the title of an Ian Fleming story until the 2006 instalment Casino Royale. It is also the first film to have Caroline Bliss as Miss Moneypenny, replacing Lois Maxwell. The film was produced by Albert R. Broccoli, his stepson Michael G. Wilson, and co-produced by his daughter, Barbara Broccoli. The Living Daylights grossed $191.2 million worldwide, and received mixed reviews from critics.

"
1203,Predators,2010,Nimród Antal,USA,non-animation,"Predators is a 2010 American science fiction action film directed by Nimród Antal, written by Alex Litvak and Michael Finch, and was distributed by 20th Century Fox, and the third film in the Predator franchise. The film follows an ensemble cast starring Adrien Brody, Topher Grace, Alice Braga, Walton Goggins, and Laurence Fishburne, and follows a group of proficient killers who have been abducted and placed on a planet that acts as a game reserve for two warring tribes of extraterrestrial killers, leading them to try and survive and look for a way back to Earth.
Producer Robert Rodriguez had developed a script for a third installment as early as 1994, although it was not until 2009 that 20th Century Fox greenlit the project. According to Rodriguez, the title Predators is an allusion to the second film in the Alien franchise, Aliens (1986). The title also has a double meaning, referring both to the extraterrestrial Predator creatures and to the group of human characters who are pitted against them. Principal photography for Predators began on September 28, 2009, and concluded after 53 days; filming took place in Hawaii and then in Austin, Texas.
Predators was released in the United States on July 9, 2010. It grossed $127 million worldwide and received mixed reviews from critics, with praise for the action but criticism aimed at the thinly written characters. A fourth film, titled The Predator, was released in 2018, and a prequel, Prey, in 2022."
1204,Legal Eagles,1986,Ivan Reitman,USA,non-animation,"Legal Eagles is a 1986 American legal romantic comedy  thriller film directed by Ivan Reitman, written by Jim Cash and Jack Epps, Jr. from a story by Reitman and the screenwriters, and starring Robert Redford, Debra Winger, and Daryl Hannah."
1205,Secret Window,2004,David Koepp,USA,non-animation,"Secret Window is a 2004 American psychological thriller film starring Johnny Depp and John Turturro. It was written and directed by David Koepp, based on the novella Secret Window, Secret Garden by Stephen King, featuring a musical score by Philip Glass and Geoff Zanelli. The story appeared in King's 1990 collection Four Past Midnight. The film was released on March 12, 2004, by Columbia Pictures; it was a moderate box office success and received mixed reviews from critics."
1206,The Lake House,2006,Alejandro Agresti,USA,non-animation,"The Lake House  is a 2006 American fantasy romance film directed by Alejandro Agresti and written by David Auburn. A remake of the 2000 South Korean film Il Mare, it stars Keanu Reeves and Sandra Bullock, who last appeared together in the 1994 action thriller film Speed. The film revolves around an architect (Reeves) living in 2004 and a doctor (Bullock) living in 2006 who meet via letters left in the mailbox of a lake house where they both lived at separate points in time. They carry on a two-year correspondence while remaining separated by the time difference.

"
1207,The Skeleton Key,2005,Iain Softley,USA,non-animation,"The Skeleton Key is a 2005 American Southern Gothic supernatural horror film directed by Iain Softley, written by Ehren Kruger, and starring Kate Hudson, Gena Rowlands, John Hurt, Peter Sarsgaard, and Joy Bryant. The narrative follows a New Orleans hospice nurse who begins a job at a Terrebonne Parish plantation home, and becomes entangled in a supernatural mystery involving the house, its former inhabitants, and Hoodoo rituals and spells that took place there."
1208,The Odd Life of Timothy Green,2012,Peter Hedges,USA,non-animation,"The Odd Life of Timothy Green is a 2012 American fantasy comedy-drama film written and directed by Peter Hedges from a story by Ahmet Zappa. Starring Jennifer Garner, Joel Edgerton, Dianne Wiest, CJ Adams, Rosemarie DeWitt, Ron Livingston, David Morse and Common, the film is about a magical pre-adolescent boy whose personality and naïveté have profound effects on the people in his town. The film was produced by Walt Disney Pictures and released theatrically on August 15, 2012. It received mixed reviews from critics, earned $55.3 million on a $25 million budget and had modest ticket sales in its debut weekend. CJ Adams's performance won him a Young Artist Award for Best Performance in a Feature Film, while Odeya Rush's performance was nominated for the same award. The Odd Life of Timothy Green was released by Walt Disney Studios Home Entertainment on Blu-ray and DVD on December 4, 2012."
1209,Made of Honor,2008,Paul Weiland,USA,non-animation,"Made of Honor (Made of Honour in the United Kingdom, Ireland, Canada, and Australia) is a 2008 American romantic comedy film directed by Paul Weiland and written by Adam Sztykiel, Deborah Kaplan, and Harry Elfont. The film stars Patrick Dempsey, Michelle Monaghan, and Sydney Pollack, in his final screen appearance prior to his death less than a month after the film's release.
The plot follows a lifelong playboy who falls in love with his best friend, only to have her get engaged. She asks him to be her maid of honor. It was released by Columbia Pictures in the United States on May 2, 2008. The film garnered negative reviews from critics who criticized the formulaic humor and script, but grossed $106.4 million worldwide against a $40 million budget making it a box office success.

"
1210,Jersey Boys,2014,Clint Eastwood,USA,non-animation,"Jersey Boys is a 2014 American  musical drama film directed and produced by Clint Eastwood, based on the 2004 Tony Award-winning jukebox musical of the same name. The film tells the story of the musical group The Four Seasons. Original band members Frankie Valli and Bob Gaudio (who also composed the film's music) serve as executive producers.
Jersey Boys was released in the United States on June 20, 2014. It received mixed reviews from critics, who praised the musical numbers but criticized the narrative and runtime, and grossed $67 million worldwide."
1211,The Rainmaker,1997,Francis Ford Coppola,USA,non-animation,"The Rainmaker is a 1997 American legal drama film written and directed by Francis Ford Coppola based on John Grisham's 1995 novel of the same title. It stars Matt Damon, Claire Danes, Jon Voight, Mary Kay Place, Mickey Rourke, Danny DeVito, Danny Glover, Roy Scheider, Virginia Madsen, and Teresa Wright in her final film role.

"
1212,Gothika,2003,Mathieu Kassovitz,USA,non-animation,"Gothika is a 2003 American horror film directed by Mathieu Kassovitz, written by Sebastian Gutierrez, co-produced by Joel Silver and Robert Zemeckis, and starring Halle Berry with Robert Downey Jr., Penélope Cruz, Charles S. Dutton, John Carroll Lynch, and Bernard Hill. The film follows a psychiatrist who finds herself incarcerated in the penitentiary in which she works, accused of brutally murdering her own husband.
The fourth project developed by production company Dark Castle Entertainment, following 2002's Ghost Ship, Gothika was the second film by the company to be co-distributed by Warner Bros. and Columbia Pictures, the first being Thirteen Ghosts. It was also the first feature by Dark Castle to boast a number of high-profile stars in its lead roles.
Gothika was shot in Montreal, Quebec in the spring of 2003. It was released theatrically in the United States on November 21, 2003, the Friday before Thanksgiving. The film grossed $141.6 million internationally, though it received generally negative reviews from critics."
1213,Amistad,1997,Steven Spielberg,USA,non-animation,"Amistad is a 1997 American historical drama film directed by Steven Spielberg, based on the events in 1839 aboard the Spanish slave ship La Amistad, during which Mende tribesmen abducted for the slave trade managed to gain control of their captors' ship off the coast of Cuba, and the international legal battle that followed their capture by the Washington, a U.S. revenue cutter. The case was ultimately resolved by the U.S. Supreme Court in 1841.
Morgan Freeman, Anthony Hopkins, and Matthew McConaughey starred, along with Djimon Hounsou in his breakout role as Cinqué; Pete Postlethwaite, Nigel Hawthorne, and a then unknown Chiwetel Ejiofor appeared in supporting roles. 
The film received largely positive critical reviews and grossed over $58 million worldwide."
1214,Medicine Man,1992,John McTiernan,USA,non-animation,"Medicine Man is a 1992 American adventure drama film directed by John McTiernan. The film stars Sean Connery and Lorraine Bracco, and features an acclaimed score by veteran composer Jerry Goldsmith."
1215,Aliens vs. Predator: Requiem,2007,Colin Strause,USA,non-animation,
1216,Ri¢hie Ri¢h,1994,Donald Petrie,USA,non-animation,"Richie Rich is a 1994 American comedy film directed by Donald Petrie and based on the comic character of the same name created by Alfred Harvey and Warren Kremer. The film was distributed by Warner Bros. under their Warner Bros. Family Entertainment label. The film stars Macaulay Culkin (in his final film as a child actor until he began work as an adult actor in 2003), John Larroquette, Edward Herrmann, Jonathan Hyde, and Christine Ebersole, while Reggie Jackson, Claudia Schiffer, and Ben Stein appear in cameo roles. Culkin's younger brother, Rory Culkin, played the part of Young Richie Rich. In theaters, the film was shown with a Wile E. Coyote and the Road Runner cartoon called Chariots of Fur, and was followed by the 1998 direct-to-video sequel Richie Rich's Christmas Wish."
1217,Autumn in New York,2000,Joan Chen,USA,non-animation,"Autumn in New York is a 2000 American romantic drama film directed by Joan Chen, written by Allison Burnett, and starring Richard Gere, Winona Ryder, Anthony LaPaglia, Elaine Stritch, Vera Farmiga, and Sherry Stringfield. The film follows a successful middle-aged restaurateur and womanizer who falls in love with a terminally ill young woman. US distributor MGM took over the film from Chen and significantly re-edited the film, which also involved deleting a Ryder nude scene. The film received generally negative reviews and grossed $90 million against a $65 million budget."
1218,Music and Lyrics,2007,Marc Lawrence,USA,non-animation,"Music and Lyrics is a 2007 American musical romantic comedy-drama film written and directed by Marc Lawrence. It focuses on the relationship that evolves between a former pop music idol (of the fictional band PoP!) and an aspiring writer as they struggle to compose a song for a reigning pop diva.
The film was released on February 14, 2007, by Warner Bros. It received mixed-to-positive reviews from critics, who praised Grant's performance and the musical numbers but found the film simplistic, and grossed $145.9 million worldwide.

"
1219,Paul,2011,Greg Mottola,USA,non-animation,"Paul is a 2011 comic science fiction road film directed by Greg Mottola from a screenplay by Simon Pegg and Nick Frost. Starring Pegg and Frost, with the voice and motion capture of Seth Rogen as the titular character, the film follows two science fiction geeks who come across an alien. Together, they help the alien escape from the Secret Service agents who are pursuing him so that he can return to his home planet. The film is a parody of other science-fiction films, especially those of Steven Spielberg, as well as of science fiction fandom in general. 
It is a British-American venture produced by Working Title Films, StudioCanal, Big Talk Pictures and Relativity Media and distributed by Universal Pictures. Paul was released on 14 February 2011 in the United Kingdom and on 18 March 2011 in the United States to generally positive reviews from critics and grossed $98 million worldwide on a $40 million budget."
1220,The Guilt Trip,2012,Anne Fletcher,USA,non-animation,"The Guilt Trip is a 2012 American road comedy film directed by Anne Fletcher from a screenplay written by Dan Fogelman, starring Barbra Streisand and Seth Rogen, who both also served as executive producers on the film. The film was released on December 19, 2012, received mixed reviews from critics, and grossed $41 million on a production budget of $40 million."
1221,Scream 4,2011,Wes Craven,USA,non-animation,"Scream 4 (stylized as SCRE4M) is a 2011 American slasher film directed by Wes Craven and written by Kevin Williamson. Produced by Outerbanks Entertainment and distributed by Dimension Films, it is a sequel to Scream 3 (2000) and the fourth installment in the Scream film series. The film stars David Arquette, Neve Campbell, Courteney Cox, Emma Roberts, Hayden Panettiere, Anthony Anderson, Alison Brie, Adam Brody, Rory Culkin, Marielle Jaffe, Erik Knudsen, Mary McDonnell, Marley Shelton, Nico Tortorella, and Roger L. Jackson. The film takes place on the fifteenth anniversary of the original Woodsboro murders from Scream (1996) and involves Sidney Prescott (Campbell) returning to the town after ten years, where Ghostface once again begins killing students from Woodsboro High. Like its predecessors, Scream 4 combines the violence of the slasher genre with elements of black comedy and ""whodunit"" mystery to satirize the clichés of film remakes. The film also provides commentary on the extensive usage of social media and the obsession with internet fame.
The series was originally intended to be a trilogy, concluding with Scream 3. However, in June 2008, The Weinstein Company announced a fourth film was in development, with Craven confirmed to direct in March 2010. In September 2009, Arquette, Campbell, and Cox were announced to be returning, after which the casting process lasted between April and September 2010. Principal photography began in June 2010 and ended in September that same year, taking place in and around Ann Arbor, Michigan. Scenes set in and around Woodsboro High School were actually filmed at Woodworth Middle School in Dearborn, Michigan. During production, Ehren Kruger, who previously wrote the screenplay for Scream 3, was hired for script rewrites. Reshoots were filmed in early 2011, following test screenings.
Scream 4 premiered at the TCL Chinese Theatre in Los Angeles on April 11, 2011, and was released in the United States on April 15, 2011, by Dimension Films. The film received mixed reviews from critics at the time of its release, earning praise for its performances, direction, and humor but criticism for the lack of scares and reliance on clichéd formulas. However, many considered it to be an improvement over its predecessor, and it has enjoyed several positive reappraisals since, particularly for its prescient examination of the impact of social media. It grossed $97 million worldwide on a budget of $40 million, becoming the lowest-grossing film in the Scream franchise.
Scream 4 was the final film to be directed by Craven before his death in 2015. It was followed by the anthology television series Scream (2015–2019), which was developed for MTV without the involvement of the main cast or crew of the films, although Jackson returned to voice Ghostface in the third season. A fifth film that is a direct sequel, simply titled Scream, was released on January 14, 2022, by Paramount Pictures."
1222,8MM,1999,Joel Schumacher,Germany,non-animation,"8mm is a 1999 American crime thriller film directed by Joel Schumacher and written by Andrew Kevin Walker. A German–American production, the film stars Nicolas Cage as a private investigator who delves into the world of snuff films. Joaquin Phoenix, James Gandolfini, Peter Stormare, and Anthony Heald appear in supporting roles.
The film received mostly negative reviews, but was a box office success.

"
1223,The Doors,1991,Oliver Stone,USA,non-animation,
1224,Sex Tape,2014,Jake Kasdan,USA,non-animation,"Sex Tape is a 2014 American sex comedy film directed by Jake Kasdan and written by Kate Angelo, Jason Segel, and Nicholas Stoller. Starring Segel, Cameron Diaz, Rob Corddry, Ellie Kemper, and Rob Lowe, the film follows a married couple who make a sex tape to spice up their relationship only to wake up the next morning to find that it has gone missing. This sparks a frantic search in an attempt to find it.
The film was produced by Columbia Pictures and was released on July 18, 2014. It grossed $14.6 million in its opening weekend and $126.1 million worldwide, against a budget of $40 million. It received generally negative reviews."
1225,Hanging Up,2000,Diane Keaton,Germany,non-animation,"Hanging Up is a 2000 American comedy-drama film about a trio of sisters bonding over their curmudgeonly father with whom none of them were close. It was directed by Diane Keaton, and stars Keaton, Meg Ryan, Lisa Kudrow, and Walter Matthau, in his final film role. The film is based on Delia Ephron's 1995 novel of the same name. It was released on February 18, 2000 and received negative reviews from critics."
1226,Final Destination 5,2011,Steven Quale,USA,non-animation,"Final Destination 5 is a 2011 American 3D supernatural horror film directed by Steven Quale and written by Eric Heisserer. It is the fifth installment in the Final Destination film series and a prequel to Final Destination (2000). Final Destination 5 stars Nicholas D'Agosto, Emma Bell, Miles Fisher, Arlen Escarpeta, David Koechner, and Tony Todd, and follows a young man (played by D'Agosto) who has a premonition and saves a group of people from death when a suspension bridge begins to collapse. However, they soon learn that they cannot escape Death's plan.
Despite The Final Destination (2009) being announced as the final film in the franchise, that film's financial success led to the development of Final Destination 5, which began in 2010. Filming took place in Vancouver, as with the first three installments.
Final Destination 5 was theatrically released on August 12, 2011, and on DVD on December 27, 2011, by Warner Bros. Pictures and New Line Cinema. The film received mixed reviews from critics, some of whom considered it both a return-to-form for the franchise and an improvement over the previous installment. Other reviewers criticized the film for failing to bring anything new to the franchise, weak character development, and average dialogue, but also praised the use of 3D, the visual effects, the inventive death scenes, and the return of suspense as opposed to a campy feel (particularly both the opening sequence and the twist ending). The film grossed $157 million worldwide against a $40 million budget, becoming the second highest-grossing film in the franchise. A sequel is in development."
1227,Mickey Blue Eyes,1999,Kelly Makin,UK,non-animation,"Mickey Blue Eyes is a 1999 romantic comedy crime film directed by Kelly Makin. Hugh Grant stars as Michael Felgate, an English auctioneer living in New York City who becomes entangled in his soon-to-be father-in-law's mafia connections. Several of the minor roles are played by actors later featured in The Sopranos.
The film's title comes from Michael being forced to impersonate a gangster, who is spontaneously named ""Kansas City Little Big Mickey Blue Eyes""; coincidentally, it is also a play on ""Jimmy Blue Eyes,"" nickname of real-life mobster Vincent Alo. Later on, the film served as an inspiration for 2007 Bollywood film Welcome.
The film was released on August 20, 1999. It received mixed reviews from critics and grossed $54.3 million against its $20 million budget.

"
1228,Pay It Forward,2000,Mimi Leder,USA,non-animation,"Pay It Forward is a 2000 American romantic drama film directed by Mimi Leder. The film is based loosely on the novel of the same name by Catherine Ryan Hyde. It is set in Las Vegas, and it chronicles 11- to 12-year-old Trevor McKinney's launch of a goodwill movement known as ""pay it forward"". It stars Haley Joel Osment as Trevor, Helen Hunt as his alcoholic single mother Arlene McKinney, and Kevin Spacey as his physically and emotionally scarred social studies teacher Eugene Simonet. The film was released on October 20, 2000 to mixed-to-negative reviews, but grossed $55.7 million worldwide against a $40 million budget."
1229,Fever Pitch,2005,Bobby Farrelly,USA,non-animation,
1230,Drillbit Taylor,2008,Steven Brill,USA,non-animation,"Drillbit Taylor is a 2008 American coming-of-age comedy film directed by Steven Brill, produced by Judd Apatow, Susan Arnold and Donna Arkoff Roth with screenplay by Kristofor Brown and Seth Rogen based on an original story by John Hughes (his final film work before his death in 2009). In the film, three high school pupils decide to hire an adult bodyguard to protect them from a bully who endlessly harasses and abuses them.
The film stars Owen Wilson as the eponymous role, alongside Nate Hartley, Troy Gentile, David Dorfman (his final film role before his retirement), Alex Frost, Josh Peck and Leslie Mann in supporting roles.
Drillbit Taylor was released by Paramount Pictures on March 21, 2008. Upon release, the film received mixed reviews, with criticism directed mainly toward the screenwriting, the direction and the mean-spirited nature, but praised the humor, Wilson's performance and the chemistry between the cast.

"
1231,A Million Ways to Die in the West,2014,Seth MacFarlane,USA,non-animation,"A Million Ways to Die in the West is a 2014 American Western romantic action comedy film directed by Seth MacFarlane and written by MacFarlane, Alec Sulkin and Wellesley Wild. The film features an ensemble cast including MacFarlane, Charlize Theron, Amanda Seyfried, Neil Patrick Harris, Giovanni Ribisi, Sarah Silverman, and Liam Neeson. The film follows a cowardly frontiersman who gains courage with the help of a female gunfighter and must use his newfound skills in a confrontation with her villainous outlaw husband.
Development for A Million Ways to Die in the West began while MacFarlane and co-writers Sulkin and Wild were watching Western movies during the development of Ted (2012). Casting was done between December 2012 and March 2013. Filming began on May 6, 2013, in various locations in New Mexico including Albuquerque and Santa Fe, and it concluded on August 9 that year. Joel McNeely composed the score.
A Million Ways to Die in the West was released on May 30, 2014, in the United States, and distributed worldwide by Universal Pictures. The film received mixed to negative reviews from critics, with criticism for its length, screenplay, humor and MacFarlane's performance and directing. It was released on DVD and Blu-ray on October 7, 2014, and earned more than $15 million in home media sales."
1232,The Shadow,1994,Russell Mulcahy,USA,non-animation,"The Shadow is a 1994 American superhero film from Universal Pictures, produced by Martin Bregman, Willi Bear, and Michael Scott Bregman, and directed by Russell Mulcahy. It stars Alec Baldwin, supported by John Lone, Penelope Ann Miller, Peter Boyle, Ian McKellen, Jonathan Winters, and Tim Curry. The film is based on the pulp fiction character of the same name created in 1931 by Walter B. Gibson.The film was released to theaters on July 1, 1994, received mixed reviews, and was a commercial failure."
1233,Extremely Loud & Incredibly Close,2011,Stephen Daldry,USA,non-animation,"Extremely Loud & Incredibly Close is a 2011 American drama film directed by Stephen Daldry and written by Eric Roth. Based on the 2005 novel of the same name by Jonathan Safran Foer, it stars Tom Hanks, Sandra Bullock, Thomas Horn, Max von Sydow, Viola Davis, John Goodman, Jeffrey Wright, and Zoe Caldwell in her final film role. Production took place in New York City. The film had a limited release in the United States on December 25, 2011 by Warner Bros. Pictures, and a wide release on January 20, 2012. Despite mixed reviews, the film was nominated for two Academy Awards: Best Picture (somewhat controversially) and Best Supporting Actor for von Sydow. The film earned $55.2 million. The film was released in Blu-ray, DVD, and digital download formats in Region 1 on March 27, 2012."
1234,Morning Glory,2010,Roger Michell,USA,non-animation,"Morning Glory is a 2010 American romantic comedy-drama film directed by Roger Michell and written by Aline Brosh McKenna. Starring Rachel McAdams, Harrison Ford, Diane Keaton, Patrick Wilson and Jeff Goldblum, the film tells the story of an upstart television producer who accepts the challenge of reviving a morning show program with warring co-hosts.
Morning Glory was released in theaters on November 10, 2010, by Paramount Pictures. It received mixed reviews from critics and grossed $60 million against a $40 million budget."
1235,Get Rich or Die Tryin',2005,Jim Sheridan,USA,non-animation,"Get Rich or Die Tryin' is a 2005 American crime drama film directed by Jim Sheridan and written by Terence Winter. It stars Curtis ""50 Cent"" Jackson in his feature film acting debut, alongside Terrence Howard, Joy Bryant, Bill Duke, Adewale Akinnuoye-Agbaje, Omar Benson Miller, Ashley Walters and Viola Davis. The film, which contains autobiographical elements from 50 Cent's life, follows his character, Marcus Greer, a drug dealer who turns away from his criminal life to pursue his passion of rap music. The film's title is shared with 50 Cent's 2003 debut album of the same name.
Plans for a film starring 50 Cent were revealed in 2004, following the success of the Get Rich or Die Tryin' album. It was known during production as Locked and Loaded. Similar to the 2002  film 8 Mile starring Eminem, which it used as a template, the film took inspiration from 50 Cent's childhood experiences as a drug dealer. Filming began on April 11, 2005, and ended in June of that same year. The filming locations included New York City, Canada (in Toronto and Wasaga Beach) and Ireland (in Bray and Dublin).
Originally scheduled for a 2006 release, Get Rich or Die Tryin' had its world premiere at Grauman's Chinese Theatre in Hollywood on November 2, 2005, and was released in the United States by Paramount Pictures on November 9. The film received generally negative reviews from critics and grossed $46.4 million at the box office on a budget of $40 million. The film gained a cult following especially for its soundtrack and remained a standout in 50 Cent's career."
1236,The Art of War,2000,Christian Duguay,USA,non-animation,
1237,Rent,2005,Chris Columbus,USA,non-animation,"Rent is a 2005 American musical drama film directed by Chris Columbus. It is an adaptation of Jonathan Larson's 1996 Broadway musical of the same name, in turn based on the 1896 opera La bohème by Giacomo Puccini, Luigi Illica and Giuseppe Giacosa, which is itself based on the 1851 novel Scenes of Bohemian Life by Henri Murger.
The film, which features six of the eight original Broadway cast members reprising their lead roles, depicts the lives of several bohemians and their struggles with sexuality, drugs, paying their rent, and life under the shadow of AIDS in the gritty East Village of New York City from 1989 to 1990.
The film received mixed reviews from critics who praised the performances but criticized its writing, casting, and direction. It failed to cover its production costs at the box office.

"
1238,Bless the Child,2000,Chuck Russell,USA,non-animation,"Bless the Child is a 2000 American supernatural horror film directed by Chuck Russell and starring Kim Basinger, Jimmy Smits, Angela Bettis, Rufus Sewell, Christina Ricci, and Holliston Coleman. It follows a woman who discovers that her niece, whom she has adopted, is being sought by a Satanic cult seeking to use her supernatural abilities. It is based on the 1993 novel of the same name by Cathy Cash Spellman.
Filmed in Toronto in late 1999, Bless the Child was released theatrically in North America on August 11, 2000 to overwhelmingly negative critical reviews, and was a box-office bomb."
1239,The Out-of-Towners,1999,Sam Weisman,USA,non-animation,
1240,The Island of Dr. Moreau,1996,John Frankenheimer,USA,non-animation,"The Island of Dr. Moreau is a 1996 American science fiction horror film, based on the 1896 novel The Island of Doctor Moreau by H. G. Wells. It was directed by John Frankenheimer (who was brought in half a week after shooting started) and stars Marlon Brando, Val Kilmer, David Thewlis, and Fairuza Balk. The screenplay is credited to the original director Richard Stanley and Ron Hutchinson. It is the third major film adaptation of the Wells novel, following Island of Lost Souls (1932) and The Island of Dr. Moreau (1977).
The production was notoriously difficult, marred by issues with the cast, harsh weather and a skyrocketing budget. Bruce Willis was originally hired to play Edward Prendick, but allegedly dropped out as he started divorce procedures from Demi Moore, his wife at the time. Willis was replaced by Kilmer, who made his availability limited, and later had anger issues with most of the cast after also being served divorce papers on set. Then actor Rob Morrow quit because of script rewrites.Brando's role as Moreau was supposed to be expanded, but following his daughter's suicide, Brando retreated to his private island, leaving production in limbo, not knowing when or even if he would show up. Brando also did not want to learn his lines, so he requested them through an earpiece and/or improvised his dialogue. Original director Richard Stanley was dismissed by New Line Cinema after problems arose during production, including a major hurricane, with Frankenheimer being brought in to replace him. The film received generally negative reviews and was considered a box office bomb.In 2014, the documentary Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau was released, covering Stanley's experiences while he conceived and developed the project, his time as director, and the aftermath of his departure and the effect it had on the cast, crew and overall film. Kilmer also shared some behind-the-scenes footage of the film in the 2021 documentary Val where he shared his side of events."
1241,The Musketeer,2001,Peter Hyams,Germany,non-animation,"The Musketeer is a 2001 American action-adventure film based on Alexandre Dumas's classic 1844 novel The Three Musketeers, directed and photographed by Peter Hyams, and starring Catherine Deneuve, Mena Suvari, Stephen Rea Tim Roth and Justin Chambers.
The film features Tsui Hark's regular actor Xin-Xin Xiong as a stunt choreographer and performer. Released days before the September 11 attacks, it was moderately successful in North America but didn't perform well in other countries, and received largely negative reviews from critics. It is recognized by the department of Gers as the first Musketeers adaptation to incorporate authentic scenery from the real d'Artagnan's home region."
1242,The Other Boleyn Girl,2008,Justin Chadwick,UK,non-animation,"The Other Boleyn Girl is a 2008 historical romantic drama film directed by Justin Chadwick. The screenplay by Peter Morgan was adapted from Philippa Gregory’s 2001 novel of the same name. It is a fictionalised account of the lives of 16th-century aristocrats Mary Boleyn, one-time mistress of King Henry VIII, and her sister, Anne, who became the monarch's ill-fated second wife."
1243,Sweet November,2001,Pat O'Connor,USA,non-animation,"Sweet November is a 2001 American romantic drama film based in San Francisco directed by Pat O'Connor and starring Keanu Reeves and Charlize Theron. The film is loosely based on the 1968 film Sweet November written by Herman Raucher, which starred Anthony Newley and Sandy Dennis; with some differences in plot. 
Sweet November was released on February 16, 2001. It received negative reviews from critics and grossed $65 million worldwide."
1244,The Reaping,2007,Stephen Hopkins,USA,non-animation,"The Reaping is a 2007 American supernatural horror thriller film, starring Hilary Swank. The film was directed by Stephen Hopkins for Warner Bros. Pictures, Village Roadshow Pictures and Dark Castle Entertainment. The music for the film was scored by John Frizzell.

"
1245,Mean Streets,1973,Martin Scorsese,USA,non-animation,"Mean Streets is a 1973 American crime film directed by Martin Scorsese, co-written by Scorsese and Mardik Martin, and starring Robert De Niro and Harvey Keitel. It was produced by Warner Bros. The film premiered at the New York Film Festival on October 2, 1973, and was released on October 14. De Niro won the National Society of Film Critics and the New York Film Critics Circle award for Best Supporting Actor for his role as ""Johnny Boy"" Civello.
The film was the first of several collaborations between Scorsese and De Niro. It was also Scorsese's first critical and commercial success. In 1997, Mean Streets was selected for preservation in the United States National Film Registry by the Library of Congress, who deemed it ""culturally, historically, or aesthetically significant"".

"
1246,Renaissance Man,1994,Penny Marshall,USA,non-animation,"Renaissance Man is a 1994 American comedy film directed by Penny Marshall, and stars Danny DeVito, Gregory Hines, James Remar and Cliff Robertson. A down on his luck advertising executive takes the only job he can get, teaching literature to army recruits. In Australia, the film is known under the title of Army Intelligence. The film received generally negative reviews. It grossed $24 million at the box office against a budget of $40 million."
