,rag,common_entity,entity1,entity2,entity3,entity4,rag_text
6260,Christopher Martins Pereira,C. Martins,BSC Young Boys,35,Luxembourg,Swiss Super League,
6261,José Kanté Martínez,José Kanté,Legia Warszawa,20,Guinea,Polish T-Mobile Ekstraklasa,
6262,Janni-Luca Serra,J. Serra,Holstein Kiel,23,Germany,German 2. Bundesliga,
6263,Wagner da Silva Souza,Waguininho,Suwon Samsung Bluewings,7,Brazil,Korean K League 1,
6264,Robin Krauße,R. Krauße,FC Ingolstadt 04,23,Germany,German 3. Bundesliga,
6265,川又 堅碁,K. Kawamata,Júbilo Iwata,20,Japan,Japanese J. League Division 1,
6266,Nicola Falasco,N. Falasco,Perugia,25,Italy,Italian Serie B,
6267,中谷 进之介,S. Nakatani,Nagoya Grampus,20,Japan,Japanese J. League Division 1,
6268,Walter Saúl Andrade,W. Andrade,Patronato,2,Argentina,Argentina Primera División,
6269,铃木 武藏,M. Suzuki,Hokkaido Consadole Sapporo,9,Japan,Japanese J. League Division 1,
6270,野津田 岳人,G. Notsuda,Sanfrecce Hiroshima,7,Japan,Japanese J. League Division 1,
6271,Sarpreet Singh,S. Singh,FC Bayern München II,31,New Zealand,German 3. Bundesliga,
6272,Jay Dasilva,J. Dasilva,Bristol City,3,England,English League Championship,
6273,喜田 拓也,T. Kida,Yokohama F. Marinos,8,Japan,Japanese J. League Division 1,
6274,植田 直通,N. Ueda,KSV Cercle Brugge,5,Japan,Belgian Jupiler Pro League,
6275,三竿 健斗,K. Misao,Kashima Antlers,20,Japan,Japanese J. League Division 1,
6276,岩波 拓也,T. Iwanami,Urawa Red Diamonds,31,Japan,Japanese J. League Division 1,
6277,渡邉 千真,K. Watanabe,Gamba Osaka,39,Japan,Japanese J. League Division 1,
6278,Matthew Robert Smith,M. Smith,Queens Park Rangers,6,Wales,English League Championship,
6279,Cheick Aymar Timité,C. Timite,Amiens SC,20,Côte d'Ivoire,French Ligue 1,
6280,Marcel Hartel,M. Hartel,DSC Arminia Bielefeld,30,Germany,German 2. Bundesliga,
6281,室屋 成,S. Muroya,FC Tokyo,2,Japan,Japanese J. League Division 1,
6282,Kamil Jóźwiak,K. Jóźwiak,Lech Poznań,7,Poland,Polish T-Mobile Ekstraklasa,
6283,奈良 竜樹,T. Nara,Kawasaki Frontale,3,Japan,Japanese J. League Division 1,
6284,Ernesto Alexis Vega Rojas,A. Vega,Club Deportivo Guadalajara,7,Mexico,Mexican Liga MX,
6285,Matthew Charles Turner,M. Turner,New England Revolution,30,United States,USA Major League Soccer,
6286,Jakob Glesnes,J. Glesnes,Strømsgodset IF,5,Norway,Norwegian Eliteserien,
6287,Borja Galán González,Borja Galán,Deportivo de La Coruña,23,Spain,Spanish Segunda División,
6288,Allan Campbell,A. Campbell,Motherwell,6,Scotland,Scottish Premiership,
6289,Robin Le Normand,R. Le Normand,Real Sociedad,24,France,Spain Primera Division,
6290,Luis Fernando Sinisterra Lucumí,L. Sinisterra,Feyenoord,17,Colombia,Holland Eredivisie,
6291,Barış-Fahri Atik,B. Atik,SG Dynamo Dresden,28,Turkey,German 2. Bundesliga,
6292,Lincoln Henrique Oliveira dos Santos,Lincoln,Santa Clara,17,Brazil,Portuguese Liga ZON SAGRES,
6293,Carlos Pomares Rayo,Pomares,AD Alcorcón,3,Spain,Spanish Segunda División,
6294,Messias Rodrigues da Silva Júnior,Messias,Rio Ave FC,33,Brazil,Portuguese Liga ZON SAGRES,
6295,Yakou Meïté,Y. Meité,Reading,19,Côte d'Ivoire,English League Championship,
6296,Thiago Martins Bueno,Thiago Martins,Yokohama F. Marinos,13,Brazil,Japanese J. League Division 1,
6297,Mamadou Fall,M. Fall,Royal Charleroi S.C.,27,Senegal,Belgian Jupiler Pro League,
6298,Caio Hugo Tafarell Bastos,Caio Tafarell,Goiás,15,Brazil,Campeonato Brasileiro Série A,
6299,Sandeiro Luan Leal Neto,Sandeiro Leal,Fortaleza,8,Brazil,Campeonato Brasileiro Série A,
6300,Eric Ocansey,E. Ocansey,KV Kortrijk,51,Ghana,Belgian Jupiler Pro League,
6301,Jacobo Salvador Kouffaty Agostini,J. Kouffaty,Deportes Iquique,20,Venezuela,Chilian Campeonato Nacional,
6302,David Turnbull,D. Turnbull,Motherwell,7,Scotland,Scottish Premiership,
6303,Fábio Diogo Agrela Ferreira,Fábio China,Clube Sport Marítimo,45,Portugal,Portuguese Liga ZON SAGRES,
6304,Leandro Isaac Maciel,L. Maciel,Club Atlético Aldosivi,32,Argentina,Argentina Primera División,
6305,Calogero Rizzuto,C. Rizzuto,FC Erzgebirge Aue,20,Germany,German 2. Bundesliga,
6306,Jannik Müller,J. Müller,SG Dynamo Dresden,18,Germany,German 2. Bundesliga,
6307,Niklas Hauptmann,N. Hauptmann,1. FC Köln,36,Germany,German 1. Bundesliga,
6308,Haydar Yılmaz,H. Yılmaz,Aytemiz Alanyaspor,1,Turkey,Turkish Süper Lig,
6309,Luis Ricardo Reyes Moreno,L. Reyes,Club Atlético de San Luis,16,Mexico,Mexican Liga MX,
6310,Christoph Riegler,C. Riegler,spusu SKN St. Pölten,1,Austria,Austrian Football Bundesliga,
6311,Aleksandar Jovanović,A. Jovanović,SD Huesca,25,Serbia,Spanish Segunda División,
6312,Ramón Folch Frigola,Ramón Folch,Elche CF,4,Spain,Spanish Segunda División,
6313,José Antonio Caro Díaz,Caro,SD Ponferradina,25,Spain,Spanish Segunda División,
6314,José Antonio Martínez Gil,Martínez,Granada CF,5,Spain,Spain Primera Division,
6315,Yan Brice Eteki,Y. Eteki,Granada CF,8,Cameroon,Spain Primera Division,
6316,Juan Soriano Oropesa,Soriano,CD Leganés,13,Spain,Spain Primera Division,
6317,Daniel Arzani,D. Arzani,Celtic,14,Australia,Scottish Premiership,
6318,Dante Vanzeir,D. Vanzeir,KV Mechelen,31,Belgium,Belgian Jupiler Pro League,
6319,Kik Pierie,K. Pierie,Ajax,5,Netherlands,Holland Eredivisie,
6320,Jean Thierry Lazare Amani,L. Amani,KAS Eupen,10,Côte d'Ivoire,Belgian Jupiler Pro League,
6321,Andrés Iniestra Vázquez Mellado,A. Iniestra,Club Universidad Nacional,10,Mexico,Mexican Liga MX,
6322,Luca Mora,L. Mora,Spezia,6,Italy,Italian Serie B,
6323,Issam Jebali,I. Jebali,Odense Boldklub,7,Tunisia,Danish Superliga,
6324,Emanuele Ndoj,E. Ndoj,Brescia,6,Albania,Italian Serie A,
6325,Domingos Quina,Domingos Quina,Watford,20,Portugal,English Premier League,
6326,Cédric Kipré,C. Kipré,Wigan Athletic,21,Côte d'Ivoire,English League Championship,
6327,Silvère Ganvoula M'boussy,S. Ganvoula,VfL Bochum 1848,35,Congo,German 2. Bundesliga,
6328,Benito Ramírez del Toro,Benito,Unión Deportiva Las Palmas,11,Spain,Spanish Segunda División,
6329,Isaac Sackey,I. Sackey,Aytemiz Alanyaspor,2,Ghana,Turkish Süper Lig,
6330,Marcus Edwards,M. Edwards,Tottenham Hotspur,34,England,English Premier League,
6331,Ortwin De Wolf,O. De Wolf,KAS Eupen,23,Belgium,Belgian Jupiler Pro League,
6332,Mateo Ezequiel García,M. García,Unión Deportiva Las Palmas,12,Argentina,Spanish Segunda División,
6333,Dylan Armando Flores Knowles,D. Flores,Sepsi OSK Sf. Gheorghe,10,Costa Rica,Romanian Liga I,
6334,David Robert Bates,D. Bates,Sheffield Wednesday,26,Scotland,English League Championship,
6335,Irvin Cardona,I. Cardona,Stade Brestois 29,14,France,French Ligue 1,
6336,Iyayi Believe Atiemwen,I. Atiemwen,Dinamo Zagreb,20,Nigeria,Rest of World,
6337,Deyovaisio Zeefuik,D. Zeefuik,FC Groningen,42,Netherlands,Holland Eredivisie,
6338,Francesco Cassata,F. Cassata,Genoa,29,Italy,Italian Serie A,
6339,Alejandro Pozo Pozo,Alex Pozo,Sevilla FC,27,Spain,Spain Primera Division,
6340,Paulo Bernard Daineiro Cruz,Paulo Daineiro,Ceará Sporting Club,8,Brazil,Campeonato Brasileiro Série A,
6341,Ever Tomás Sineiro Parrela,Ever Sineiro,Cruzeiro,8,Brazil,Campeonato Brasileiro Série A,
6342,Renato Peter Rochela Costa,Renato Rochela,Clube Atlético Mineiro,17,Brazil,Campeonato Brasileiro Série A,
6343,Anderson Santamaría Bardales,A. Santamaría,Club Atlas,5,Peru,Mexican Liga MX,
6344,Ifeanyi Mathew,I. Mathew,Lillestrøm SK,12,Nigeria,Norwegian Eliteserien,
6345,Yan Valery,Y. Valery,Southampton,43,France,English Premier League,
6346,Valentin Alexandru Cojocaru,V. Cojocaru,FC Viitorul Constanța,12,Romania,Romanian Liga I,
6347,Clément Jerome Michelin,C. Michelin,Racing Club de Lens,13,France,French Ligue 2,
6348,Adrián Diéguez Grande,Adrián Diéguez,AD Alcorcón,6,Spain,Spanish Segunda División,
6349,Walterson Silva,Walterson,Futebol Clube de Famalicão,7,Brazil,Portuguese Liga ZON SAGRES,
6350,Marc Gual Huguet,Marc Gual,Girona FC,9,Spain,Spanish Segunda División,
6351,Luis Daniel González Cova,L. González,Junior FC,10,Venezuela,Colombian Liga Postobón,
6352,Zaydou Youssouf,Z. Youssouf,AS Saint-Étienne,28,France,French Ligue 1,
6353,Michel Aebischer,M. Aebischer,BSC Young Boys,20,Switzerland,Swiss Super League,
6354,Nick Lima,N. Lima,San Jose Earthquakes,24,United States,USA Major League Soccer,
6355,Cristian Salvador González,Cris Salvador,Real Sporting de Gijón,20,Spain,Spanish Segunda División,
6356,Lazaros Lamprou,L. Lamprou,PAOK,22,Greece,Rest of World,
6357,Mohamed Buya Turay,M. Turay,Djurgårdens IF,77,Sierra Leone,Swedish Allsvenskan,
6358,Óscar Eduardo Cabezas Segura,Ó. Cabezas,Patriotas Boyacá FC,4,Colombia,Colombian Liga Postobón,
6359,Brayan Alexis Fernández Garcés,B. Fernández,Patriotas Boyacá FC,9,Colombia,Colombian Liga Postobón,
6360,Silas Gnaka,S. Gnaka,KAS Eupen,24,Côte d'Ivoire,Belgian Jupiler Pro League,
6361,Keidi Bare,K. Bare,Málaga CF,35,Albania,Spanish Segunda División,
6362,Eddie Livington Segura Martínez,E. Segura,Los Angeles FC,4,Colombia,USA Major League Soccer,
6363,Vlad Mihai Dragomir,V. Dragomir,Perugia,10,Romania,Italian Serie B,
6364,Vasilije Janjičić,V. Janjičić,Hamburger SV,40,Switzerland,German 2. Bundesliga,
6365,Philipp Förster,P. Förster,SV Sandhausen,28,Germany,German 2. Bundesliga,
6366,Jonathan Bolingi Mpangi Merikani,J. Bolingi,Royal Antwerp FC,9,Congo DR,Belgian Jupiler Pro League,
6367,Samuel Tetteh Kotoko,S. Tetteh,LASK Linz,20,Ghana,Austrian Football Bundesliga,
6368,知念 庆,K. Chinen,Kawasaki Frontale,20,Japan,Japanese J. League Division 1,
6369,白崎 凌兵,R. Shirasaki,Kashima Antlers,41,Japan,Japanese J. League Division 1,
6370,Dylan Vente,D. Vente,Feyenoord,34,Netherlands,Holland Eredivisie,
6371,Sergiu Cătălin Hanca,S. Hanca,Cracovia,4,Romania,Polish T-Mobile Ekstraklasa,
6372,Paxton Pomykal,P. Pomykal,FC Dallas,19,United States,USA Major League Soccer,
6373,Chidera Ejuke,C. Ejuke,SC Heerenveen,8,Nigeria,Holland Eredivisie,
6374,Florinel Teodor Coman,F. Coman,FCSB (Steaua),7,Romania,Romanian Liga I,
6375,Hamza Mendyl,H. Mendyl,FC Schalke 04,3,Morocco,German 1. Bundesliga,
6376,Cauly Oliveira Souza,C. Oliveira Souza,SC Paderborn 07,10,Brazil,German 1. Bundesliga,
6377,Amine Bassi,A. Bassi,AS Nancy Lorraine,10,Morocco,French Ligue 2,
6378,Kevin Broll,K. Broll,SG Dynamo Dresden,1,Germany,German 2. Bundesliga,
6379,Jesper Verlaat,J. Verlaat,SV Sandhausen,4,Netherlands,German 2. Bundesliga,
6380,Philip Türpitz,P. Türpitz,SV Sandhausen,7,Germany,German 2. Bundesliga,
6381,Manuel Elías Fernández Guzmán,M. Fernández,Audax Italiano,3,Uruguay,Chilian Campeonato Nacional,
6382,Lewis Wing,L. Wing,Middlesbrough,26,England,English League Championship,
6383,Daniel Ojeda Saranova,Dani Ojeda,Albacete BP,21,Spain,Spanish Segunda División,
6384,Christian Beck,C. Beck,1. FC Magdeburg,11,Germany,German 3. Bundesliga,
6385,Ibrahima Niane,I. Niane,FC Metz,7,Senegal,French Ligue 1,
6386,Sadık Çiftpınar,S. Çiftpınar,Fenerbahçe SK,18,Turkey,Turkish Süper Lig,
6387,Hamadi Al Ghaddioui,H. Al Ghaddioui,VfB Stuttgart,34,Morocco,German 2. Bundesliga,
6388,Nicolas Louis Marcel Cozza,N. Cozza,Montpellier Hérault SC,31,France,French Ligue 1,
6389,Aylton Filipe Boa Morte,Aylton Boa Morte,Portimonense SC,77,Portugal,Portuguese Liga ZON SAGRES,
6390,Hervé Kouakou Koffi,H. Koffi,Belenenses SAD,16,Burkina Faso,Portuguese Liga ZON SAGRES,
6391,Dominik Frieser,D. Frieser,LASK Linz,28,Austria,Austrian Football Bundesliga,
6392,Ibrahima Diallo,I. Diallo,Stade Brestois 29,6,France,French Ligue 1,
6393,Júnior Udeme Pius,J. Pius,Royal Antwerp FC,40,Nigeria,Belgian Jupiler Pro League,
6394,Andreaw Gravillon,A. Gravillon,U.S. Sassuolo Calcio,5,France,Italian Serie A,
6395,Ramiro Gabriel González Hernández,R. González,Club León,23,Argentina,Mexican Liga MX,
6396,José Juan Macías Guzmán,J. Macías,Club León,21,Mexico,Mexican Liga MX,
6397,Adam Zreľák,A. Zreľák,1. FC Nürnberg,11,Slovakia,German 2. Bundesliga,
6398,Florent Muslija,F. Muslija,Hannover 96,35,Germany,German 2. Bundesliga,
6399,N'Guessan Rominigue Kouamé,R. Kouamé,KSV Cercle Brugge,19,Mali,Belgian Jupiler Pro League,
6400,Rui Pedro Silva Costa,Rui Costa,AD Alcorcón,24,Portugal,Spanish Segunda División,
6401,Pedro Filipe Figueiredo Rodrigues,Pêpê,Vitória de Guimarães,88,Portugal,Portuguese Liga ZON SAGRES,
6402,Florentin Matei,F. Matei,AFC Astra Giurgiu,10,Romania,Romanian Liga I,
6403,Ivan Ljubić,I. Ljubić,SK Sturm Graz,30,Austria,Austrian Football Bundesliga,
6404,Souleymane Karamoko,S. Karamoko,AS Nancy Lorraine,18,France,French Ligue 2,
6405,Tommaso Augello,T. Augello,U.C. Sampdoria,3,Italy,Italian Serie A,
6406,Matheus Borges Domingues,Matheus,Royal Antwerp FC,5,Brazil,Belgian Jupiler Pro League,
6407,Ignacio Méndez Navia Fernández,Nacho Méndez,Real Sporting de Gijón,14,Spain,Spanish Segunda División,
6408,Bastien Toma,B. Toma,FC Sion,24,Switzerland,Swiss Super League,
6409,Tiago Jorge Oliveira Lopes,Tiago Lopes,Denizlispor,2,Portugal,Turkish Süper Lig,
6410,Ander Guevara Lajo,Ander Guevara,Real Sociedad,16,Spain,Spain Primera Division,
6411,Andrea Settembrini,A. Settembrini,Virtus Entella Chiavari,56,Italy,Italian Serie B,
6412,Sofian Kiyine,S. Kiyine,US Salernitana 1919,13,Morocco,Italian Serie B,
6413,Ridle Bote Baku,R. Baku,1. FSV Mainz 05,34,Germany,German 1. Bundesliga,
6414,Jan Repas,J. Repas,Stade Malherbe Caen,9,Slovenia,French Ligue 2,
6415,Emmanuel Apeh,E. Apeh,RC Celta de Vigo,27,Nigeria,Spain Primera Division,
6416,Matías Germán Melluso,M. Melluso,Gimnasia y Esgrima La Plata,32,Argentina,Argentina Primera División,
6417,Nicolás Hugo Linares,N. Linares,Club Atlético Banfield,15,Argentina,Argentina Primera División,
6418,Tomás Alejandro Chancalay,T. Chancalay,Club Atlético Colón,12,Argentina,Argentina Primera División,
6419,Daniel Martín Fernández,Dani Martín,Real Betis Balompié,13,Spain,Spain Primera Division,
6420,Jessy Deminguet,J. Deminguet,Stade Malherbe Caen,8,France,French Ligue 2,
6421,Goran Milović,G. Milović,KV Oostende,5,Croatia,Belgian Jupiler Pro League,
6422,Timothy Tarpeh Weah,T. Weah,LOSC Lille,22,United States,French Ligue 1,
6423,Romario Andrés Ibarra Mina,R. Ibarra,Pachuca,30,Ecuador,Mexican Liga MX,
6424,Mauro Jaqueson Júnior Ferreira dos Santos,Mauro Júnior,Heracles Almelo,10,Brazil,Holland Eredivisie,
6425,Jonas Older Wind,J. Wind,F.C. København,23,Denmark,Danish Superliga,
6426,Hernán De la Fuente,H. De la Fuente,Vélez Sarsfield,4,Argentina,Argentina Primera División,
6427,Ghaylène Chaalali,G. Chaalali,Yeni Malatyaspor,25,Tunisia,Turkish Süper Lig,
6428,Aldo Jafid Cruz Sánchez,A. Cruz,Club Tijuana,18,Mexico,Mexican Liga MX,
6429,Cory Burke,C. Burke,Philadelphia Union,19,Jamaica,USA Major League Soccer,
6430,Agustín Ezequiel Almendra,A. Almendra,Boca Juniors,39,Argentina,Argentina Primera División,
6431,守田 英正,H. Morita,Kawasaki Frontale,6,Japan,Japanese J. League Division 1,
6432,Amor Yonas Layouni,A. Layouni,FK Bodø/Glimt,20,Sweden,Norwegian Eliteserien,
6433,Federico Nicolás Varela,F. Varela,CD Leganés,20,Argentina,Spain Primera Division,
6434,Eike Bansen,E. Bansen,SV Zulte Waregem,44,Germany,Belgian Jupiler Pro League,
6435,Lewis Ferguson,L. Ferguson,Aberdeen,19,Scotland,Scottish Premiership,
6436,Guillermo Tomás Soto Arredondo,G. Soto,Club Deportivo Palestino,20,Chile,Chilian Campeonato Nacional,
6437,Gaëtan Robail,G. Robail,Racing Club de Lens,9,France,French Ligue 2,
6438,Álvaro Aguado Méndez,Aguado,Real Valladolid CF,25,Spain,Spain Primera Division,
6439,Edwar Manuel López Gomez,E. López,Estudiantes de La Plata,28,Colombia,Argentina Primera División,
6440,Gastón Andrés Lodico,G. Lódico,Club Atlético Lanús,16,Argentina,Argentina Primera División,
6441,Musa Barrow,M. Barrow,Atalanta,99,Gambia,Italian Serie A,
6442,Elías Fernando Aguilar Vargas,E. Aguilar,Jeju United FC,23,Costa Rica,Korean K League 1,
6443,Giorgi Kharaishvili,G. Kharaishvili,IFK Göteborg,22,Georgia,Swedish Allsvenskan,
6444,João Klauss de Mello,Klauss,LASK Linz,9,Brazil,Austrian Football Bundesliga,
6445,Stefano Callegari,S. Callegari,Newell's Old Boys,29,Argentina,Argentina Primera División,
6446,Luca Pellegrini,L. Pellegrini,Juventus,42,Italy,Italian Serie A,
6447,Daniel Gómez Alcón,Dani Gómez,CD Tenerife,9,Spain,Spanish Segunda División,
6448,Borna Sosa,B. Sosa,VfB Stuttgart,24,Croatia,German 2. Bundesliga,
6449,Ali Gholizadeh,A. Gholizadeh,Royal Charleroi S.C.,8,Iran,Belgian Jupiler Pro League,
6450,Óscar Valentín Martín Luengo,Óscar Valentín,Rayo Vallecano,23,Spain,Spanish Segunda División,
6451,Aleksandar Vukotić,A. Vukotić,Waasland-Beveren,26,Serbia,Belgian Jupiler Pro League,
6452,Altay Bayındır,A. Bayındır,Fenerbahçe SK,98,Turkey,Turkish Süper Lig,
6453,Francisco Gámez López,Fran Gámez,RCD Mallorca,15,Spain,Spain Primera Division,
6454,Iñigo Vicente Elorduy,Iñigo Vicente,CD Mirandés,17,Spain,Spanish Segunda División,
6455,Maliele Vincent Pule,V. Pule,Orlando Pirates,45,South Africa,Rest of World,
6456,Jesús Jiménez Núñez,Jesús Jiménez,Górnik Zabrze,9,Spain,Polish T-Mobile Ekstraklasa,
6457,Aleksandar Radovanović,A. Radovanović,Racing Club de Lens,26,Serbia,French Ligue 2,
6458,Žarko Udovičić,Ž. Udovičić,Lechia Gdańsk,31,Serbia,Polish T-Mobile Ekstraklasa,
6459,Domenico Frare,D. Frare,Cittadella,15,Italy,Italian Serie B,
6460,Gabriel Rafael Fuentes Gómez,G. Fuentes,Junior FC,17,Colombia,Colombian Liga Postobón,
6461,Marius Bülter,M. Bülter,1. FC Union Berlin,15,Germany,German 1. Bundesliga,
6462,Javier Hernández Carrera,Javi Hernández,Real Madrid CF,37,Spain,Spain Primera Division,
6463,Aleksandar Paločević,A. Paločević,Pohang Steelers,26,Serbia,Korean K League 1,
6464,Jayden Bogle,J. Bogle,Derby County,37,England,English League Championship,
6465,Christos Albanis,C. Albanis,AEK Athens,14,Greece,Rest of World,
6466,Oihan Sancet Tirapu,Sancet,Athletic Club de Bilbao,34,Spain,Spain Primera Division,
6467,Yevhen Opanasenko,Y. Opanasenko,İttifak Holding Konyaspor,39,Ukraine,Turkish Süper Lig,
6468,Milan Havel,M. Havel,FC Viktoria Plzeň,24,Czech Republic,Czech Republic Gambrinus Liga,
6469,Blessing Chibukie Eleke,B. Eleke,FC Luzern,10,Nigeria,Swiss Super League,
6470,Juan Gabriel Rodríguez,J. Rodríguez,Defensa y Justicia,28,Argentina,Argentina Primera División,
6471,Javier Sánchez de Felipe,Javi Sánchez,Real Valladolid CF,15,Spain,Spain Primera Division,
6472,Hicham Boussefiane,H. Boussefiane,Málaga CF,31,Morocco,Spanish Segunda División,
6473,Nikolay Rasskazov,N. Rasskazov,Spartak Moskva,92,Russia,Rest of World,
6474,Iddrisu Baba Mohammed,I. Baba,RCD Mallorca,12,Ghana,Spain Primera Division,
6475,Youssouf Fofana,Y. Fofana,RC Strasbourg Alsace,22,France,French Ligue 1,
6476,Filip Holender,F. Holender,FC Lugano,9,Hungary,Swiss Super League,
6477,Ignacio Santiago Aliseda,I. Aliseda,Defensa y Justicia,32,Argentina,Argentina Primera División,
6478,Stiven Ricardo Plaza Castillo,S. Plaza,Real Valladolid CF,42,Ecuador,Spain Primera Division,
6479,Agustín José Urzi,A. Urzi,Club Atlético Banfield,35,Argentina,Argentina Primera División,
6480,Maxence Caqueret,M. Caqueret,Olympique Lyonnais,25,France,French Ligue 1,
6481,Adam Fernando Bareiro Gamarra,A. Bareiro,San Lorenzo de Almagro,7,Paraguay,Argentina Primera División,
6482,Jan Van den Bergh,J. Van den Bergh,KAA Gent,2,Belgium,Belgian Jupiler Pro League,
6483,Kai Pröger,K. Pröger,SC Paderborn 07,9,Germany,German 1. Bundesliga,
6484,Ricardo Luis Márquez González,R. Márquez,Club Unión Magdalena S.A,21,Colombia,Colombian Liga Postobón,
6485,Ibrahima Camará,I. Camará,Moreirense FC,8,Guinea,Portuguese Liga ZON SAGRES,
6486,Diego Gabriel Valdez Samudio,D. Valdez,Club Atlético de San Luis,17,Paraguay,Mexican Liga MX,
6487,Iulian Lucian Cristea,I. Cristea,FCSB (Steaua),17,Romania,Romanian Liga I,
6488,Claudiu Belu-Iordache,C. Belu-Iordache,FCSB (Steaua),70,Romania,Romanian Liga I,
6489,Andrei Viorel Artean,A. Artean,FC Viitorul Constanța,18,Romania,Romanian Liga I,
6490,Ionuț Daniel Vînă,I. Vînă,FCSB (Steaua),20,Romania,Romanian Liga I,
6491,Zakaria Hadraf,Z. Hadraf,Damac FC,7,Morocco,Saudi Abdul L. Jameel League,
6492,Dejan Joveljić,D. Joveljić,Eintracht Frankfurt,7,Serbia,German 1. Bundesliga,
6493,Nihad Mujakić,N. Mujakić,KV Kortrijk,18,Bosnia and Herzegovina,Belgian Jupiler Pro League,
6494,Faberth Manuel Balda Rodríguez,M. Balda,Club Atlas,20,Colombia,Mexican Liga MX,
6495,Gonçalo Rosa Gonçalves Pereira Rodrigues,Guga Rodrigues,Futebol Clube de Famalicão,6,Portugal,Portuguese Liga ZON SAGRES,
6496,Michele De Agostini,M. De Agostini,Pordenone,3,Italy,Italian Serie B,
6497,Pedro Miguel Gaspar Amaral,Pedro Amaral,Rio Ave FC,24,Portugal,Portuguese Liga ZON SAGRES,
6498,Mateus Pasinato,Mateus Pasinato,Moreirense FC,14,Brazil,Portuguese Liga ZON SAGRES,
6499,Manconi Soriano Mané,Sori Mané,Moreirense FC,16,Guinea Bissau,Portuguese Liga ZON SAGRES,
6500,Jalal Daoudi,J. Daoudi,Al Raed,5,Morocco,Saudi Abdul L. Jameel League,
6501,Willyan da Silva Rocha,Willyan,Portimonense SC,28,Brazil,Portuguese Liga ZON SAGRES,
6502,Francesco Lisi,F. Lisi,Pisa,23,Italy,Italian Serie B,
6503,Domagoj Bradarić,D. Bradarić,LOSC Lille,29,Croatia,French Ligue 1,
6504,Agustín Maximiliano Rogel Paita,A. Rogel,Toulouse Football Club,18,Uruguay,French Ligue 1,
6505,Emanuel Pogatetz,E. Pogatetz,LASK Linz,4,Austria,Austrian Football Bundesliga,
6506,Luke Steele,L. Steele,Millwall,14,England,English League Championship,
6507,DaMarcus Beasley,D. Beasley,Houston Dynamo,7,United States,USA Major League Soccer,
6508,Morten Gamst Pedersen,M. Pedersen,Tromsø IL,7,Norway,Norwegian Eliteserien,
6509,Souleymane Camara,S. Camara,Montpellier Hérault SC,19,Senegal,French Ligue 1,
6510,Johan Etienne Anthony Cavalli,J. Cavalli,AC Ajaccio,18,France,French Ligue 2,
6511,Mathieu Bodmer,M. Bodmer,Amiens SC,24,France,French Ligue 1,
6512,Eldin Jakupović,E. Jakupović,Leicester City,35,Switzerland,English Premier League,
6513,Francisco Javier Campos Coll,Xisco Campos,RCD Mallorca,5,Spain,Spain Primera Division,
6514,Ufuk Ceylan,U. Ceylan,Yeni Malatyaspor,35,Turkey,Turkish Süper Lig,
6515,Kirk John Broadfoot,K. Broadfoot,Kilmarnock,5,Scotland,Scottish Premiership,
6516,Anders Rosenkrantz Lindegaard,A. Lindegaard,Helsingborgs IF,1,Denmark,Swedish Allsvenskan,
6517,정조국 郑兆国,Jung Jo Gook,Gangwon FC,9,Korea Republic,Korean K League 1,
6518,이동국 李东国,Lee Dong Gook,Jeonbuk Hyundai Motors,20,Korea Republic,Korean K League 1,
6519,Christophe Lepoint,C. Lepoint,KV Kortrijk,15,Belgium,Belgian Jupiler Pro League,
6520,Carlos Arnoldo Salcido Flores,C. Salcido,Tiburones Rojos de Veracruz,5,Mexico,Mexican Liga MX,
6521,David Nugent,D. Nugent,Preston North End,35,England,English League Championship,
6522,Zlatko Dedič,Z. Dedič,WSG Tirol,22,Slovenia,Austrian Football Bundesliga,
6523,John Alvbåge,J. Alvbåge,IK Sirius,30,Sweden,Swedish Allsvenskan,
6524,Álvaro Cejudo Carmona,Cejudo,Racing Santander,10,Spain,Spanish Segunda División,
6525,Marius Marcel Constantin,M. Constantin,Gaz Metan Mediaş,23,Romania,Romanian Liga I,
6526,Răzvan Neculaie Pleșca,R. Pleșca,Gaz Metan Mediaş,12,Romania,Romanian Liga I,
6527,Marcin Ryszard Wasilewski,M. Wasilewski,Wisła Kraków,27,Poland,Polish T-Mobile Ekstraklasa,
6528,Avraam Papadopoulos,A. Papadopoulos,Olympiacos CFP,34,Greece,Rest of World,
6529,강민수 康敏寿,Kang Min Soo,Ulsan Hyundai FC,4,Korea Republic,Korean K League 1,
6530,Piotr Celeban,P. Celeban,Śląsk Wrocław,3,Poland,Polish T-Mobile Ekstraklasa,
6531,Casto Espinosa Barriga,Casto,Extremadura UD,1,Spain,Spanish Segunda División,
6532,Charles Graham Adam,C. Adam,Reading,26,Scotland,English League Championship,
6533,Martin Cranie,M. Cranie,Luton Town,2,England,English League Championship,
6534,Andrew Considine,A. Considine,Aberdeen,4,Scotland,Scottish Premiership,
6535,Samuel Tobias Holmén,S. Holmén,IF Elfsborg,8,Sweden,Swedish Allsvenskan,
6536,Sylvain Marveaux,S. Marveaux,FC Lorient,32,France,French Ligue 2,
6537,Efraín Velarde Calvillo,E. Velarde,Monarcas Morelia,2,Mexico,Mexican Liga MX,
6538,Moritz Stoppelkamp,M. Stoppelkamp,MSV Duisburg,10,Germany,German 3. Bundesliga,
6539,Quentin Westberg,Q. Westberg,Toronto FC,16,United States,USA Major League Soccer,
