,index,common_entity,entity1,entity2
1325,24149,kiss,calling dr. love,1976
1326,7931,hank locklin,it is love,1966
1327,3059,new edition,lost in love,1984
1328,26006,radiohead,the national anthem,2000
1329,26161,chevelle,comfortable liar,2002
1330,26414,tool,lost keys (blame hofman),2006
1331,17197,judy garland,swanee,1954
1332,17520,herb ellis,workin' with the truth,1960
1333,19074,nat king cole,thanks to you,1992
1334,26895,bad suns,20 years,2013
1335,13703,"crosby, stills, nash & young",helplessly hoping,1974
1336,1409,fairport convention,autopsy,1969
1337,8917,waylon jennings,i think i'm gonna kill myself,1977
1338,16836,krokus,rockin' in the free world,2017
1339,25806,journey,remember me (feat. steve augeri),1998
1340,25319,queen,these are the days of our lives,1991
1341,5824,drake,forever,2009
1342,28098,jazz cartier,nobody's watching,2017
1343,27370,a r i z o n a,summer days,2018
1344,15995,hasil adkins,get outta my car,2007
1345,2322,pablo cruise,love will find a way,1978
1346,7128,hank williams,the angel of death,1956
1347,4595,leif garrett,i was made for dancin',1998
1348,18766,basia,cruising for bruising,1986
1349,5300,the national,about today,2004
1350,1993,emmylou harris,bottle let me down,1975
1351,7169,marty robbins,return to me,1957
1352,22415,the movement,on your feet,2004
1353,27899,styles p,rude boy hip hop (feat. raheem devaughn),2014
1354,25994,placebo,special k,2000
1355,5644,high school musical cast,high school musical,2008
1356,13209,nina simone,this year's kisses,1966
1357,26802,the menzingers,good things,2012
1358,22994,nahko and medicine for the people,on the verge,2013
1359,12224,upchurch,donald trump,2016
1360,58,les paul,"baby, won't you please come home",1955
1361,6477,three days grace,i am machine,2015
1362,23025,kabaka pyramid,no capitalist,2013
1363,11835,cody jinks,no time,2010
1364,8528,bobby bare,in the hills of shiloh,1973
1365,21145,bob marley & the wailers,cry to me,1976
1366,19487,angelo debarre,noto swing,1999
1367,7104,brownie mcghee,sporting life,1955
1368,27728,freeman,puro,2010
1369,26221,limp bizkit,eat you alive,2003
1370,4553,nofx,all outta angst,1997
1371,20887,devin townsend,genesis,2019
1372,1794,harry nilsson,lullaby in ragtime,1973
1373,24965,bauhaus,bela lugosi’s dead,1986
1374,24312,foreigner,"blue morning, blue day",1978
1375,5148,blink-182,i miss you,2003
1376,20759,wax tailor,ecstasy,2017
1377,4941,the bouncing souls,true believers,2001
1378,17867,aretha franklin,if you gotta make a fool of somebody,1969
1379,12840,nina simone,solitaire,1959
1380,21478,ub40,your eyes were open,1984
1381,16454,ray charles,till there was you,2013
1382,1997,little river band,statue of liberty,1975
1383,16368,anders osborne,louisiana gold,2012
1384,9776,chris ledoux,cowboy songs,1986
1385,8043,willie nelson,there goes a man,1967
1386,22797,iration,turn around,2010
1387,13254,jefferson airplane,young girl sunday blues,1967
1388,28330,will smith,gettin' jiggy wit it,2019
1389,5386,fall out boy,i slept with someone in fall out boy and all i got was this stupid song written about me,2005
1390,600,andy williams,tonight,1962
1391,3133,lloyd cole and the commotions,lost weekend,1985
1392,14379,the animals,love is for all time,1983
1393,1429,van morrison,blue money,1970
1394,14108,aretha franklin,united together,1980
1395,15119,phish,simple,1994
1396,15419,the guess who,talisman,2000
1397,1821,the 5th dimension,day by day,1973
1398,17324,dave brubeck,my romance,1955
1399,17574,bill evans trio,beautiful love (take 1),1961
1400,585,dion,donna the prima donna,1962
1401,26734,the airborne toxic event,changing,2011
1402,26399,flyleaf,cassie,2006
1403,20063,between the buried and me,prequel to the sequel,2007
1404,17844,frank zappa,bow tie daddy,1968
1405,4192,nas,it ain't hard to tell,1994
1406,1289,the byrds,blue canadian rockies,1968
1407,26812,mumford & sons,reminder,2012
1408,21045,slim smith,it's alright,1972
1409,16996,joe bonamassa,stronger now in broken places,2018
1410,9282,emmylou harris,rose of cimarron,1981
1411,11775,uncle kracker,livin' the dream,2009
1412,5922,rihanna,what's my name?,2010
1413,28084,desiigner,up,2017
1414,498,roy orbison,devil doll,1961
1415,27474,einstein,the tables are turnin',1990
1416,10982,restless heart,i'll still be loving you,1998
1417,7734,tammy wynette,i'll see him through,1964
1418,23398,third world,na na na,2019
1419,26587,steel panther,community property,2009
1420,9596,nick lowe,breakaway,1984
1421,3234,janet jackson,he doesn't know i'm alive,1986
1422,16920,the california honeydrops,hold it down,2018
1423,22462,current swell,room of the faded moon,2005
1424,12778,ella fitzgerald,of thee i sing,1959
1425,10298,steve wariner,leave him out of this,1991
1426,27916,corleone,i made it,2014
1427,26866,mumford & sons,where are you now,2012
1428,24074,carpenters,love me for what i am,1975
1429,12508,odetta,no more cane on the brazo,1954
1430,11917,big & rich,fake id (feat. gretchen wilson),2011
1431,5768,lil scrappy,no problem,2009
1432,26753,theory of a deadman,bitch came back,2011
1433,14880,the vaughan brothers,long way from home,1990
1434,22258,midnite,no fear no sorrow,2002
1435,25412,prince,damn u,1992
1436,25745,kmfdm,megalomaniac,1997
1437,27326,josh wilson,dream small,2018
1438,21118,jimmy cliff,dear mother,1976
1439,25897,misfits,dust to dust,1999
1440,25347,nirvana,stay away,1991
1441,16039,black mountain,evil ways,2008
1442,24951,slayer,aggressive perfector,1986
1443,7241,don gibson,i wish it had been a dream,1959
1444,25545,soundgarden,superunknown,1994
1445,23580,the ventures,(ghost) riders in the sky,1961
1446,5539,zac efron,what time is it,2007
1447,24710,dio,invisible,1983
1448,23728,the beatles,eleanor rigby,1966
1449,17810,dean martin,wallpaper roses,1967
1450,10099,randy travis,when your world was turning for me,1989
1451,22963,ub40,if you ever have forever,2013
1452,856,the drifters,let the music play,1964
1453,13399,joe cocker,feelin' alright,1969
1454,22610,passafire,unfamiliar,2007
1455,10010,k.d. lang,tears don't care who cries them,1988
1456,11625,luke bryan,first love song,2007
1457,25999,finger eleven,drag you down,2000
1458,9315,juice newton,texas heartache,1981
1459,25312,primus,here come the bastards,1991
1460,571,the shirelles,big john (ain't you gonna marry me),1962
1461,26696,hollywood undead,i don’t wanna die,2011
1462,23681,elvis presley,puppet on a string,1965
1463,23757,the beatles,magical mystery tour,1967
1464,28048,boyz n da hood,everybody know me,2017
1465,12439,cold creek county,drinkin',2019
1466,80,jerry vale,"ciao, ciao, bambina",1956
1467,6500,mac miller,brand name,2015
1468,3648,janet jackson,state of the world,1989
1469,21367,ub40,love is all is alright,1982
1470,9935,dolly parton,wildflowers,1987
1471,24755,slayer,black magic,1983
1472,15804,death from above 1979,better off dead,2005
1473,22635,demarco,fallen soldiers,2008
1474,23671,the kinks,just can't go to sleep,1964
1475,22628,michael franti & spearhead,the future,2008
1476,5955,mac miller,kool aid and frozen pizza,2010
1477,23706,the beatles,the night before,1965
1478,26785,trampled by turtles,alone,2012
1479,3410,rick astley,whenever you need somebody,1987
1480,20859,drwn.,nightshift (red wine and cigs),2018
1481,17274,louis armstrong,all of me,1955
1482,3507,bobby brown,every little step,1988
1483,4563,third eye blind,narcolepsy,1997
1484,12944,sister rosetta tharpe,stretch out,1962
1485,19917,lizz wright,hit the ground,2005
1486,15252,the duprees,have you heard,1996
1487,18733,bill frisell,music i heard,1985
1488,785,the dave clark five,at the scene,1964
1489,15298,slim harpo,i'm a king bee,1997
1490,1571,bonnie raitt,bluebird,1971
1491,15783,alex chilton,hook of crook,2005
1492,16143,black joe lewis & the honeybears,master sold my baby,2009
1493,13512,"crosby, stills, nash & young",southern man,1971
1494,21960,dispatch,other side (live),1996
1495,20078,susie arioli,blue skies,2008
1496,1827,bob dylan,can't help falling in love,1973
1497,17315,erroll garner,exactly like you,1955
1498,16522,the black angels,holland,2013
1499,6825,green day,boulevard of broken dreams,2017
