,common_entity,entity1,entity2
10603,Mary Ellen's Best of Helpful Hints Book II,Pinkham,"June, 1989"
91515,I'll See You in the Morning,"Jolley, Mike and Moriuchi, Mique (ILT)","July, 2005"
53206,Graffiti Girl,"Parra, Kelly","May, 2007"
44444,Murder at the Opera: A Capital Crimes Novel,"Truman, Margaret","November, 2006"
25401,How to Be Happier Day by Day,"Epstein, Alan","January, 1993"
19510,Electronic Commerce: A Managerial Perspective,"Turban, Efraim (EDT), King, David, Lee, Jae Kyu, and Chung, H. Michael","October, 1999"
15228,Ransom,"Steel, Danielle","February, 2004"
88796,The Corset Diaries,"MacAlister, Katie","May, 2004"
66658,Peony in Love: A Novel,"See, Lisa","June, 2007"
4438,Oxford Blood,"Fraser, Antonia","August, 1985"
15161,Hand of Providence: The Strong and Quiet Faith of Ronald Reagan,"Brown, Mary Beth","March, 2004"
14138,Heirs of the Fisherman: Behind the Scenes of Papal Death and Succession,"Pham, John-Peter","November, 2004"
28915,Reach Everyone You Teach,"Rosann Englebretson, Marlene LeFever, Steve Wamberg","January, 1998"
45187,The World Record Paper Airplane Book,"Blackburn, Ken and Lammers, Jeff","January, 1994"
36471,The Rottweiler,"Rendell, Ruth","November, 2004"
28862,The Color of Night,"Lindsey, David L.","April, 1999"
79876,Sister Wendy's Meditations on Love,"Beckett, Wendy","September, 1995"
61797,The Secret Country,"Dean, Pamela","May, 1985"
36414,Book of the Dead,"Cornwell, Patricia Daniels","October, 2007"
65652,Helping Children Learn Mathematics,"Reys, Robert E., Suydam, Marilyn N., and Lindquist, Mary M.","October, 1994"
76501,Scholastic Reader Level 1: Whales and Dolphins,"Schwartz, Carol (ILT), Roop, Peter, and Roop, Connie","May, 2002"
46318,The Baronet's Song,"MacDonald, George","May, 1983"
21255,Shadow Patriots: A Novel of the Revolution,"Robson, Lucia St. Clair","May, 2005"
63972,Slipcover Magic,"Hall, Dorothea (EDT)","February, 1995"
53558,Battle Born,"Brown, Dale","November, 1999"
83935,Nuclear Terrorism: The Ultimate Preventable Catastrophe,"Allison, Graham T.","August, 2005"
12385,Murder With Muskets,"Reeves, John","June, 1985"
83774,Let Go of Clutter,Harriet Schechter,"January, 2001"
46985,Going to Extremes,"McGinniss, Joe","September, 1989"
74220,Sara's Song,"Michaels, Fern","March, 1998"
28419,The Sample Survey: Theory and Practice,"Warwick, Donald P. and Lininger, C. A.","October, 1975"
16687,Apparitions at Medjugorje Prolonged: A Merciful Delay for a World in Danger,"Laurentin, Rene","June, 1987"
91815,Intermediate Algebra and Analytic Geometry Made Simple,"Gondin, William R., Ph.D. and Sohmer, Bernard","July, 1959"
85373,PC Annoyances: How to Fix the Most Annoying Things About Your Personal Computer,"Bass, Steve","October, 2003"
30166,Many Servants: An Introduction to Deacons,"Plater, Ormonde","June, 1991"
58276,Contemporary Issues in Leadership,"Taylor, Robert L. (EDT) and Rosenbach, William E. (EDT)","January, 2006"
38130,A Walk to Remember,"Sparks, Nicholas","September, 2000"
18621,The Boy Who Loved Windows: Opening The Heart And Mind Of A Child Threatened With Autism,"Stacey, Patricia","September, 2003"
95842,More Joy of Microwaving,Microwave Cooking Institute,"October, 1988"
36703,Review of Medical Physiology,"Ganong, William F.","April, 1991"
68806,Intelligent Memory: Improve the Memory that Makes You Smarter,"Berger, Lisa and Gordon, Barry","September, 2003"
19761,Nato: The Challenge of Change,Jeffery Simon,"January, 1993"
20900,King Edward The Seventh,Philip Magnus,"January, 1964"
60129,And the Waters Turned to Blood,"Barker, Rodney","March, 1998"
57376,Traditional Family Home Plans,Garlinghouse Company,"June, 1999"
14941,The Two Sides of Love: Using Personality Strengths to Greatly Improve Your Relationships,"Smalley, Gary and Trent, John","January, 1999"
68585,Classics of Western philosophy,,"January, 1990"
1515,What Should I Do with My Life?: The True Story of People Who Answered the Ultimate Question,"Bronson, Po","December, 2003"
67119,The Apprentice,"Llorente, Pilar Molina and Alonso, Juan Ramon (ILT)","August, 1994"
7973,Southwest Tastes,"Brown, Ellen","January, 1991"
29068,Came the Revolution: Argument in the Reagan Era,"Moynihan, Daniel","March, 1988"
101869,Geraldine's Blanket,Holly Keller,"January, 1984"
3507,Maryland in Focus,"Evans, Middleton","October, 1988"
54249,Modern Trial Advocacy: Analysis and Practice,"Lubet, Steven","November, 1997"
77674,Our Children Are Dying,"Hentoff, Nat","October, 1966"
102472,The Monster of Florence,douglas-with-spezi-mario-preston,"January, 2008"
40240,Answered Prayers: A Novel,"Steel, Danielle","September, 2003"
45014,Daughters Without Dads,"Rabey, Lois Mowday and Mowday, Lois","February, 1990"
29097,If I Live to Be 100: Lessons from the Centenarians,"Ellis, Neenah","March, 2004"
83162,Food and Wine Annual Cookbook 2010: An Entire Year of Recipes,"Heddings, Kate (EDT)","April, 2010"
35776,How to Master the Art of Selling,"Hopkins, Tom","June, 1988"
3919,Photography and Your Digital World: The Ultimate Guide to Digital Technology,"Cope, Peter","December, 2005"
90894,Tears and Laughter in an Israel Courtroom,Shneour Zalman Cheshin,"January, 1959"
98522,Wealthy and Wise: How You and America Can Get the Most Out of Your Giving,"Rosenberg, Claude, Jr.","September, 1994"
3983,Across Five Aprils,"Hunt, Irene","January, 2002"
6078,Discipline Without Shouting or Spanking: Practical Solutions to the Most Common Preschool Behavior Problems,"Wychoff, Jerry and Unell, Barbara C.","November, 1984"
58810,Beyond Vietnam: The United States and Asia,"Reischauer, Edwin O.","January, 1967"
48026,The New American Story,"Bradley, Bill","January, 2008"
102093,Spectacular Spiders,Lori C. Froeb,"January, 2000"
17423,Bushworld,"Dowd, Maureen","August, 2004"
11175,The Fourth Codex,"Houston, Robert","July, 1988"
71770,Bible Storybook for Toddlers,Carolyn Larsen,"January, 2006"
6244,Redeye,"Aellen, Richard","September, 1988"
82672,Fundamentals of Nursing,"Perry, Anne Griffin, Potter, Patricia Ann, Hall, Amy (EDT), Stockert, Patricia A. (EDT), and Baier, Marjorie, Ph.D. (CON)","December, 2008"
40264,Shallows of Night,"Lustbader, Eric Van","December, 1980"
94986,The Executive Life,Editors of Fortune,"January, 1956"
83379,The Secret Circle: The Captive Part II and The Power,"Smith, L. J.","August, 2012"
20675,Changed Hearts: The Solution to America's Crime Problem,Charles Colson,"January, 1989"
38504,Webster's New World Crossword Puzzle Dictionary,"Whitfield, Jane Shaw","September, 1996"
6301,Fat Burning Factors Lean Lifestyle,"Sisson, Mark","January, 1996"
72346,Super Ideas for Youth Groups,"Yaconelli, Mike","January, 1980"
86947,Jack's Run,"Smith, Roland","April, 2007"
49303,Modern Bridge Conventions,"Root, William S. and Pavlicek, Richard","January, 1981"
67303,My First Prayers,"Gutmann, Bessie Pease, Akmon, Nancy C., and Akmon, Roni","November, 2000"
84894,Larryboy and the Awful Ear Wacks Attacks,"Moore, Michael (ILT) and Katula, Bob","September, 2002"
35692,So You're Thinking About Homeschooling: Fifteen Families Show How You Can Do It,"Whelchel, Lisa","March, 2003"
93794,Simple French Cookery,"Beilenson, Edna","January, 1958"
58238,The Reagan I Knew,"Buckley, William F.","October, 2008"
71183,Jill's Glasses,Nancy Parent,"January, 2003"
93830,The New Walker's Logbook,Mark Fenton,"January, 1995"
41822,The Secret Garden,"Burnett, Frances Hodgson","November, 1989"
45992,Cover letters that knock 'em dead,"Yate, Martin","January, 1992"
49195,Gardener's Book of Needlepoint,"Bodi, Jack","January, 1979"
93332,You Can Draw,"Toll, Damien","February, 2006"
58291,Just How Stupid Are We?: Facing the Truth About the American Voter,"Shenkman, Rick","June, 2008"
77891,The Wishbones,"Perrotta, Tom","April, 1998"
45647,Healing Through the Power of Prayer: What the Bible Says About Healing,"Dailey, Timothy","January, 1998"
32912,Simply Homemade Food Gifts,"Dahlstrom, Carol Field (EDT), Miller, Jan (EDT), Trollope, Joyce (EDT), Darling, Jennifer Dorland (EDT), and Bander, Susan M. (EDT)","August, 2001"
19445,Kenya: A Novel,"Halkin, John","July, 1986"
15318,The Social Lives of Dogs,"Thomas, Elizabeth Marshall and Williams, Jared Taylor (ILT)","June, 2000"
19212,Eddie's Bastard: A Novel,"Kowalski, William","September, 2000"
30212,First Prayers,"Church, Caroline Jayne (ILT)","March, 2012"
96591,A Speaker's Guidebook,"O'Hair, Dan, Stewart, Robert A., and Rubenstein, Hannah","March, 2001"
5833,Made in America: His Own Story,"Ueberroth, Peter","May, 1988"
7314,The mortgaged heart,"McCullers, Carson","January, 1971"
100898,Minute Motivators for Leaders: Quick Inspiration for the Time of Your Life,"Toler, Stan","January, 2002"
28802,The Grill Book: New Foods and Flavors for the Grill,"McCune, Kelly","May, 1991"
45248,Faith,"Deighton, Len","January, 1994"
78170,Another Mother's Life,"Coleman, Rowan","October, 2008"
53453,3 Brides for 3 Bad Boys,"Monroe, Lucy","March, 2005"
77244,Stops Along the Country Road,"Breighner, Joseph","June, 1996"
54519,What If? Writing Exercises for Fiction Writers,"Bernays, Anne and Painter, Pamela","November, 1991"
6762,The Macmillan Visual Almanac,"Tesar, Jenny E. and Glassman, Bruce S. (EDT)","August, 1996"
22436,The Great Rift: Africa's Changing Valley,"Smith, Anthony","October, 1989"
61922,The Secret Diaries of Miss Miranda Cheever,"Quinn, Julia","June, 2007"
84660,Dear Mother,Hallmark,"January, 1976"
64164,The Monkey Handlers,"Liddy, G. Gordon","September, 1991"
54851,Bread for the World,"Simon, Arthur","March, 1985"
28151,Camera at War: A History of War Photography from 1848 to the Present Day,Jorge Lewinski,"April, 1980"
78077,Treasure Island,Robert Louis Stevenson,"January, 2008"
15801,On the Edge of Darkness: Conversations about Conquering Depression,"Cronkite, Kathy","February, 1994"
5106,No Contest : Corporate Lawyers and the Perversion of Justice in America,"Nader, Ralph and Smith, Wesley J.","October, 1996"
43447,Baseball: Rules of the Game,"Sakurai, Jennifer M. and Dierksen, Jane (ILT)","February, 1990"
47957,West of Dodge: Frontier Stories  ,"L'Amour, Louis","March, 1997"
81905,Before the Wind: True Stories About Sailing,"Gowdey, David (EDT)","February, 1994"
88959,Cash: An American Man,"Miller, Bill, Vancil, Mark, and Hoye, Jacob","May, 2004"
26677,Madam Butterfly,"Carner, Mosco","June, 1979"
23742,To America: Personal Reflections of an Historian,"Ambrose, Stephen E.","November, 2002"
41978,Twice Shy,"Francis, Dick","January, 1983"
29469,Eloquent Executive,"Parkhurst, William","May, 1988"
14551,Newt Gingrich's Bedtime Stories for Orphans,"Crimmins, C. E. and Maeder, Tom","July, 1995"
4484,Give and Take: The Complete Guide to Negotiating Strategies and Tactics,"Karrass, Chester L.","December, 1974"
41005,Call Each River Jordan: A Novel of Historical Suspense,"Parry, Owen","October, 2001"
71758,Come To Grief,"Francis, Dick","January, 1995"
54884,Nonverbal Selling Power,"Gschwandtner, Gerhard and Garnett, Pat","July, 1985"
5595,The Snow Garden,"Rice, Christopher","February, 2003"
69296,125 Brain Games for Babies,"Silberg, Jackie","May, 1999"
76707,Rick Steves' Europe Through the Back Door,"Steves, Rick","January, 1995"
89704,American Nature Guides Eastern Birds,"Shaw, Frank","August, 1990"
44271,The Coyote Bead,"Hausman, Gerald","September, 1999"
42663,Increasing Student Learning Through Multimedia Projects,"Simkins, Michael (EDT)","September, 2002"
65293,Dark Age Britain: Some Sources of History,"Marsh, Henry","May, 1987"
93,ON THE WING: The Life of Birds: From Feathers to Flight,"Brooks, Bruce","September, 1989"
33641,BRIGHT STAR,"Coyle, Harold","April, 1990"
59972,Wildcat,"Thomas, Craig","November, 1989"
79631,Sleeping Beauties: Newborns in Dreamland,"Raver, Tracy (PHT) and Ryden, Kelley (PHT)","March, 2010"
100368,Shadows at Midnight,"Jennings, Elizabeth","August, 2010"
87052,How I Pray: People of Different Religions Share with Us That Most Sacred and Intimate Act of Faith,"Castelli, Jim (EDT)","September, 1994"
88059,HOLT HANDBOOK 5E,"Kirszner, Laurie G. and Mandell, Stephen R.","January, 1999"
7715,Voices From The Future: Our Children Tell Us About Violence in America,"Goodwillie, Susan (EDT)","August, 1993"
6256,Cape Cod and the Islands: A Picture Book to Remember Her By,"Smart, Ted","March, 1988"
23349,French Women Don't Get Fat: The Secret of Eating for Pleasure,"Guiliano, Mireille","December, 2007"
99800,The Second Middle Age: Looking Differently at Life Beyond 50,"Manheimer, Ronald J. (EDT)","April, 1995"
53162,The English American: A Novel,"Larkin, Alison","March, 2008"
36652,When Helping You Is Hurting Me,"Berry, Carmen Renee","February, 1995"
59004,Feng Shui Made Easy: Designing Your Life with the Ancient Art of Placement,"Spear, William","October, 1995"
7463,Plain Brown Wrapper: An Alex Powell Novel,"Bates, Karen Grigsby","July, 2001"
71130,CliffsNotes Pride and Prejudice,"Fitzwater, E. (EDT)","September, 1959"
906,Now What Can I Do?,"Sweet, Melissa (ILT) and Bridges, Margaret Park","July, 2001"
92969,Lost Harbor: The Controversy over Drake's California Anchorage,"Hanna, Warren L.","June, 1979"
61759,Say Goodbye to Back Pain,"Betancourt, Marian and Hiesiger, Emile, M.D.","October, 2004"
86389,Thinking of You,"Sanna, Ellyn","January, 2003"
68636,The Celts,"Chadwick, Nora","May, 1971"
91579,The Complete Love's Little Instruction Book: Romantic Hints for Lovers of All Ages,"Pigeon, Annie","January, 2005"
76639,Mastering Project Management,"Lewis, James P.","March, 1998"
76676,The People's Catechism: Catholic Faith for Adults,"Brennan, Patrick, Lucker, Raymond, and Leach, Michel","June, 1995"
48542,A Child's First Book of Poems,Cyndy Szekeres,"January, 1981"
45895,The Horizontal Organization : What the Organization of the Future Actually Looks Like and How it Delivers Value to Customers,"Ostroff, Frank","February, 1999"
11664,The Five Minute Iliad Other Instant Classics: Great Books For The Short Attention Span,"Nagan, Greg","August, 2000"
8778,Sherlock Holmes and the Secret Alliance,"Millett, Larry","October, 2001"
80349,When Life Is Changed Forever,"Taylor, Rick","January, 1993"
37709,Little Red Riding Hood,Modern Publishing,"January, 1995"
56349,Torah and Canon,"Sanders, James A.","June, 1972"
3020,When Life Hurts: Comforting Reflections for Our Troubled Moments,"Greeley, Andrew M.","November, 1989"
99922,Plenty: A drama,David Hare,"January, 1978"
11890,Grand Jury,"Friedman, Philip","May, 1996"
64065,The Matchmaker of Perigord: A Novel,"Stuart, Julia","August, 2008"
18116,Speaking Up,"Ruskin, Mark","August, 1997"
42493,The Reading List: Contemporary Fiction: A Critical Guide to the Complete Works of 125 Authors,"Rubel, David (EDT)","June, 1998"
43288,Mark the Road: Signposts for the Christian Pilgrim,"Weldon, Wilson O","January, 1973"
93206,Energy Politics,"Davis, David Howard","November, 1992"
99242,An Unfinished Woman,X,"January, 1979"
43001,Night Over Water,"Follett, Ken","September, 1992"
88668,The Office Survival Guide,"Thompson, Andrea and Puder-York, Marilyn, Ph.D.","December, 2005"
83679,The Unforgiving Minute: A Soldier's Education,"Mullaney, Craig M.","February, 2010"
56067,How to Pray,"Torrey, R. A.","December, 1983"
38710,A Time for Freedom,"Cheney, Lynne V.","October, 2005"
2093,The Alien Years,"Silverberg, Robert","August, 1998"
25165,The plot to destroy Israel: The road to Armageddon,"Rosenfeld, Alvin","January, 1977"
96766,Origami with Dollar Bills,unknown,"January, 2006"
46903,Is It Worth Dying for,"Eliot, Robert S.","April, 1985"
48131,Vegan: The New Ethics of Eating,"Macus, Erik and Marcus, Erik","September, 1997"
23063,Western Unity and the Common Market,Lippmann Walter,"January, 1962"
46734,A Fish That's a Box,"Esterman, M. M.","January, 2010"
96685,Armed and Dangerous: Facing Today's Battles with the Word of God,,"March, 2000"
49330,The Banana Lover's Cookbook,"Lindquist, Carol","February, 1993"
11959,Fit or Fat?,"Bailey, Covert","May, 1989"
27081,Disobedience: A Novel,"Hamilton, Jane","July, 2001"
93163,The Complete Idiot's Guide to Genealogy,"Rose, Christine and Ingalls, Kay Germain","September, 1997"
6511,Father's Day: A Novel,"Batchelor, John Calvin","October, 1994"
59496,White Fang: Illustrated Classics,"London, Jack","March, 1990"
18772,Quilt Style,"Fazely, Lucy A.","March, 2002"
3836,Living in Sin?: A Bishop Rethinks Human Sexuality,"Spong, John Shelby","February, 1990"
43750,Don Quixote,"Cervantes Saavedra, Miguel de, Bogin, Magda (TRN), and Boix, Manual (ILT)","September, 1991"
7575,Soviet Jewry Today and Tomorrow,"Smolar, Boris","January, 1971"
3081,The Johnson humor,"Johnson, Lyndon B., Adler, Bill","January, 1965"
87960,Watercolor Painting Techniques,"Lewis, David (EDT)","October, 1983"
33021,Fresh from the pantry: Recipes for every day,Longaberger Company,"January, 2001"
10040,Time Life History of the Civil War,Ronald H. Bailey,"January, 1995"
89816,America from Space,"Allen, Thomas B.","March, 2001"
55084,Swan Peak: A Dave Robicheaux Novel,"Burke, James Lee","July, 2008"
69170,Finder's Fee,"Gansky, Alton","May, 2007"
90090,The Rules of Baseball,"Nemec, David","April, 1994"
24252,Men And Women Of The Corporation,"Kanter, Rosabeth M.","March, 1979"
100348,Triathlon Training Basics,"Bernhardt, Gale","April, 2004"
46381,Twilight,"Heitzmann, Kristen","July, 2002"
68342,Tracing Your Civil War Ancestors,"Groene, Bertram H.","February, 1995"
67302,The Art of Fiction: Notes on Craft for Young Writers,"Gardner, John","December, 1984"
53872,Between Sundays,"Kingsbury, Karen","May, 2008"
28277,Unlimited Horizons,"Stinson, Patrick","June, 1989"
13705,The Christian Family,Larry Christenson,"January, 1970"
86179,Home Fires: A Novel,"Rice, Luanne","January, 2011"
54770,Taps: A Novel,"Morris, Willie","April, 2001"
71443,Rising Sun,"Crichton, Michael","January, 2008"
56342,Delicious Ways to Control Diabetes Cookbook,"Cain, Anne Chappell (EDT)","May, 1999"
64854,Special Topics In Calamity Physics,"Pessl, Marisha","January, 2006"
94493,Johnny Tremain,"Forbes, Esther","January, 1972"
46303,The ADHD Parenting Handbook: Practical Advice for Parents from Parents,"Alexander-Roberts, Colleen","October, 1994"
101964,The Italian Cookbook: The Practical Guide to Preparing and Cooking Delicious Italian Meals,"Biggs, Fiona (EDT)","August, 2006"
10152,Our Search for Serenity,"Tchividjian, Gigi","January, 1981"
24750,Gardening in Time: Planning Future Growth and Flowering,"Boisset, Caroline","January, 1991"
55287,The Big Squeeze: Tough Times for the American Worker,"Greenhouse, Steven","February, 2009"
52523,Soul to Soul: Communications from the Heart,"Zukav, Gary","June, 2008"
12575,Hidden Power: Presidential Marriages That Shaped Our Recent History,"Marton, Kati","September, 2001"
95259,The Bible in Human Transformation: Towards a New Paradigm for Biblical Study,"Wink, Walter","August, 1973"
102641,Tune into Love: Attract Romance through the Power of Vibrational Matching,"McCraw, Margaret, Ph.D.","July, 2005"
90704,Eyes of the Nation: A Visual History of the United States,"Virga, Vincent","January, 2001"
39362,Flying Without Fear,"Brown, Duanne, Ph.D.","April, 1996"
56470,The Riches of France,"Clemente, Maribeth","July, 1997"
96852,The runaway giant,"Holl, Adelaide","January, 1967"
7492,More Needlepoint from America's Great Quilt Designs,"Davis, Mary Kay","December, 1977"
34139,Instant English Literature,"Gelshenen, Rosemary","July, 1994"
35794,The Spriggan Mirror,"Watt-Evans, Lawrence","January, 2007"
44295,The Atlantis Prophecy,"Greanias, Thomas","April, 2008"
57786,Restaurant Confidential,Jacobson and Hurley,"January, 2002"
83397,The Ring,Piers Anthony,"January, 1968"
20882,Divided Lives: The Public and Private Struggles of Three American Women,"Walsh, Elsa","July, 1996"
21046,The Union Square Cafe Cookbook: 160 Favorite Recipes from New York's Acclaimed Restaurant,"Meyer, Danny and Romano, Michael","January, 1900"
57312,Stealing Jesus: How Fundamentalism Betrays Christianity,"Bawer, Bruce","October, 1998"
29292,Unchained Memories: True Stories Of Traumatic Memories Lost And Found,"Terr, Lenore","February, 1995"
37743,Doctors: A Novel,"Segal, Erich","July, 1989"
10903,How to Make Love to a Woman,"Smith, Gregory White, Naifeh, Steven W., and Morgenstern, Michael","December, 1984"
8375,Joyful Noise: Poems for Two Voices,"Fleischman, Paul and Beddows, Eric (ILT)","June, 2019"
84215,Your God Is Too Safe: Rediscovering the Wonder of a God You Can't Control,"Peterson, Eugene (FRW) and Buchanan, Mark","February, 2001"
64083,Paul Bocuse in Your Kitchen,"Bocuse, Paul","October, 1982"
13566,Legal Research Illustrated,"Jacobstein, J. Myron and Mersky, Roy M.","August, 1994"
20469,Boitano's Edge: Inside The Real World Of Figure Skating,"Harper, Suzanne, Boitano, Brian, and Fleming, Peggy (INT)","December, 1997"
22410,Great Escape: Great Escape,"Marton, Kati","November, 2007"
60663,Philadelphia's Outdoor Art: A Walking Tour,"Brenner, Roslyn F.","February, 1987"
37085,Esther,"Traylor, Ellen Gunderson","January, 1988"
1566,Washington,"Greenfield, Meg","April, 2001"
61901,Extreme Denial,"Morrell, David","April, 1997"
55030,And the Night Shall Be No More,"Sanderfur, Glenn","June, 1993"
73581,Prescription Drugs,Editor,"January, 1992"
95461,Pressure cooking,"Allen, Ida Cogswell Bailey","January, 1947"
13766,The Queen and Her Court: A Guide to the British Monarchy Today,"Packard, Jerrold M.","June, 1981"
3364,Ellis Island: Gateway to the American dream,"Reeves, Pamela","January, 2002"
71690,The Village of Longing: and Dancehall Days,"O'Brien, George","March, 1990"
42399,From Fallen To Forgiven: A Spiritual Journey into Wholeness and Healing,"O'Neill, Jennifer","February, 2002"
54526,Legend In Green Velvet,Elizabeth Peters,"January, 1989"
58315,Born Digital: Understanding the First Generation of Digital Natives,"Palfrey, John and Gasser, Urs","August, 2008"
97373,The Good Cookie: Over 250 Delicious Recipes from Simple to Sublime,"Boyle, Tish","September, 2002"
29452,SOCIAL STUDIES 2003 PUPIL EDITION GRADE 2 PEOPLE AND PLACES,Scott Foresman,"January, 2002"
53328,Horse Care Tips from A to Z,Mary Kay Kinnish Editor,"January, 2000"
88619,Official Scrabble Player's Dictionary,Merriam,"October, 1982"
61656,The Wonderful West,"Holbrook, Stewart Hall","January, 1963"
99059,Rock the Casbah: Rage and Rebellion Across the Islamic World,"Wright, Robin B.","July, 2011"
90993,Tropic of Creation,"Kenyon, Kay","October, 2000"
34298,Knock Em Dead,"Yate, Martin","January, 1991"
41599,The General's Daughter,"DeMille, Nelson","November, 1993"
50436,Seven Weeks to Sobriety: The Proven Program to Fight Alcoholism through Nutrition,"Larson, Joan Mathews","October, 1997"
99613,Tell Me Everything: How You Can Heal from the Secrets You Thought You'd Never Share,"Meberg, Marilyn","March, 2010"
47518,The 150 Best Slow Cooker Recipes,"Finlayson, Judith","September, 2001"
49300,Jackboot a History of the German Soldier,"Laffin, John","January, 2000"
19819,Eyes Wide Open: Looking for God in Popular Culture,"Romanowski, William D.","May, 2001"
2374,Peregrine,"Bayer, William","September, 1981"
18071,A Little Bit Of Trouble,"Grindley, Sally and Taylor, Eleanor (ILT)","September, 2004"
97778,Into the Teeth of the Tiger,"Lopez, Donald S.","September, 1997"
63210,Readers: Bermuda Triangle,"Donkin, Andrew","March, 2000"
24404,Physical Rehabilitation: Assessment and Treatment,"O'Sullivan, Susan B. and Schmitz, Thomas J.","January, 1994"
86929,Waiting for You,"Colasanti, Susane","April, 2010"
83646,Dolphin Adventure:: A True Story,"Grover, Wayne and Fowler, Jim (ILT)","July, 2000"
24527,Riding the Snake,"Cannell, Stephen J.","September, 1998"
27747,Letters of Archibald Macleish: 1907 to 1982,"Winnick, R. H. (EDT)","January, 1983"
77036,Marketing Myths That Are Killing Business: The Cure for Death Wish Marketing,"Clancy, Kevin J. and Shulman, Robert S.","June, 1995"
79068,An Introduction to Animal Behavior,"Klopfer, Peter H.","January, 1974"
45866,Special Diets for Special Kids: Understanding and Implementing a Gluten and Casein Free Diet to Aid in the Treatment of Autism and Related Developmental Disorders,"Lewis, Lisa","January, 1998"
67696,Can You Keep a Secret?,"Kinsella, Sophie","December, 2005"
54565,Who Does She Think She Is?: A Novel,"Little, Benilde","April, 2005"
30740,The Devil in Massachusetts: A Modern Enquiry into the Salem Witch Trials,"Starkey, Marion Lena","September, 1989"
37613,Microbrews: A Guide to America's Best New Beers and Breweries,"Zimmermann, Matthew and Stice, Chad B.","September, 1996"
99972,The Zig Ziglar Difference,"Yorkey, Mike (EDT) and Teague, Juanell (EDT)","August, 1999"
77424,Edinburgh castle,Richard Fawcett,"January, 1980"
60078,Think Out of the Box,"Vance, Mike and Deacon, Diane","October, 1995"
88958,Blonde Dynamite,"Lorraine,Louis","January, 1961"
40091,A Southern Family,"Godwin, Gail","August, 1995"
40349,The Dean's December,"Bellow, Saul","January, 1986"
46060,Nancy Drew 34: the Hidden Window Mystery,"Keene, Carolyn","January, 1957"
86711,Ashes To Easter: Lenten Meditations,"Morneau, Robert F.","January, 1996"
3706,Journey to the Centre of the Earth,"Verne, Jules","October, 1965"
2916,The Spirit of Democratic Capitalism,"Novak, Michael","June, 1983"
27627,If I Should Die Before I Die,"Israel, Peter","January, 1989"
101853,Palacio Real de Madrid,Jose Luis Sancho,"January, 2013"
77388,Human Sexual Response,"William H. Masters, Virginia E. Johnson","January, 1966"
6722,Bess W Truman,"Truman, Margaret","April, 1986"
69945,MOMMY'S ANGEL,MIASHA,"January, 2007"
37156,The Golden Songbook,"Wessells, Katharine","October, 1981"
59588,Twice Blessed,"Leonard, Joan","March, 2000"
32988,Creating the Better Hour: Lessons from William Wilberforce,"Stetson, Chuck (EDT)","May, 2008"
93913,Murder Among Friends,"McConnell, Frank D.","January, 1983"
77284,Observing the Constellations,"Sanford, John","December, 1989"
79761,Everyday Life of Medieval Travellers,"Rowling, Marjorie","June, 1990"
46460,Charlie Wilson's War: The Extraordinary Story of How the Wildest Man in Congress and a Rogue CIA Agent Changed the History of Our Times,"Crile, George","November, 2007"
31560,Wild Truth Journal for Junior Highers,"Oestreicher, Mak","November, 1995"
28157,In the Company of Prophets,"Swinton, Heidi S.","May, 1993"
30048,Picture Book to Remember Her By: Utah,"Smart, Ted and Gibbon, David","August, 1991"
24954,Mortimer Mooner Makes Lunch,"Edwards, Frank B. and Bianchi, John (ILT)","March, 1995"
86702,Relational Parenting: Going Beyond Your Child's Behavior to Meet Their Deepest Needs,"Campbell, Ross and Champbell, Ross, M.D.","February, 2000"
62643,Heartsaver AED,American Heart Association,"May, 2006"
103051,The 18th Emergency,"ars, Betsy Cromer","April, 1973"
5753,Lifeplanning,"Dalton, Robb","March, 1996"
65252,Ice Hunt,"Rollins, James","June, 2004"
66887,Celine Dion: For Keeps,"Glatzer, Jenna","October, 2005"
46028,Henry And Mudge First Book,"Rylant, Cynthia and Stevenson, Sucie","June, 1996"
22241,I'd Rather Die Than Give a Speech,"Klepper, Michael M. and Gunther, Robert E.","October, 1993"
67353,The Book of Vices,"Hutchinson, Robert J. (EDT)","March, 1996"
25876,Temptation,"Deveraux, Jude","October, 2000"
74006,Touched: A Novel,"Campbell, Scott","March, 1997"
94609,Pen Pals: A Cartoon Collection,"Brookins, Gary, Gorell, Bob","December, 1992"
53188,General Foods Kitchens Cookbook,"WOMEN OF GENERAL FOODS KITCHENS,","January, 1959"
98510,The Gestapo: A History of Horror,Jacques Delarue,"January, 1965"
98612,Skippyjon Jones in Mummy Trouble,"Schachner, Judith ron","October, 2008"
43244,The Southern Devil,"Whiteside, Diane","September, 2006"
94662,Eve of the Emperor Penguin,"Murdocca, Sal (ILT) and Osborne, Mary Pope","December, 2009"
63610,Tools of the writer's trade: Writers tell all about the equipment and services they find the best,American Society of Journalists & Author,"January, 1990"
61616,What's In Style: Fireplaces,"Still, Joanne","August, 2002"
52697,Unexpected Tenderness and Fighting over Beverley : Two New Plays by Israel Horovitz,Israel Horovitz,"January, 1995"
64695,The Fundamentals of Negotiating,"Nierenberg, Gerard I.","October, 2002"
58568,Lightning: A Novel,"Steel, Danielle","June, 1996"
16012,The Search for Solutions,Horace Freeland Judson,"January, 1982"
94122,Star of Wonder,"Beverley, Jo, Alfonsi, Alice, Freiman, Kate, and Farraday, Tess","October, 1999"
26160,How to Make It Big as a Consultant,"Cohen, William A.","September, 1993"
