,entity1,entity2,content
1106,Joseph Gordon-Levitt,Spike Lee,"Joseph Leonard Gordon-Levitt (; born February 17, 1981) is an American actor. He has received various accolades, including nominations for the Golden Globe Award for Best Actor – Motion Picture Musical or Comedy for his leading performances in 500 Days of Summer (2009) and 50/50 (2011). He is the founder of the online media platform HitRecord whose projects such as HitRecord on TV (2014–15) and Create Together (2020) won him two Primetime Emmy Awards in the category of Outstanding Interactive Program.
Born in Los Angeles to a Jewish family, Gordon-Levitt began his acting career as a child, appearing in the films A River Runs Through It (1992), Holy Matrimony (1994), and Angels in the Outfield (1994), which earned him a Young Artist Award and a Saturn Award nomination. He played the role of Tommy Solomon in the TV series 3rd Rock from the Sun (1996–2001). He had a supporting role in 10 Things I Hate About You (1999) and voiced Jim Hawkins in the Disney animated Treasure Planet (2002) before taking a break from acting to study at Columbia University, but dropped out in 2004 to resume his acting career.Since returning to acting, Gordon-Levitt has starred in Manic (2001), Mysterious Skin (2004), Brick (2005), G.I. Joe: The Rise of Cobra (2009), Inception (2010), The Dark Knight Rises (2012), Looper (2012), and Lincoln (2012). He portrayed Philippe Petit in the Robert Zemeckis-directed film The Walk (2015) and whistleblower Edward Snowden in the Oliver Stone film Snowden (2016). In 2020, he had a supporting role in the legal drama The Trial of the Chicago 7.
In 2013, he wrote and directed Don Jon, a comedy-drama film that was released to positive reviews and earned him an Independent Spirit Award nomination for Best First Screenplay. He previously directed and edited two short films, both of which were released in 2010: Morgan M. Morgansen's Date with Destiny and Morgan and Destiny's Eleventeenth Date: The Zeppelin Zoo. In 2021, he wrote, directed and starred in a comedy drama series Mr. Corman on Apple TV+.



Shelton Jackson ""Spike"" Lee (born March 20, 1957) is an American film director, producer, screenwriter, and actor. His work has continually explored race relations, issues within the black community, the role of media in contemporary life, urban crime and poverty, and other political issues. Lee has won numerous accolades for his work, including an Academy Award, two Primetime Emmy Awards, a BAFTA Award, and two Peabody Awards. He has also been honored with an Honorary BAFTA Award in 2002, an Honorary César in 2003, and the Academy Honorary Award in 2015. 
His production company, 40 Acres and a Mule Filmworks, has produced more than 35 films since 1983. He made his directorial debut with She's Gotta Have It (1986). He has since written and directed such films as School Daze (1988), Do the Right Thing (1989), Mo' Better Blues (1990), Jungle Fever (1991), Malcolm X (1992), Crooklyn (1994), Clockers (1995), 25th Hour (2002), Inside Man (2006), Chi-Raq (2015), BlacKkKlansman (2018) and Da 5 Bloods (2020). Lee also acted in eleven of his feature films. He is also known for directing numerous documentary projects including the 4 Little Girls (1997), the HBO series When the Levees Broke (2006), the concert film American Utopia (2020), and NYC Epicenters 9/11→2021½ (2021).
His films have featured breakthrough performances from actors such as Denzel Washington, Laurence Fishburne, Samuel L. Jackson, Giancarlo Esposito, Rosie Perez, Delroy Lindo and John David Washington. Lee's films Do the Right Thing, Bamboozled, Malcolm X, 4 Little Girls and She's Gotta Have It were each selected by the Library of Congress for preservation in the National Film Registry for being ""culturally, historically, or aesthetically significant"". He has received a Gala Tribute from the Film Society of Lincoln Center as well as the Dorothy and Lillian Gish Prize.



"
1107,Li Gong,Yimou Zhang,"Gong Li (Chinese: 巩俐; born 31 December 1965) is a Chinese actress. Regarded as one of the best actresses in China today, she is known for her versatility and naturalistic performance. She starred in three of the four Chinese-language films that have been nominated for the Academy Award for Best International Feature Film.
Gong was born in Shenyang, Liaoning, and grew up in Jinan, Shandong. She enrolled at the Central Academy of Drama in Beijing, from where she graduated in 1989. While a student at the Academy, she was spotted by director Zhang Yimou and debuted in Zhang's Red Sorghum in 1987. Gong and Zhang's professional and personal relationship received much media attention in the Chinese-speaking world, as they continued to collaborate on a string of critically acclaimed movies, including the Oscar-nominated features Ju Dou (1990) and Raise the Red Lantern (1991). For her role in the Zhang-directed The Story of Qiu Ju (1992), Gong won the Volpi Cup for Best Actress at the Venice Film Festival.
Gong also starred in the Chen Kaige-directed Oscar-nominated Farewell My Concubine (1993), for which she won Best Supporting Actress at the New York Film Critics Circle Awards. In English-language films, she won the National Board of Review Award for Best Supporting Actress for Memoirs of a Geisha (2005), directed by Rob Marshall. Other notable appearances include Flirting Scholar (1993), To Live (1994), Chinese Box (1997), The Emperor and the Assassin (1998), Breaking the Silence (2000), Zhou Yu's Train (2003), Eros (2004), Miami Vice (2006), Curse of the Golden Flower (2006) and Saturday Fiction (2019).
Gong was head of jury at the 2000 Berlin Film Festival and the 2002 Venice Film Festival, the first Asian person to hold such position at both events. Over the course of her career, Gong has won three Hundred Flowers Awards, two Golden Rooster Awards, a Hong Kong Film Award, and honorary awards at the Berlin and Cannes film festivals. She was appointed as a Commander (Commandeur) of the Ordre des Arts et des Lettres by the government of France in 2010.



Zhang Yimou (Chinese: 张艺谋; pinyin: Zhāngyìmóu; born 14 November 1951) is a Chinese film director, producer, writer, actor, professor and former cinematographer. Considered a key figure of China's Fifth Generation filmmakers, he made his directorial debut in 1988 with Red Sorghum, which won the Golden Bear at the Berlin International Film Festival.Zhang has won numerous awards and recognitions, with three Academy Awards nominations for Best Foreign Language Film for Ju Dou in 1990, Raise the Red Lantern in 1991, and Hero in 2003; a Silver Lion, two Golden Lion prizes and the Glory to the Filmmaker Award at the Venice Film Festival; Grand Jury Prize, Prize of the Ecumenical Jury and Technical Grand Prize at the Cannes Film Festival; the Golden Bear, the Silver Bear Grand Jury Prize and the Prize of the Ecumenical Jury at the Berlin International Film Festival. In 1993, he was a member of the jury at the 43rd Berlin International Film Festival. Zhang directed the opening and closing ceremonies of the 2008 Beijing Summer Olympic Games as well as the opening and closing ceremonies of the 2022 Beijing Winter Olympic Games, which received considerable international acclaim.
One of Zhang's recurrent themes is the resilience of Chinese people in the face of hardship and adversity, a theme which has been explored in such films as To Live (1994) and Not One Less (1999). His films are particularly noted for their rich use of colour, as can be seen in some of his early films, like Raise the Red Lantern, and in his wuxia films like Hero and House of Flying Daggers. His highest-budgeted film to date is the 2016 monster film The Great Wall, set in Imperial China and starring Matt Damon. In 2010, Zhang received an honorary doctorate from Yale, and in 2018, he was awarded an honorary doctorate from Boston University. In 2022, he joined the Beijing Film Academy as a distinguished professor.

"
1108,Nicolas Cage,Danny Pang,"Nicolas Kim Coppola (born January 7, 1964), known by his stage name Nicolas Cage, is an American actor and film producer. He is the recipient of various accolades, including an Academy Award, a Screen Actors Guild Award, and a Golden Globe Award. Known for his versatility as an actor, his participation in various film genres has gained him a cult following.Born into the Coppola family, Cage began his career in films such as Fast Times at Ridgemont High (1982) and Valley Girl (1983), as well various films by his uncle Francis Ford Coppola such as Rumble Fish (1983), The Cotton Club (1984), and Peggy Sue Got Married (1986). He earned critical success for his roles in Moonstruck (1987) and  Raising Arizona (1987), and earned an Academy Award for Best Actor for his performance in the dramatic film Leaving Las Vegas (1995). He received another Academy Award nomination for his performance as twins Charlie and Donald Kaufman in the comedy-drama film Adaptation (2002).
Cage established himself in mainstream action films, such as The Rock (1996), Con Air (1997), Face/Off (1997), Gone in 60 Seconds (2000), the National Treasure film series (2004–2007), the Ghost Rider film series (2007–2011), and Kick-Ass (2010). He also took on dramatic roles in City of Angels (1998), Bringing Out the Dead (1999), and  The Family Man (2000). He has voiced characters in The Croods franchise (2013–present) and in Spider-Man: Into the Spider-Verse (2018). He earned renewed critical recognition for his starring roles in Mandy (2018), Pig (2021), The Unbearable Weight of Massive Talent (2022) and Dream Scenario (2023).Cage owns the production company Saturn Films and has produced films such as Shadow of the Vampire (2000) and The Life of David Gale (2003), and has directed Sonny (2002). He was ranked No. 40 in Empire magazine's The Top 100 Movie Stars of All Time list in 2007 and was placed No. 37 in Premiere's 100 Most Powerful People in Hollywood in 2008.

Danny Pang Phat (born 1965) is one of the Pang brothers. The twin brothers Oxide and Danny Pang started their career in Hong Kong, where Oxide worked as colourist and Danny as editor. After moving to Bangkok, Oxide made Who Is Running? which was edited by Danny. Bangkok Dangerous is the first film in which the brothers combine their talents.

"
1109,Zooey Deschanel,Barry Sonnenfeld,"Zooey Claire Deschanel ( ZO-ee day-shə-NEL; born January 17, 1980) is an American actress and musician. She made her film debut in Mumford (1999) and had a supporting role in Cameron Crowe's film Almost Famous (2000). Deschanel is known for her deadpan roles in comedy films such as The Good Girl (2002), The New Guy (2002), Elf (2003), The Hitchhiker's Guide to the Galaxy (2005), Failure to Launch (2006), Yes Man (2008), The Happening (2008), 500 Days of Summer (2009) and Our Idiot Brother (2011). She has also ventured into dramatic film territory with Manic (2001), All the Real Girls (2003), Winter Passing (2005), Bridge to Terabithia (2007) and The Driftless Area (2015). From 2011 to 2018, she starred as Jess Day on the Fox sitcom New Girl, for which she received nominations for a Primetime Emmy Award and three Golden Globe Awards.
For a few years starting in 2001, Deschanel performed in the jazz cabaret act If All the Stars Were Pretty Babies with actress Samantha Shelton. In 2006, Deschanel teamed up with M. Ward to form She & Him, and subsequently released their debut album, Volume One, in 2008. They have since released six albums: Volume Two (2010), A Very She & Him Christmas (2011), Volume 3 (2013), Classics (2014), Christmas Party (2016), and Melt Away: A Tribute to Brian Wilson (2022). She received a Grammy Award nomination for Best Song Written for Visual Media for ""So Long"", which was featured on the soundtrack of the 2011 film Winnie the Pooh. Besides singing, she plays keyboards, percussion, banjo, and ukulele.
Deschanel is also a co-founder of the female-focused website HelloGiggles, which was acquired by Time Inc. in 2015.

Barry Sonnenfeld  (born April 1, 1953) is an American filmmaker and television director. He originally worked as a cinematographer for the Coen brothers before directing films such as The Addams Family (1991) and its sequel Addams Family Values (1993), Get Shorty (1995), the Men in Black trilogy (1997–2012), and Wild Wild West (1999).

"
1110,Marcela Mar,Mike Newell,"Marcela Gardeazabal Martínez (born March 16, 1979), better known by her stage name Marcela Mar, is a Colombian actress.

Michael Cormac Newell (born 28 March 1942) is an English film and television director and producer. He won the BAFTA for Best Direction for Four Weddings and a Funeral (1994), which also won the BAFTA Award for Best Film, and directed the films Donnie Brasco (1997) and Harry Potter and the Goblet of Fire (2005).

"
1111,Sam Waterston,George P. Cosmatos,"Samuel Atkinson Waterston (born November 15, 1940) is an American actor. Waterston is known for his work in theater, television, and film. He has received numerous accolades including a Primetime Emmy Award, Golden Globe Award, and Screen Actors Guild Award as well as nominations for an Academy Award, a Tony Award, and a BAFTA Award. His acting career has spanned over five decades acting on stage and screen. Waterston received a star on the Hollywood Walk of Fame in 2010 and was inducted into the American Theater Hall of Fame in 2012.
Waterston studied at the Sorbonne in Paris and the American Actors Workshop. He started his career in theater on the New York stage, appearing in multiple revivals of Shakespeare. Waterston starred in numerous productions at the Public Theatre including Indians (1969), The Trial of Catonsville Nine (1970), A Doll's House (1975), Hamlet (1975), Measure for Measure (1977), and Benefactors (1980). He portrayed Abraham Lincoln on Broadway in Abe Lincoln in Illinois (1993) where he received a Tony Award for Best Actor in a Play nomination.On the big screen, Waterston played Nick Carraway in The Great Gatsby (1974) earning a Golden Globe Award for Best Supporting Actor – Motion Picture nomination. He received critical acclaim for his portrayal of Sydney Schanberg in Roland Joffe's The Killing Fields (1984), for which he received a nomination for the Academy Award for Best Actor. Waterston has acted in multiple Woody Allen films including Interiors (1978), Hannah and Her Sisters (1986), September (1987), and Crimes and Misdemeanors (1989). Other notable roles include in Rancho Deluxe (1975), Hopscotch, and Heaven's Gate (both in 1980), The Man in the Moon (1991), Serial Mom (1994), Nixon (1995), Miss Sloane (2016) and On the Basis of Sex (2018).
Waterston gained stardom portraying Jack McCoy on the NBC crime series Law & Order (1994–2010, 2022–), for which he received a Screen Actors Guild Award along with Golden Globe Award and Emmy Award nominations. He portrayed J. Robert Oppenheimer in the BBC miniseries Oppenheimer (1980), and Abraham Lincoln in the miniseries Lincoln (1988). From 2012 to 2014 he portrayed Charlie Skinner in Aaron Sorkin's HBO drama series The Newsroom. Other notable roles include in Godless (2017), Grace and Frankie (2015–2022), and The Dropout (2022). 



George Pan Cosmatos (4 January 1941 – 19 April 2005) was a Greek-Italian film director and screenwriter. Following early success in his home country with drama films such as Massacre in Rome with Richard Burton (based on the real-life Ardeatine massacre), Cosmatos retooled his career towards mainstream ""blockbuster"" action and adventure films, including The Cassandra Crossing and Escape to Athena, both of which were British-Italian co-productions. After relocating to North America, he directed the horror film Of Unknown Origin. This was followed by some of his best-known work, including the action films Rambo: First Blood Part II and Cobra (both of which star Sylvester Stallone), the science-fiction horror film Leviathan, and the critically acclaimed Western Tombstone.



"
1112,Daniel Kaluuya,Oliver Parker,"Daniel  Kaluuya (; born 24 February 1989) is a British actor. Prominent both on screen and stage, he has received numerous accolades, including an Academy Award, two BAFTA Awards, and a Golden Globe Award. In 2021, he was named among the 100 most influential people in the world by Time magazine.Kaluuya began his acting career as a teenager in improvisational theatre. He played Posh Kenneth in the first two seasons of the television series Skins (2007–2009); he also co-wrote some of the episodes. Kaluuya drew praise for his leading performance in Sucker Punch at the Royal Court Theatre in 2010. He went on to gain attention for his television roles in the Doctor Who special episode ""Planet of the Dead"" (2009), Psychoville (2009–2011), The Fades (2011), and the Black Mirror episode ""Fifteen Million Merits"" (2011). He also had supporting roles in the films Johnny English Reborn (2011), Kick-Ass 2 (2013), and Sicario (2015).
In 2017, Kaluuya had his breakthrough starring in Jordan Peele's horror film Get Out, which garnered him a nomination for the Academy Award for Best Actor. This was followed by starring roles in Ryan Coogler's superhero film Black Panther (2018), Steve McQueen's crime drama Widows (2018), and Peele's horror film Nope (2022). For his portrayal of Black Panther Party leader Fred Hampton in the biopic Judas and the Black Messiah (2021), he won the BAFTA and Academy Award for Best Supporting Actor. He has since co-directed the drama The Kitchen (2023).

Oliver Parker (born 6 September 1960) is a British film director, screenwriter, and former actor. He is known for writing and directing the film adaptations of Shakespeare's Othello (1995) and Wilde's The Importance of Being Earnest (2002), and for his role as Peloquin in the cult film Nightbreed (1990).

"
1113,Jerry Stiller,Lawrence Kasanoff,"Gerald Isaac Stiller (June 8, 1927 – May 11, 2020) was an American comedian and actor. He spent many years as part of the comedy duo Stiller and Meara with his wife, Anne Meara, to whom he was married for over 60 years until her death in 2015. Stiller saw a late-career resurgence starting in 1993, playing George Costanza's father Frank on the sitcom Seinfeld, a part which earned him an Emmy nomination. The year Seinfeld went off the air, Stiller began his role as the eccentric Arthur Spooner on the CBS comedy series The King of Queens, another role that garnered widespread acclaim.Stiller appeared together with his son Ben Stiller in films such as Zoolander, Heavyweights, Hot Pursuit, The Heartbreak Kid, and Zoolander 2. He also performed voice-over work for films and television, including The Lion King 1½ and Planes: Fire and Rescue. In his later career, Stiller became known for portraying grumpy and eccentric characters who were nevertheless beloved.



Lawrence Alan ""Larry"" Kasanoff (born June 1, 1959) is an American filmmaker who founded the Vestron Pictures genre subsidiary Lightning Pictures in 1986, Lightstorm Entertainment with James Cameron in 1990, and Threshold Entertainment in 1993.

"
1114,Clea DuVall,Ben Affleck,"Clea Helen D'Etienne DuVall (born September 25, 1977) is an American actress and filmmaker. She is known for her appearances in films such as The Faculty (1998); But I'm a Cheerleader, Girl, Interrupted (both 1999); Ghosts of Mars (2001); Identity, 21 Grams (both 2003); The Grudge (2004); Zodiac (2007); and Argo (2012). She starred as Emma Borden in Lizzie Borden Took an Ax (2014) and its miniseries spinoff, The Lizzie Borden Chronicles (2015). Other television roles include Sofie on Carnivàle (2003–2005), Audrey Hanson on Heroes (2006–2007), Wendy Peyser on American Horror Story (2012–2013), Lara Cruz on Better Call Saul (2015–2017), Marjorie on Veep (2016–2019), and Sylvia on The Handmaid's Tale (2018–2022).
DuVall has voiced Elsa on the Fox animated series HouseBroken, which she co-created, since 2021. Her directorial credits include The Intervention (2016) and Happiest Season (2020). She is the creator, writer, and executive producer of the Amazon Freevee series High School (2022–present).



American actor and filmmaker Ben Affleck began his career as a child, appearing in several television shows, including the PBS educational program The Voyage of the Mimi (1984). He played an antisemite in the sports film School Ties (1992) and featured as a regular on the television drama Against the Grain (1993). He gained attention for playing the supporting part of a high-school senior in Richard Linklater's cult film Dazed and Confused (1993), after which he had his first leading role in Rich Wilkes's comedy Glory Daze (1995). In 1997, Affleck played a comics artist in Smith's art-house success Chasing Amy. He co-wrote the script and starred with Matt Damon in Gus Van Sant's drama film Good Will Hunting, for which they won the Academy Award for Best Original Screenplay.Affleck emerged a star with Michael Bay's top-grossing science fiction film Armageddon (1998). In 2000, Affleck co-formed a production company named LivePlanet, which produced Project Greenlight (2001–05, 2015), a television series that provides training to first-time filmmakers. Affleck starred in Bay's war film Pearl Harbor (2001), which despite negative reviews was a box office hit. His career subsequently went through a period of decline when he starred in a series of critical and commercial failures, including Gigli (2003). He made a comeback with the biopic Hollywoodland (2006), in which his portrayal of George Reeves earned him a Golden Globe nomination.In 2007, Affleck made his feature film directorial debut with Gone Baby Gone, a thriller based on the novel by Dennis Lehane, which was critically praised. He went on to act in and direct two acclaimed features for Warner Bros.—the crime drama The Town (2010) and the thriller Argo (2012). The latter, about the 1979 Iran hostage crisis in which he played the intelligence agent Tony Mendez, won the Academy Award for Best Picture and Affleck won the Golden Globe and BAFTA for Best Director. In 2014, Affleck played a man accused of murdering his wife in David Fincher's thriller Gone Girl. Two years later, he starred as Batman in the superhero film Batman v Superman: Dawn of Justice (2016), which grossed $873 million to rank as his highest-grossing release; he reprised the role in a few installments set in the DC Extended Universe. He subsequently gained praise for playing a recovering alcoholic in the sports drama The Way Back (2020), Peter II, Count of Alençon in the period film The Last Duel (2021), and a caring father-figure in the drama The Tender Bar (2021). Affleck returned to direction with the acclaimed sports drama Air (2023), in which he also portrayed Phil Knight.

"
1115,Harrison Ford,Andrew Davis,"Harrison Ford (born July 13, 1942) is an American actor. A leading man in films of several genres and regarded as an American cultural icon, his films have grossed more than $5.4 billion in North America and more than $9.3 billion worldwide. He is the recipient of various accolades, including the AFI Life Achievement Award, the Cecil B. DeMille Award, an Honorary César, and an Honorary Palme d'Or, in addition to an Academy Award nomination.Ford made his film debut in an uncredited appearance in Dead Heat on a Merry-Go-Round (1966) and went on to play supporting roles in such films as Journey to Shiloh (1968), Getting Straight (1970), American Graffiti (1973) and The Conversation (1974). He gained worldwide fame for his starring role as Han Solo in the epic space opera film Star Wars (1977), a role he reprised in four sequels over the next four decades. The multimedia franchise became a global cultural phenomenon. Ford is also known for his portrayal of the titular character in the popular media franchise Indiana Jones, beginning with the action-adventure film Raiders of the Lost Ark (1981). He played the character in four additional sequels over the next four decades and also starred as Rick Deckard in the cult science fiction film Blade Runner (1982) and its sequel Blade Runner 2049 (2017) as well as Jack Ryan in the spy thriller films Patriot Games (1992) and Clear and Present Danger (1994).
Ford has enjoyed a versatile and successful career beyond his work in franchise films. His many film credits include Witness (1985), for which he received a nomination for the Academy Award for Best Actor, The Mosquito Coast (1986), Working Girl (1988),    Presumed Innocent (1990), Regarding Henry (1991),  The Fugitive (1993), Sabrina (1995), The Devil's Own (1997), Air Force One (1997), Six Days, Seven Nights (1998), What Lies Beneath (2000), K-19: The Widowmaker (2002), Morning Glory (2010), Cowboys & Aliens (2011) 42 (2013), The Age of Adaline (2015), and The Call of the Wild (2020). Ford has since starred in the Paramount+ western series 1923 (2022–present) and the Apple TV+ comedy series Shrinking (2023–present).
Outside of acting, Ford is a licensed pilot; he has often assisted the emergency services in rescue missions near his home in Wyoming, and he chaired an aviation education program for youth from 2004 to 2009. Ford is also an environmental activist, having served as the inaugural vice chair of Conservation International since 1991.

Andrew Davis (born November 21, 1946) is an American film director, producer, writer, and cinematographer who is known for directing a number of successful action thrillers including Code of Silence, Above the Law, Under Siege, and The Fugitive.



"
1116,Gerard Butler,Andy Tennant,"Gerard James Butler (born 13 November 1969) is a Scottish actor and film producer. After studying law, he turned to acting in the mid-1990s with small roles in productions such as Mrs Brown (1997), the James Bond film Tomorrow Never Dies (1997), and Tale of the Mummy (1998). In 2000, he starred as Count Dracula in the gothic horror film Dracula 2000 with Christopher Plummer and Jonny Lee Miller.
He played Attila the Hun in the miniseries Attila (2001), then appeared in the films Reign of Fire with Christian Bale (2002) and Lara Croft: Tomb Raider – The Cradle of Life with Angelina Jolie (2003) before playing André Marek in the adaptation of Michael Crichton's science fiction adventure Timeline (2003). He then was cast as Erik, The Phantom in Joel Schumacher's 2004 film adaptation of the musical The Phantom of the Opera, with Emmy Rossum; it earned him a Satellite Award nomination for Best Actor.
Butler gained worldwide recognition for his portrayal of King Leonidas in Zack Snyder's fantasy war film 300. That role earned him nominations for an Empire Award for Best Actor and a Saturn Award for Best Actor and a win for MTV Movie Award for Best Fight. He voiced Stoick the Vast in the critically and commercially successful How to Train Your Dragon franchise (2010–2019). Also in the 2010s, he portrayed Secret Service agent Mike Banning in the action thriller series Olympus Has Fallen, London Has Fallen, Angel Has Fallen and the upcoming Night Has Fallen. He played military leader Tullus Aufidius in the 2011 film Coriolanus, a modern adaptation of Shakespeare's tragedy of the same name, and Sam Childers in the 2011 action biopic Machine Gun Preacher.

Andrew Wellman Tennant (born June 15, 1955) is an American screenwriter, film and television director, actor, and dancer.



"
1117,Robert De Niro,Barry Levinson,"Robert Henry De Niro (May 3, 1922 – May 3, 1993), better known as Robert De Niro Sr., was an American abstract expressionist painter and the father of actor Robert De Niro.



Barry Lee Levinson (born April 6, 1942) is an American film director, producer and screenwriter. His best-known works are mid-budget comedy drama and drama films such as Diner (1982), The Natural (1984), Good Morning, Vietnam (1987), Bugsy (1991), and Wag the Dog (1997). Levinson won the Academy Award for Best Director for Rain Man (1988). In 2021, he co-executive produced the Hulu miniseries Dopesick and directed the first two episodes.



"
1118,Sylvester Stallone,George P. Cosmatos,"American actor and filmmaker Sylvester Stallone has appeared in over 81 films. This is a list of his acting roles as well as directing, screenwriting, producing credits.



George Pan Cosmatos (4 January 1941 – 19 April 2005) was a Greek-Italian film director and screenwriter. Following early success in his home country with drama films such as Massacre in Rome with Richard Burton (based on the real-life Ardeatine massacre), Cosmatos retooled his career towards mainstream ""blockbuster"" action and adventure films, including The Cassandra Crossing and Escape to Athena, both of which were British-Italian co-productions. After relocating to North America, he directed the horror film Of Unknown Origin. This was followed by some of his best-known work, including the action films Rambo: First Blood Part II and Cobra (both of which star Sylvester Stallone), the science-fiction horror film Leviathan, and the critically acclaimed Western Tombstone.



"
1119,Joseph Gordon-Levitt,Brian Gibson,"Joseph Leonard Gordon-Levitt (; born February 17, 1981) is an American actor. He has received various accolades, including nominations for the Golden Globe Award for Best Actor – Motion Picture Musical or Comedy for his leading performances in 500 Days of Summer (2009) and 50/50 (2011). He is the founder of the online media platform HitRecord whose projects such as HitRecord on TV (2014–15) and Create Together (2020) won him two Primetime Emmy Awards in the category of Outstanding Interactive Program.
Born in Los Angeles to a Jewish family, Gordon-Levitt began his acting career as a child, appearing in the films A River Runs Through It (1992), Holy Matrimony (1994), and Angels in the Outfield (1994), which earned him a Young Artist Award and a Saturn Award nomination. He played the role of Tommy Solomon in the TV series 3rd Rock from the Sun (1996–2001). He had a supporting role in 10 Things I Hate About You (1999) and voiced Jim Hawkins in the Disney animated Treasure Planet (2002) before taking a break from acting to study at Columbia University, but dropped out in 2004 to resume his acting career.Since returning to acting, Gordon-Levitt has starred in Manic (2001), Mysterious Skin (2004), Brick (2005), G.I. Joe: The Rise of Cobra (2009), Inception (2010), The Dark Knight Rises (2012), Looper (2012), and Lincoln (2012). He portrayed Philippe Petit in the Robert Zemeckis-directed film The Walk (2015) and whistleblower Edward Snowden in the Oliver Stone film Snowden (2016). In 2020, he had a supporting role in the legal drama The Trial of the Chicago 7.
In 2013, he wrote and directed Don Jon, a comedy-drama film that was released to positive reviews and earned him an Independent Spirit Award nomination for Best First Screenplay. He previously directed and edited two short films, both of which were released in 2010: Morgan M. Morgansen's Date with Destiny and Morgan and Destiny's Eleventeenth Date: The Zeppelin Zoo. In 2021, he wrote, directed and starred in a comedy drama series Mr. Corman on Apple TV+.



Brian Gibson (22 September 1944 – 4 January 2004) was an English film and television director.

"
1120,Mel Blanc,Norman Ferguson,"Noel Barton Blanc (born October 19, 1938) is an American commercial producer, retired voice actor, and the son of the late cartoon voice actor Mel Blanc.

William Norman Ferguson (September 2, 1902 – November 4, 1957) was an animator for Walt Disney Studios and a central contributor to the studio's stylistic development in the 1930s. He is most frequently noted for his contribution to the creation of Pluto, one of the studio's best-known and most enduring characters, and is the artist most closely associated with that character. He is also credited for developing Peg-Leg Pete and the Big Bad Wolf. Ferguson, known at the studio as ""Norm"" or ""Fergy"", was the primary animator of the witch in Snow White and the Seven Dwarfs, the first in a long line of great Disney feature villains. He was also a sequence director on the film.



"
1121,Jeff Bridges,Michael Cimino,"Jeffrey Leon Bridges (born December 4, 1949) is an American actor. He is known for his leading man roles in film and television. In a career spanning over seven decades he has received various accolades, including an Academy Award, a Golden Globe, and a Screen Actors Guild Award in addition to nominations for three BAFTA Awards. In 2019 he was awarded the Cecil B. DeMille Award.
Born into a prominent acting family, Bridges appeared on the television series Sea Hunt (1958–1960) alongside his father Lloyd and brother Beau. He gained fame for his roles in the dramas The Last Picture Show (1971) and Thunderbolt and Lightfoot (1974), which also earned him nominations for the Academy Award for Best Supporting Actor. As a leading man, he starred in the adventure film King Kong (1976); science fiction films Tron (1982) and Starman (1984), gaining a nomination for the Academy Award for Best Actor for the latter; thrillers Jagged Edge (1985) and The Morning After (1986); and dramas The Fabulous Baker Boys (1989), The Fisher King (1991) and The Mirror Has Two Faces (1996).
Bridges starred in the leading role of The Big Lebowski (1998), followed by several big-budget films: The Contender (2000), Seabiscuit (2003), Iron Man (2008), and Tron: Legacy (2010). Bridges received several Oscar nominations, including for The Contender and True Grit (2010). He won the Academy Award for Best Actor for his role as an alcoholic singer in Crazy Heart (2009). Bridges earned Primetime Emmy Awards nominations for his roles in the HBO film A Dog Year (2009), and the Hulu series The Old Man (2022).



Michael Antonio Cimino ( chim-EE-noh Italian pronunciation: [anˈtɔːnjo tʃiˈmiːno]; February 3, 1939 – July 2, 2016) was an American film director, screenwriter, producer and author. Notorious for his obsessive attention to detail and determination for perfection, Cimino achieved fame with The Deer Hunter (1978), which won five Academy Awards, including Best Picture and Best Director.
With a background in painting and architecture, Cimino began his career as a commercial director in New York before moving to Los Angeles in the early '70s to take up screenwriting. After co-writing the scripts for both Silent Running (1972) and Magnum Force (1973), he wrote the preliminary script for Thunderbolt and Lightfoot (1974), which became his directorial debut, and one of the highest-grossing films of its year.The critical accolades for co-writing, directing, and producing The Deer Hunter led to Cimino receiving creative control for Heaven's Gate (1980). The film became a critical failure and a legendary box-office bomb, which lost production studio United Artists an estimated $37 million. Its failure was widely blamed as the end of the New Hollywood era, with studios shifting focus from director-driven films towards high-concept, crowd-pleasing blockbusters. In recent decades however, Heaven's Gate has been dramatically reappraised, even being named by BBC Culture as one of the greatest American films of all time.Having only subsequently made four more films, Cimino grew infamous for the amount of projects he worked on throughout his life that were never made due to his uncompromising artistry. In 2002, Cimino claimed he had written at least 50 scripts overall. Several of his ambitious ""dream projects"" included adaptations of the novels Conquering Horse, The Fountainhead and Man's Fate as well as biopics on crime boss Frank Costello and Irish rebel Michael Collins.

"
